Point's Coordinates for twisted_polar_coordinates_41

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.076513300346,     	0.00234584312,      	-0.997065801184,    	0.030649684425,     	-1.494172115732,    	1.0,                	
2,     	0.021412880717,     	0.073493378268,     	-0.997065801184,    	1.287286745861,     	-1.494172115732,    	1.0,                	
3,     	-0.063279412266,    	0.043075562597,     	-0.997065801184,    	2.543923807297,     	-1.494172115732,    	1.0,                	
4,     	-0.060521708286,    	-0.046871216498,    	-0.997065801184,    	3.800560868733,     	-1.494172115732,    	1.0,                	
5,     	0.025874939488,     	-0.072043567487,    	-0.997065801184,    	5.057197930169,     	-1.494172115732,    	1.0,                	
6,     	0.152590032177,     	0.004252770019,     	-0.98828042378,     	0.027863349478,     	-1.417547904669,    	1.0,                	
7,     	0.126067682584,     	0.086074057535,     	-0.98828042378,     	0.599062013767,     	-1.417547904669,    	1.0,                	
8,     	0.059519734522,     	0.140567439953,     	-0.98828042378,     	1.170260678056,     	-1.417547904669,    	1.0,                	
9,     	-0.025925308704,    	0.150431653388,     	-0.98828042378,     	1.741459342345,     	-1.417547904669,    	1.0,                	
10,    	-0.103139249596,    	0.112534879772,     	-0.98828042378,     	2.312658006634,     	-1.417547904669,    	1.0,                	
11,    	-0.147607207488,    	0.038909076962,     	-0.98828042378,     	2.883856670923,     	-1.417547904669,    	1.0,                	
12,    	-0.145210919946,    	-0.047070082866,    	-0.98828042378,     	3.455055335212,     	-1.417547904669,    	1.0,                	
13,    	-0.096711191332,    	-0.118104823964,    	-0.98828042378,     	4.026253999501,     	-1.417547904669,    	1.0,                	
14,    	-0.017506342799,    	-0.151642117943,    	-0.98828042378,     	4.59745266379,      	-1.417547904669,    	1.0,                	
15,    	0.067256645879,     	-0.137034110927,    	-0.98828042378,     	5.168651328079,     	-1.417547904669,    	1.0,                	
16,    	0.130666124703,     	-0.078918741929,    	-0.98828042378,     	5.739849992368,     	-1.417547904669,    	1.0,                	
17,    	0.227759452057,     	0.006546259855,     	-0.973695423878,    	0.028734079149,     	-1.340923693605,    	1.0,                	
18,    	0.207917150901,     	0.093207724362,     	-0.973695423878,    	0.421433160847,     	-1.340923693605,    	1.0,                	
19,    	0.156421348294,     	0.165679157764,     	-0.973695423878,    	0.814132242546,     	-1.340923693605,    	1.0,                	
20,    	0.081111813372,     	0.212927441282,     	-0.973695423878,    	1.206831324245,     	-1.340923693605,    	1.0,                	
21,    	-0.006546259855,    	0.227759452057,     	-0.973695423878,    	1.599530405944,     	-1.340923693605,    	1.0,                	
22,    	-0.093207724362,    	0.207917150901,     	-0.973695423878,    	1.992229487642,     	-1.340923693605,    	1.0,                	
23,    	-0.165679157764,    	0.156421348294,     	-0.973695423878,    	2.384928569341,     	-1.340923693605,    	1.0,                	
