Point's Coordinates for twisted_polar_coordinates_60

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.052324478103,     	0.001096041571,     	-0.998629534755,    	0.020943951024,     	-1.518436449235,    	1.0,                	
2,     	0.015126755478,     	0.050102231333,     	-0.998629534755,    	1.27758101246,      	-1.518436449235,    	1.0,                	
3,     	-0.042975629078,    	0.029868840306,     	-0.998629534755,    	2.534218073896,     	-1.518436449235,    	1.0,                	
4,     	-0.041687154936,    	-0.03164227282,     	-0.998629534755,    	3.790855135332,     	-1.518436449235,    	1.0,                	
5,     	0.017211550433,     	-0.04942484039,     	-0.998629534755,    	5.047492196768,     	-1.518436449235,    	1.0,                	
6,     	0.104509517016,     	0.00199009704,      	-0.994521895368,    	0.019039955476,     	-1.466076571675,    	1.0,                	
7,     	0.086843072714,     	0.058176286877,     	-0.994521895368,    	0.590238619765,     	-1.466076571675,    	1.0,                	
8,     	0.041604566429,     	0.095891916684,     	-0.994521895368,    	1.161437284054,     	-1.466076571675,    	1.0,                	
9,     	-0.016843095734,    	0.103162540484,     	-0.994521895368,    	1.732635948343,     	-1.466076571675,    	1.0,                	
10,    	-0.069943194008,    	0.077679786592,     	-0.994521895368,    	2.303834612633,     	-1.466076571675,    	1.0,                	
11,    	-0.10083682238,     	0.027534249317,     	-0.994521895368,    	2.875033276922,     	-1.466076571675,    	1.0,                	
12,    	-0.099715472125,    	-0.03135321757,     	-0.994521895368,    	3.446231941211,     	-1.466076571675,    	1.0,                	
13,    	-0.066935164026,    	-0.080286259409,    	-0.994521895368,    	4.0174306055,       	-1.466076571675,    	1.0,                	
14,    	-0.012903414291,    	-0.103728981161,    	-0.994521895368,    	4.588629269789,     	-1.466076571675,    	1.0,                	
15,    	0.045225078311,     	-0.094238484309,    	-0.994521895368,    	5.159827934078,     	-1.466076571675,    	1.0,                	
16,    	0.088994928094,     	-0.054827934546,    	-0.994521895368,    	5.731026598367,     	-1.466076571675,    	1.0,                	
17,    	0.156404310808,     	0.003071386177,     	-0.987688340595,    	0.019634954085,     	-1.413716694115,    	1.0,                	
18,    	0.143323372948,     	0.062690929322,     	-0.987688340595,    	0.412334035784,     	-1.413716694115,    	1.0,                	
