This run aims to check if discrepancy is less than 0.0131
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.026583497789,     	0.0,                	0.999646596376,     	0.0,                	1.544209696995,     	1.0,                	0.003178576689,     	0.007714761056,     	0.007714761056,     	Normal,             	
1,     	0.025464052586,     	0.007633110807,     	0.999646596376,     	0.291236827193,     	1.544209696995,     	1.0,                	0.003098115205,     	0.008000792432,     	0.008000792432,     	Normal,             	
2,     	0.02203959651,      	0.014864001493,     	0.999646596376,     	0.593352877181,     	1.544209696995,     	1.0,                	0.00318492134,      	0.00799962508,      	0.00799962508,      	Normal,             	
3,     	0.016619671971,     	0.02074774345,      	0.999646596376,     	0.895424508783,     	1.544209696995,     	1.0,                	0.003135453197,     	0.007999759447,     	0.007999759447,     	Normal,             	
4,     	0.009694617528,     	0.024752711885,     	0.999646596376,     	1.197501253106,     	1.544209696995,     	1.0,                	0.003183928654,     	0.007996720379,     	0.007996720379,     	Normal,             	
5,     	0.001894698525,     	0.026515890937,     	0.999646596376,     	1.499462359828,     	1.544209696995,     	1.0,                	0.003173268566,     	0.008003117601,     	0.008003117601,     	Normal,             	
6,     	-0.006082970732,    	0.02587817269,      	0.999646596376,     	1.801666884276,     	1.544209696995,     	1.0,                	0.003161135026,     	0.007961775516,     	0.007961775516,     	Normal,             	
7,     	-0.013473281479,    	0.022916217857,     	0.999646596376,     	2.102298399897,     	1.544209696995,     	1.0,                	0.003193418235,     	0.007926037819,     	0.007926037819,     	Normal,             	
8,     	-0.019630676551,    	0.01792537009,      	0.999646596376,     	2.401570296887,     	1.544209696995,     	1.0,                	0.003155814097,     	0.007932647187,     	0.007932647187,     	Normal,             	
9,     	-0.02404581045,     	0.011334961601,     	0.999646596376,     	2.701093632666,     	1.544209696995,     	1.0,                	0.003163036254,     	0.008040067024,     	0.008040067024,     	Normal,             	
10,    	-0.026334819684,    	0.003627620006,     	0.999646596376,     	3.004704190632,     	1.544209696995,     	1.0,                	0.003151716465,     	0.008124251068,     	0.008124251068,     	Normal,             	
11,    	-0.026200622718,    	-0.00449552265,     	0.999646596376,     	3.311518763549,     	1.544209696995,     	1.0,                	0.003103891576,     	0.008014871566,     	0.008014871566,     	Normal,             	
12,    	0.049163357643,     	0.0,                	0.998790750991,     	0.0,                	1.521613142648,     	1.0,                	0.001624708893,     	0.017672519572,     	0.017672519572,     	Normal,             	
13,    	0.045987029143,     	0.017384731383,     	0.998790750991,     	0.361429305838,     	1.521613142648,     	1.0,                	0.001618117941,     	0.017642858615,     	0.017655247044,     	cover cap,          	
14,    	0.036880086745,     	0.032509920584,     	0.998790750991,     	0.722501472274,     	1.521613142648,     	1.0,                	0.00161249153,      	0.017671267949,     	0.017671267949,     	Normal,             	
15,    	0.023002592283,     	0.043450160909,     	0.998790750991,     	1.083904898263,     	1.521613142648,     	1.0,                	0.001498797086,     	0.018106657433,     	0.018106657433,     	Normal,             	
16,    	0.005713690976,     	0.04883021063,      	0.998790750991,     	1.45431461599,      	1.521613142648,     	1.0,                	0.001595929828,     	0.017722439241,     	0.017722439241,     	Normal,             	
17,    	-0.011971611101,    	0.047683500945,     	0.998790750991,     	1.816776162938,     	1.521613142648,     	1.0,                	0.001595226092,     	0.017666173339,     	0.017666173339,     	Normal,             	
18,    	-0.028054292965,    	0.040373164119,     	0.998790750991,     	2.178074248076,     	1.521613142648,     	1.0,                	0.001518097353,     	0.018100098087,     	0.018100098087,     	Normal,             	
19,    	-0.040762875478,    	0.027484972575,     	0.998790750991,     	2.548348225908,     	1.521613142648,     	1.0,                	0.001522168659,     	0.018057552511,     	0.018057552511,     	Normal,             	
20,    	-0.047936724287,    	0.010913578669,     	0.998790750991,     	2.91774180225,      	1.521613142648,     	1.0,                	0.001609475124,     	0.01767318168,      	0.01767318168,      	Normal,             	
21,    	-0.048698720893,    	-0.006743168253,    	0.998790750991,     	3.279184798563,     	1.521613142648,     	1.0,                	0.00152579455,      	0.018170870056,     	0.018170870056,     	Normal,             	
22,    	0.077132502895,     	0.0,                	0.997020850834,     	0.0,                	1.493587136095,     	1.0,                	0.00188591749,      	0.015712595176,     	0.015712595176,     	Normal,             	
23,    	0.075532103337,     	0.015630878683,     	0.997020850834,     	0.204063011138,     	1.493587136095,     	1.0,                	0.001801254218,     	0.015784576313,     	0.015784576313,     	Normal,             	
24,    	0.070768567315,     	0.030679518952,     	0.997020850834,     	0.409064137648,     	1.493587136095,     	1.0,                	0.001878099201,     	0.016178133832,     	0.016178133832,     	Normal,             	
25,    	0.062812529467,     	0.044766160711,     	0.997020850834,     	0.619195224365,     	1.493587136095,     	1.0,                	0.001885740609,     	0.016063218855,     	0.016063218855,     	Normal,             	
26,    	0.052178345233,     	0.056805310418,     	0.997020850834,     	0.827828270561,     	1.493587136095,     	1.0,                	0.00189285037,      	0.016128542374,     	0.016128542374,     	Normal,             	
27,    	0.039224640889,     	0.066414234544,     	0.997020850834,     	1.037312864729,     	1.493587136095,     	1.0,                	0.001872401182,     	0.015913776994,     	0.015913776994,     	Normal,             	
28,    	0.024760497652,     	0.073050261868,     	0.997020850834,     	1.243997950854,     	1.493587136095,     	1.0,                	0.001824158701,     	0.015671548414,     	0.015671548414,     	Normal,             	
29,    	0.009484084676,     	0.076547208576,     	0.997020850834,     	1.447526028167,     	1.493587136095,     	1.0,                	0.001803132623,     	0.016322453519,     	0.016322453519,     	Normal,             	
30,    	-0.006835936488,    	0.076828985255,     	0.997020850834,     	1.659538645212,     	1.493587136095,     	1.0,                	0.001889360862,     	0.015714415416,     	0.015714415416,     	Normal,             	
31,    	-0.022265222455,    	0.073849054645,     	0.997020850834,     	1.863625378618,     	1.493587136095,     	1.0,                	0.001850956427,     	0.01603399139,      	0.01603399139,      	Normal,             	
32,    	-0.037052450288,    	0.067650121438,     	0.997020850834,     	2.071877432093,     	1.493587136095,     	1.0,                	0.001801388947,     	0.015964931497,     	0.015964931497,     	Normal,             	
33,    	-0.050185845735,    	0.05857306455,      	0.997020850834,     	2.279229289923,     	1.493587136095,     	1.0,                	0.001877098643,     	0.016132212109,     	0.016132212109,     	Normal,             	
34,    	-0.061271543496,    	0.04685318517,      	0.997020850834,     	2.488761723362,     	1.493587136095,     	1.0,                	0.00183428425,      	0.016247717613,     	0.016247717613,     	Normal,             	
35,    	-0.069726751656,    	0.032978828155,     	0.997020850834,     	2.699799967084,     	1.493587136095,     	1.0,                	0.001862945602,     	0.015979295525,     	0.015979295525,     	Normal,             	
36,    	-0.075025849571,    	0.017903767732,     	0.997020850834,     	2.907339056531,     	1.493587136095,     	1.0,                	0.001825650641,     	0.016334332348,     	0.016334332348,     	Normal,             	
37,    	-0.077113691197,    	0.001703418026,     	0.997020850834,     	3.119506549078,     	1.493587136095,     	1.0,                	0.001779376075,     	0.016961663237,     	0.016961663237,     	Normal,             	
38,    	-0.075621501809,    	-0.015192480607,    	0.997020850834,     	3.339854984734,     	1.493587136095,     	1.0,                	0.001872024528,     	0.016309753475,     	0.016309753475,     	Normal,             	
39,    	0.104139254231,     	0.0,                	0.994562725889,     	0.0,                	1.466467916546,     	1.0,                	0.001982487397,     	0.016014119988,     	0.016014119988,     	Normal,             	
40,    	0.102907960417,     	0.015966713956,     	0.994562725889,     	0.153927938629,     	1.466467916546,     	1.0,                	0.002036459547,     	0.015843091702,     	0.015843091702,     	Normal,             	
41,    	0.099295037346,     	0.031392353053,     	0.994562725889,     	0.306208749553,     	1.466467916546,     	1.0,                	0.002033315084,     	0.016058229736,     	0.016058229736,     	Normal,             	
42,    	0.093288263967,     	0.046284814764,     	0.994562725889,     	0.460561514293,     	1.466467916546,     	1.0,                	0.001914136014,     	0.016072415508,     	0.016072415508,     	Normal,             	
43,    	0.085055118928,     	0.060088360071,     	0.994562725889,     	0.615050905342,     	1.466467916546,     	1.0,                	0.001925790298,     	0.01610762655,      	0.01610762655,      	Normal,             	
44,    	0.074771422291,     	0.072485989545,     	0.994562725889,     	0.769879424834,     	1.466467916546,     	1.0,                	0.001855548551,     	0.016167060158,     	0.016167060158,     	Normal,             	
