This run aims to check if discrepancy is less than 0.0124
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.545487131987,     	0.007523622787,     	0.3048369413,       	1.53920185522,      	0,     	11,    	12,    	
2,     	1.524147829677,     	0.016807481402,     	0.369583072858,     	1.510220424341,     	12,    	21,    	10,    	
3,     	1.497185498015,     	0.015040026678,     	0.216263250267,     	1.484442778325,     	22,    	37,    	16,    	
4,     	1.471657361931,     	0.014644285258,     	0.148092266269,     	1.459205001351,     	38,    	59,    	22,    	
5,     	1.446419900497,     	0.014549321665,     	0.13084074244,      	1.434031429833,     	60,    	86,    	27,    	
6,     	1.421250162545,     	0.014577513804,     	0.108736093282,     	1.408517717938,     	87,    	118,   	32,    	
7,     	1.396404355767,     	0.014035251974,     	0.087756537627,     	1.384171683281,     	119,   	156,   	38,    	
8,     	1.371305370775,     	0.014855546582,     	0.082557161619,     	1.358524667448,     	157,   	198,   	42,    	
9,     	1.346151761287,     	0.014282578733,     	0.064127466674,     	1.333609053466,     	199,   	245,   	47,    	
10,    	1.320890583527,     	0.014605220032,     	0.05906428287,      	1.308346358635,     	246,   	298,   	53,    	
11,    	1.295541545602,     	0.014774760403,     	0.057696489651,     	1.28266219454,      	299,   	355,   	57,    	
12,    	1.270112864048,     	0.014578995049,     	0.054579631514,     	1.25726634662,      	356,   	416,   	61,    	
13,    	1.24499758104,      	0.01414461534,      	0.049095957203,     	1.232689271678,     	417,   	483,   	67,    	
14,    	1.219908332058,     	0.014710173724,     	0.043342377458,     	1.207242624969,     	484,   	555,   	72,    	
15,    	1.195175419448,     	0.013935816773,     	0.042886250503,     	1.183104787757,     	556,   	632,   	77,    	
16,    	1.170674792105,     	0.014351399419,     	0.038872314052,     	1.158273719015,     	633,   	714,   	82,    	
17,    	1.146816581551,     	0.013380968908,     	0.041192386316,     	1.135177619073,     	715,   	799,   	85,    	
18,    	1.122284881391,     	0.014876202262,     	0.035778846219,     	1.109458964952,     	800,   	887,   	88,    	
19,    	1.097617887488,     	0.013620491862,     	0.029889109475,     	1.085641353972,     	888,   	980,   	93,    	
20,    	1.073476257919,     	0.014333596223,     	0.030046065649,     	1.06092873455,      	981,   	1076,  	96,    	
21,    	1.049856058969,     	0.01281987321,      	0.029948354387,     	1.037855000489,     	1077,  	1173,  	97,    	
22,    	1.024790296827,     	0.015339261721,     	0.029540662571,     	1.011554254427,     	1174,  	1275,  	102,   	
23,    	0.999567270115,     	0.013849159522,     	0.02979335467,      	0.987337667359,     	1276,  	1382,  	107,   	
24,    	0.975323505631,     	0.013889285137,     	0.030737064387,     	0.963005898478,     	1383,  	1493,  	111,   	
25,    	0.951055471654,     	0.013819955352,     	0.028212335474,     	0.938777346913,     	1494,  	1608,  	115,   	
26,    	0.928077439617,     	0.012341705358,     	0.025855983928,     	0.916707067063,     	1609,  	1728,  	120,   	
27,    	0.904748920749,     	0.013846497116,     	0.026231742167,     	0.89256529464,      	1729,  	1855,  	127,   	
28,    	0.880817979579,     	0.013539878433,     	0.027884214671,     	0.869119690074,     	1856,  	1989,  	134,   	
29,    	0.860166490791,     	0.010360873452,     	0.02596686412,      	0.850737190416,     	1990,  	2136,  	147,   	
30,    	0.843914261813,     	0.007873492017,     	0.022663597237,     	0.836626488236,     	2137,  	2305,  	169,   	
31,    	0.826814091585,     	0.011339194728,     	0.023584467851,     	0.817011418049,     	2306,  	2452,  	147,   	
32,    	0.807464350888,     	0.011005919341,     	0.023637621244,     	0.797948674106,     	2453,  	2606,  	154,   	
33,    	0.787894266831,     	0.011654182962,     	0.020287319172,     	0.777818397157,     	2607,  	2770,  	164,   	
34,    	0.769864487121,     	0.009184721388,     	0.01812563274,      	0.761842705428,     	2771,  	2942,  	172,   	
35,    	0.753517976327,     	0.009611091509,     	0.022050782879,     	0.74520529598,      	2943,  	3101,  	159,   	
36,    	0.736766245912,     	0.009793716605,     	0.017999524509,     	0.727944141079,     	3102,  	3271,  	170,   	
37,    	0.718671886628,     	0.010702674096,     	0.018452161615,     	0.709415535407,     	3272,  	3450,  	179,   	
38,    	0.701629356373,     	0.008986502814,     	0.018746300847,     	0.692593918378,     	3451,  	3619,  	169,   	
39,    	0.684933503443,     	0.008844738106,     	0.018417175234,     	0.676794956875,     	3620,  	3794,  	175,   	
40,    	0.668110093343,     	0.010017991419,     	0.016041297254,     	0.659183940236,     	3795,  	3977,  	183,   	
41,    	0.648846696565,     	0.01215499385,      	0.017929966434,     	0.638334039862,     	3978,  	4156,  	179,   	
42,    	0.627778197654,     	0.012183508244,     	0.015053879017,     	0.617240305394,     	4157,  	4334,  	178,   	
43,    	0.608369996653,     	0.010245995525,     	0.01890430024,      	0.599391005667,     	4335,  	4517,  	183,   	
44,    	0.589271790038,     	0.011676714219,     	0.015935031857,     	0.579170737771,     	4518,  	4706,  	189,   	
45,    	0.570589110049,     	0.009925369506,     	0.018313368524,     	0.562001320738,     	4707,  	4904,  	198,   	
46,    	0.552026720488,     	0.011674277023,     	0.016594537259,     	0.541926877954,     	4905,  	5097,  	193,   	
47,    	0.531459804749,     	0.012080608075,     	0.016205195483,     	0.521008288807,     	5098,  	5289,  	192,   	
48,    	0.511070086618,     	0.011484493479,     	0.015073149268,     	0.501133359572,     	5290,  	5484,  	195,   	
49,    	0.491743064402,     	0.0108421279,       	0.017589940885,     	0.482079094261,     	5485,  	5688,  	204,   	
50,    	0.473097545024,     	0.010375055207,     	0.016901193807,     	0.464119290536,     	5689,  	5897,  	209,   	
51,    	0.454146149452,     	0.011521219853,     	0.017778235078,     	0.444052039769,     	5898,  	6100,  	203,   	
52,    	0.433262033113,     	0.01245847634,      	0.01372692758,      	0.422481511597,     	6101,  	6304,  	204,   	
53,    	0.414322326918,     	0.009425311888,     	0.016752069555,     	0.40545920765,      	6305,  	6513,  	209,   	
54,    	0.397371748749,     	0.009346824799,     	0.016918084862,     	0.388660716013,     	6514,  	6729,  	216,   	
55,    	0.381234635542,     	0.0087557079,       	0.016787265406,     	0.373105134163,     	6730,  	6938,  	209,   	
56,    	0.36407690439,      	0.010439166067,     	0.018302586288,     	0.354661612858,     	6939,  	7154,  	216,   	
57,    	0.345923136537,     	0.010093937731,     	0.015490455427,     	0.336800706873,     	7155,  	7376,  	222,   	
58,    	0.326541410362,     	0.011860736584,     	0.015163427698,     	0.316275546249,     	7377,  	7592,  	216,   	
59,    	0.305839201332,     	0.012062098237,     	0.016518382115,     	0.29539873371,      	7593,  	7807,  	215,   	
60,    	0.285344650772,     	0.01163712499,      	0.016824617871,     	0.275117180566,     	7808,  	8021,  	214,   	
61,    	0.266252930744,     	0.01027890854,      	0.014373568769,     	0.256912113674,     	8022,  	8242,  	221,   	
62,    	0.247117087139,     	0.011805757858,     	0.014220411932,     	0.236897277359,     	8243,  	8466,  	224,   	
63,    	0.226730364579,     	0.011762875217,     	0.014284464341,     	0.21654728855,      	8467,  	8691,  	225,   	
64,    	0.206030165743,     	0.012738967526,     	0.013671266015,     	0.195001986666,     	8692,  	8913,  	222,   	
65,    	0.185240069088,     	0.011415499068,     	0.012745409813,     	0.175356902035,     	8914,  	9135,  	222,   	
66,    	0.165466198972,     	0.011439781785,     	0.014530741247,     	0.155228811968,     	9136,  	9361,  	226,   	
67,    	0.145547175992,     	0.011203472865,     	0.015771251193,     	0.135492775896,     	9362,  	9592,  	231,   	
68,    	0.126227699547,     	0.011263533238,     	0.015237829315,     	0.11639970291,      	9593,  	9827,  	235,   	
69,    	0.106120139431,     	0.011871110598,     	0.015883968913,     	0.095841211811,     	9828,  	10057, 	230,   	
70,    	0.085443512973,     	0.01201536273,      	0.016005001581,     	0.075039324137,     	10058, 	10285, 	228,   	
71,    	0.066287322329,     	0.010129733825,     	0.013512827269,     	0.057515491945,     	10286, 	10518, 	233,   	
72,    	0.049910019179,     	0.008812936158,     	0.014804647792,     	0.042278228219,     	10519, 	10767, 	249,   	
73,    	0.034157546117,     	0.009378747013,     	0.013630565678,     	0.026035629199,     	10768, 	11005, 	238,   	
74,    	0.0186207433,       	0.00857820056,      	0.014521336341,     	0.011191929436,     	11006, 	11236, 	231,   	
75,    	0.005378901172,     	0.006718144785,     	0.012673600156,     	-0.000439174456,    	11237, 	11506, 	270,   	
