Point's Coordinates for twisted_polar_coordinates_63

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.049835969957,     	0.000994191012,     	-0.998756921219,    	0.019946620023,     	-1.520929776738,    	1.0,                	
2,     	0.014454629808,     	0.047704045892,     	-0.998756921219,    	1.276583681459,     	-1.520929776738,    	1.0,                	
3,     	-0.040902517441,    	0.02848853075,      	-0.998756921219,    	2.533220742895,     	-1.520929776738,    	1.0,                	
4,     	-0.039733775811,    	-0.030097165599,    	-0.998756921219,    	3.789857804331,     	-1.520929776738,    	1.0,                	
5,     	0.016345693488,     	-0.047089602055,    	-0.998756921219,    	5.046494865766,     	-1.520929776738,    	1.0,                	
6,     	0.099551477282,     	0.001805393785,     	-0.995030775365,    	0.01813329093,      	-1.471063226681,    	1.0,                	
7,     	0.08277196239,      	0.055340385957,     	-0.995030775365,    	0.589331955219,     	-1.471063226681,    	1.0,                	
8,     	0.039712934278,     	0.091305196603,     	-0.995030775365,    	1.160530619508,     	-1.471063226681,    	1.0,                	
9,     	-0.015954669869,    	0.09828125246,      	-0.995030775365,    	1.731729283797,     	-1.471063226681,    	1.0,                	
10,    	-0.066556779063,    	0.074053705083,     	-0.995030775365,    	2.302927948086,     	-1.471063226681,    	1.0,                	
11,    	-0.096027581172,    	0.02631462958,      	-0.995030775365,    	2.874126612375,     	-1.471063226681,    	1.0,                	
12,    	-0.095010304758,    	-0.029779154884,    	-0.995030775365,    	3.445325276664,     	-1.471063226681,    	1.0,                	
13,    	-0.063827927893,    	-0.076418268081,    	-0.995030775365,    	4.016523940953,     	-1.471063226681,    	1.0,                	
14,    	-0.012380634909,    	-0.098795121109,    	-0.995030775365,    	4.587722605242,     	-1.471063226681,    	1.0,                	
15,    	0.042997422181,     	-0.089805221238,    	-0.995030775365,    	5.158921269531,     	-1.471063226681,    	1.0,                	
16,    	0.084724101534,     	-0.052302798157,    	-0.995030775365,    	5.73011993382,      	-1.471063226681,    	1.0,                	
17,    	0.149016207762,     	0.002786921428,     	-0.988830826225,    	0.018699956271,     	-1.421196676624,    	1.0,                	
18,    	0.136606515706,     	0.05960081353,      	-0.988830826225,    	0.41139903797,      	-1.421196676624,    	1.0,                	
19,    	0.103399719975,     	0.107341022056,     	-0.988830826225,    	0.804098119669,     	-1.421196676624,    	1.0,                	
20,    	0.054451254199,     	0.138739533022,     	-0.988830826225,    	1.196797201368,     	-1.421196676624,    	1.0,                	
21,    	-0.002786921428,    	0.149016207762,     	-0.988830826225,    	1.589496283066,     	-1.421196676624,    	1.0,                	
22,    	-0.05960081353,     	0.136606515706,     	-0.988830826225,    	1.982195364765,     	-1.421196676624,    	1.0,                	
23,    	-0.107341022056,    	0.103399719975,     	-0.988830826225,    	2.374894446464,     	-1.421196676624,    	1.0,                	
24,    	-0.138739533022,    	0.054451254199,     	-0.988830826225,    	2.767593528162,     	-1.421196676624,    	1.0,                	
25,    	-0.149016207762,    	-0.002786921428,    	-0.988830826225,    	3.160292609861,     	-1.421196676624,    	1.0,                	
26,    	-0.136606515706,    	-0.05960081353,     	-0.988830826225,    	3.55299169156,      	-1.421196676624,    	1.0,                	
27,    	-0.103399719975,    	-0.107341022056,    	-0.988830826225,    	3.945690773259,     	-1.421196676624,    	1.0,                	
28,    	-0.054451254199,    	-0.138739533022,    	-0.988830826225,    	4.338389854957,     	-1.421196676624,    	1.0,                	
29,    	0.002786921428,     	-0.149016207762,    	-0.988830826225,    	4.731088936656,     	-1.421196676624,    	1.0,                	
30,    	0.05960081353,      	-0.136606515706,    	-0.988830826225,    	5.123788018355,     	-1.421196676624,    	1.0,                	
31,    	0.107341022056,     	-0.103399719975,    	-0.988830826225,    	5.516487100054,     	-1.421196676624,    	1.0,                	
32,    	0.138739533022,     	-0.054451254199,    	-0.988830826225,    	5.909186181752,     	-1.421196676624,    	1.0,                	
33,    	0.198113567257,     	0.003592844756,     	-0.980172487849,    	0.01813329093,      	-1.371330126567,    	1.0,                	
34,    	0.189076354421,     	0.059262351147,     	-0.980172487849,    	0.303732623074,     	-1.371330126567,    	1.0,                	
35,    	0.164721299831,     	0.110130774295,     	-0.980172487849,    	0.589331955219,     	-1.371330126567,    	1.0,                	
36,    	0.127021505163,     	0.152077057082,     	-0.980172487849,    	0.874931287363,     	-1.371330126567,    	1.0,                	
37,    	0.079031183574,     	0.181702961142,     	-0.980172487849,    	1.160530619508,     	-1.371330126567,    	1.0,                	
38,    	0.024638225507,     	0.196608371919,     	-0.980172487849,    	1.446129951652,     	-1.371330126567,    	1.0,                	
39,    	-0.031750775061,    	0.195585741678,     	-0.980172487849,    	1.731729283797,     	-1.371330126567,    	1.0,                	
40,    	-0.085567516662,    	0.17871791784,      	-0.980172487849,    	2.017328615941,     	-1.371330126567,    	1.0,                	
41,    	-0.132452086954,    	0.147371431174,     	-0.980172487849,    	2.302927948086,     	-1.371330126567,    	1.0,                	
42,    	-0.168606176883,    	0.104085787607,     	-0.980172487849,    	2.588527280231,     	-1.371330126567,    	1.0,                	
43,    	-0.1911007971,      	0.05236773255,      	-0.980172487849,    	2.874126612375,     	-1.371330126567,    	1.0,                	
44,    	-0.198113567257,    	-0.003592844756,    	-0.980172487849,    	3.15972594452,      	-1.371330126567,    	1.0,                	
45,    	-0.189076354421,    	-0.059262351147,    	-0.980172487849,    	3.445325276664,     	-1.371330126567,    	1.0,                	
46,    	-0.164721299831,    	-0.110130774295,    	-0.980172487849,    	3.730924608809,     	-1.371330126567,    	1.0,                	
47,    	-0.127021505163,    	-0.152077057082,    	-0.980172487849,    	4.016523940953,     	-1.371330126567,    	1.0,                	
48,    	-0.079031183574,    	-0.181702961142,    	-0.980172487849,    	4.302123273098,     	-1.371330126567,    	1.0,                	
49,    	-0.024638225507,    	-0.196608371919,    	-0.980172487849,    	4.587722605242,     	-1.371330126567,    	1.0,                	
50,    	0.031750775061,     	-0.195585741678,    	-0.980172487849,    	4.873321937387,     	-1.371330126567,    	1.0,                	
51,    	0.085567516662,     	-0.17871791784,     	-0.980172487849,    	5.158921269531,     	-1.371330126567,    	1.0,                	
52,    	0.132452086954,     	-0.147371431174,    	-0.980172487849,    	5.444520601676,     	-1.371330126567,    	1.0,                	
53,    	0.168606176883,     	-0.104085787607,    	-0.980172487849,    	5.73011993382,      	-1.371330126567,    	1.0,                	
54,    	0.1911007971,       	-0.05236773255,     	-0.980172487849,    	6.015719265965,     	-1.371330126567,    	1.0,                	
55,    	0.246715313502,     	0.004557126143,     	-0.969077286229,    	0.018469092614,     	-1.32146357651,     	1.0,                	
56,    	0.239014124683,     	0.061330755066,     	-0.969077286229,    	0.251179659546,     	-1.32146357651,     	1.0,                	
57,    	0.218427622536,     	0.114798027109,     	-0.969077286229,    	0.483890226479,     	-1.32146357651,     	1.0,                	
58,    	0.18606563072,      	0.162076507797,     	-0.969077286229,    	0.716600793411,     	-1.32146357651,     	1.0,                	
59,    	0.143672792591,     	0.200617401997,     	-0.969077286229,    	0.949311360344,     	-1.32146357651,     	1.0,                	
60,    	0.093534517025,     	0.228342960128,     	-0.969077286229,    	1.182021927277,     	-1.32146357651,     	1.0,                	
61,    	0.038353771435,     	0.243758490173,     	-0.969077286229,    	1.414732494209,     	-1.32146357651,     	1.0,                	
62,    	-0.018894635899,    	0.246032936919,     	-0.969077286229,    	1.647443061142,     	-1.32146357651,     	1.0,                	
63,    	-0.075124428522,    	0.235043684353,     	-0.969077286229,    	1.880153628074,     	-1.32146357651,     	1.0,                	
64,    	-0.127304243758,    	0.211383165924,     	-0.969077286229,    	2.112864195007,     	-1.32146357651,     	1.0,                	
65,    	-0.172621054262,    	0.176326926305,     	-0.969077286229,    	2.345574761939,     	-1.32146357651,     	1.0,                	
66,    	-0.208631819049,    	0.13176485645,      	-0.969077286229,    	2.578285328872,     	-1.32146357651,     	1.0,                	
67,    	-0.233395188469,    	0.080099309076,     	-0.969077286229,    	2.810995895805,     	-1.32146357651,     	1.0,                	
68,    	-0.245576162866,    	0.024115587218,     	-0.969077286229,    	3.043706462737,     	-1.32146357651,     	1.0,                	
69,    	-0.244518062758,    	-0.03316821219,     	-0.969077286229,    	3.27641702967,      	-1.32146357651,     	1.0,                	
70,    	-0.230277930596,    	-0.088663904693,    	-0.969077286229,    	3.509127596602,     	-1.32146357651,     	1.0,                	
71,    	-0.20362345559,     	-0.139379703144,    	-0.969077286229,    	3.741838163535,     	-1.32146357651,     	1.0,                	
72,    	-0.165991587387,    	-0.182581505722,    	-0.969077286229,    	3.974548730468,     	-1.32146357651,     	1.0,                	
73,    	-0.119411069743,    	-0.215940292066,    	-0.969077286229,    	4.2072592974,       	-1.32146357651,     	1.0,                	
74,    	-0.066393070421,    	-0.237657681372,    	-0.969077286229,    	4.439969864333,     	-1.32146357651,     	1.0,                	
75,    	-0.009795803487,    	-0.246562883559,    	-0.969077286229,    	4.672680431265,     	-1.32146357651,     	1.0,                	
76,    	0.047329557749,     	-0.242175816873,    	-0.969077286229,    	4.905390998198,     	-1.32146357651,     	1.0,                	
77,    	0.101903370275,     	-0.224732989215,    	-0.969077286229,    	5.13810156513,      	-1.32146357651,     	1.0,                	
78,    	0.150983545733,     	-0.195174747938,    	-0.969077286229,    	5.370812132063,     	-1.32146357651,     	1.0,                	
79,    	0.19192415916,      	-0.155094585481,    	-0.969077286229,    	5.603522698996,     	-1.32146357651,     	1.0,                	
80,    	0.22251809149,      	-0.106653233775,    	-0.969077286229,    	5.836233265928,     	-1.32146357651,     	1.0,                	
81,    	0.24111601591,      	-0.052462178631,    	-0.969077286229,    	6.068943832861,     	-1.32146357651,     	1.0,                	
82,    	0.294703639685,     	0.005511587636,     	-0.955572805786,    	0.018699956271,     	-1.271597026453,    	1.0,                	
83,    	0.287965734478,     	0.062899511991,     	-0.955572805786,    	0.215049497121,     	-1.271597026453,    	1.0,                	
84,    	0.270161467587,     	0.117870243374,     	-0.955572805786,    	0.41139903797,      	-1.271597026453,    	1.0,                	
85,    	0.241975047006,     	0.168311287407,     	-0.955572805786,    	0.607748578819,     	-1.271597026453,    	1.0,                	
