This run aims to check if discrepancy is less than 0.0282
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.055767408134,     	0.0,                	0.998443787196,     	0.0,                	1.51499997199,      	1.0,                	0.007259933477,     	0.017938854088,     	0.017938854088,     	Normal,             	
1,     	0.052882188104,     	0.017705309694,     	0.998443787196,     	0.323075977465,     	1.51499997199,      	1.0,                	0.007395014821,     	0.015632620629,     	0.01648527401,      	cover cap,          	
2,     	0.045395321422,     	0.032392415825,     	0.998443787196,     	0.619770681987,     	1.51499997199,      	1.0,                	0.00694631296,      	0.019210753826,     	0.019210753826,     	Normal,             	
3,     	0.031710097386,     	0.045874541237,     	0.998443787196,     	0.965977036381,     	1.51499997199,      	1.0,                	0.007087290601,     	0.018728798144,     	0.018728798144,     	Normal,             	
4,     	0.014734212382,     	0.053785749,        	0.998443787196,     	1.303413360662,     	1.51499997199,      	1.0,                	0.007266326323,     	0.018230797498,     	0.018230797498,     	Normal,             	
5,     	-0.0033996044,      	0.055663691037,     	0.998443787196,     	1.631794562665,     	1.51499997199,      	1.0,                	0.007272031079,     	0.018508084808,     	0.018508084808,     	Normal,             	
6,     	-0.021429922505,    	0.051485553618,     	0.998443787196,     	1.965216816403,     	1.51499997199,      	1.0,                	0.007165650585,     	0.018592468793,     	0.018592468793,     	Normal,             	
7,     	-0.037163704933,    	0.041579596506,     	0.998443787196,     	2.300173584295,     	1.51499997199,      	1.0,                	0.007035718902,     	0.018873538701,     	0.018873538701,     	Normal,             	
8,     	-0.048904376134,    	0.026802347003,     	0.998443787196,     	2.64024302116,      	1.51499997199,      	1.0,                	0.00701299857,      	0.018777755651,     	0.018777755651,     	Normal,             	
9,     	-0.055027999007,    	0.009051139996,     	0.998443787196,     	2.978569911506,     	1.51499997199,      	1.0,                	0.007084226221,     	0.018725996393,     	0.018725996393,     	Normal,             	
10,    	-0.054921824332,    	-0.009674555393,    	0.998443787196,     	3.315955272307,     	1.51499997199,      	1.0,                	0.00713891356,      	0.018572143376,     	0.018572143376,     	Normal,             	
11,    	0.090777806283,     	0.0,                	0.99587117133,      	0.0,                	1.479893378475,     	1.0,                	0.007381261852,     	0.023578008355,     	0.023578008355,     	Normal,             	
12,    	0.087715810732,     	0.023378337435,     	0.99587117133,      	0.260468858779,     	1.479893378475,     	1.0,                	0.007519389754,     	0.022670852719,     	0.023578008355,     	cover cap,          	
13,    	0.078736390356,     	0.045179541248,     	0.99587117133,      	0.520937717557,     	1.479893378475,     	1.0,                	0.007450273042,     	0.022787604482,     	0.023578008355,     	cover cap,          	
14,    	0.064445308752,     	0.06393287334,      	0.99587117133,      	0.781406576336,     	1.479893378475,     	1.0,                	0.007219469909,     	0.02768387148,      	0.02768387148,      	Normal,             	
15,    	0.042179356748,     	0.080383530514,     	0.99587117133,      	1.087563869917,     	1.479893378475,     	1.0,                	0.007505465069,     	0.025124059213,     	0.025124059213,     	Normal,             	
16,    	0.018530668017,     	0.088866329149,     	0.99587117133,      	1.365219227152,     	1.479893378475,     	1.0,                	0.007554216522,     	0.02454483224,      	0.02454483224,      	Normal,             	
17,    	-0.005954105339,    	0.090582331297,     	0.99587117133,      	1.636433325465,     	1.479893378475,     	1.0,                	0.007560992847,     	0.024296318518,     	0.024296318518,     	Normal,             	
18,    	-0.029766777632,    	0.085758667568,     	0.99587117133,      	1.904884713263,     	1.479893378475,     	1.0,                	0.00756301744,      	0.024320603835,     	0.024320603835,     	Normal,             	
19,    	-0.051467313475,    	0.074777842689,     	0.99587117133,      	2.173606056505,     	1.479893378475,     	1.0,                	0.007565619972,     	0.024851415945,     	0.024851415945,     	Normal,             	
20,    	-0.069817270478,    	0.058018607848,     	0.99587117133,      	2.448229143654,     	1.479893378475,     	1.0,                	0.00734694243,      	0.027951899164,     	0.027951899164,     	Normal,             	
21,    	-0.084159350633,    	0.034026663289,     	0.99587117133,      	2.75737428599,      	1.479893378475,     	1.0,                	0.007049456225,     	0.028644975226,     	0.028644975226,     	Normal,             	
22,    	-0.090572036332,    	0.00610871086,      	0.99587117133,      	3.074248762774,     	1.479893378475,     	1.0,                	0.007596289405,     	0.023574643952,     	0.023578008355,     	cover cap,          	
23,    	-0.089090179983,    	-0.017422684758,    	0.99587117133,      	3.334717621552,     	1.479893378475,     	1.0,                	0.007614979771,     	0.023433447414,     	0.023578008355,     	cover cap,          	
24,    	0.125251520214,     	0.0,                	0.992125020693,     	0.0,                	1.445214983029,     	1.0,                	0.008387524204,     	0.018922390661,     	0.018922390661,     	Normal,             	
25,    	0.123822168827,     	0.018868328568,     	0.992125020693,     	0.151219178389,     	1.445214983029,     	1.0,                	0.007952878596,     	0.019193202563,     	0.019193202563,     	Normal,             	
26,    	0.119485561261,     	0.037565196205,     	0.992125020693,     	0.304606785922,     	1.445214983029,     	1.0,                	0.008226636206,     	0.018460235291,     	0.018460235291,     	Normal,             	
27,    	0.112666298223,     	0.054719727344,     	0.992125020693,     	0.452125830858,     	1.445214983029,     	1.0,                	0.008987621647,     	0.016834597393,     	0.017059886782,     	cover cap,          	
28,    	0.104185418041,     	0.069522240927,     	0.992125020693,     	0.588436364325,     	1.445214983029,     	1.0,                	0.009147051882,     	0.017075287042,     	0.017075287042,     	Normal,             	
29,    	0.093761475791,     	0.083046547029,     	0.992125020693,     	0.724870138853,     	1.445214983029,     	1.0,                	0.009314011837,     	0.017088550223,     	0.017088550223,     	Normal,             	
30,    	0.081584860009,     	0.095036066486,     	0.992125020693,     	0.861410052812,     	1.445214983029,     	1.0,                	0.009243523217,     	0.017195082039,     	0.017195082039,     	Normal,             	
