This run aims to check if discrepancy is less than 0.0282
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.51499997199,      	0.01648527401,      	0.334587134102,     	1.501068615015,     	0,     	10,    	11,    	
2,     	1.479893378475,     	0.023578008355,     	0.260468858779,     	1.460238911442,     	11,    	23,    	13,    	
3,     	1.445214983029,     	0.017059886782,     	0.136614164186,     	1.43071995679,      	24,    	46,    	23,    	
4,     	1.406678593533,     	0.027409267059,     	0.204673223561,     	1.382523070899,     	47,    	64,    	18,    	
5,     	1.355264004344,     	0.031162545262,     	0.16020476655,      	1.327610601458,     	65,    	85,    	21,    	
6,     	1.298527134433,     	0.033173143953,     	0.134976391312,     	1.269482866781,     	86,    	110,   	25,    	
7,     	1.241249448357,     	0.032285442797,     	0.116758149005,     	1.213564335917,     	111,   	141,   	31,    	
8,     	1.18632154629,      	0.031259796022,     	0.098853049253,     	1.158984670279,     	142,   	176,   	35,    	
9,     	1.136401545621,     	0.025929321188,     	0.081015635234,     	1.11126983723,      	177,   	218,   	42,    	
10,    	1.092325992178,     	0.021751446648,     	0.058271059906,     	1.071888251692,     	219,   	270,   	52,    	
11,    	1.05880853395,      	0.015063722206,     	0.049447003243,     	1.047155634141,     	271,   	340,   	70,    	
12,    	1.028800443169,     	0.021163314656,     	0.044716116778,     	1.009408456032,     	341,   	398,   	58,    	
13,    	0.994367960595,     	0.017316210128,     	0.043810010737,     	0.978453816718,     	399,   	471,   	73,    	
14,    	0.960359124514,     	0.021923258977,     	0.050154994445,     	0.941458157245,     	472,   	537,   	66,    	
15,    	0.926240276392,     	0.017530214997,     	0.03892772848,      	0.910363356803,     	538,   	614,   	77,    	
16,    	0.896169315722,     	0.016409762218,     	0.048190959359,     	0.88067289592,      	615,   	699,   	85,    	
