number	direction_ind	# of covercap	
408	6656	2	
409	6659	2	
410	6660	2	
411	6664	2	
412	6667	2	
413	6670	2	
414	6672	2	
415	6674	2	
416	6675	2	
417	6677	2	
418	6682	2	
419	6683	2	
420	6692	2	
421	6700	2	
422	6703	2	
423	6756	2	
424	6771	2	
425	6843	2	
426	6850	2	
427	6853	2	
428	6856	2	
429	6857	2	
430	6858	2	
431	6861	2	
432	6862	2	
433	6869	2	
434	6874	2	
435	6879	2	
436	6880	2	
437	7046	2	
438	7048	2	
439	7049	5	
440	7050	2	
441	7051	5	
442	7052	3	
443	7054	2	
444	7055	2	
445	7056	2	
446	7061	2	
447	7068	2	
448	7220	2	
449	7231	2	
450	7233	2	
451	7234	4	
452	7235	4	
453	7236	4	
454	7237	6	
455	7238	7	
456	7239	2	
457	7240	4	
458	7241	2	
459	7242	2	
460	7243	3	
461	7244	2	
462	7245	2	
463	7246	2	
464	7247	2	
465	7248	2	
466	7249	2	
467	7250	2	
468	7251	2	
469	7254	2	
470	7259	2	
471	7262	2	
472	7267	2	
473	7284	2	
474	7410	2	
475	7418	2	
476	7424	2	
477	7428	2	
478	7429	2	
479	7430	3	
480	7431	3	
481	7433	2	
482	7434	4	
483	7435	6	
484	7436	7	
485	7437	9	
486	7438	8	
487	7439	7	
488	7440	7	
489	7441	7	
490	7442	7	
491	7443	8	
492	7444	7	
493	7445	7	
494	7446	4	
495	7447	5	
496	7448	4	
497	7449	4	
498	7450	5	
499	7451	4	
500	7452	3	
501	7454	4	
502	7455	3	
503	7456	2	
504	7457	4	
505	7458	2	
506	7459	2	
507	7460	2	
508	7461	2	
509	7463	2	
510	7465	2	
511	7467	2	
512	7468	2	
513	7469	2	
514	7473	2	
515	7476	2	
