This run aims to check if discrepancy is less than 0.0412
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.082333511974,     	0.0,                	0.996604832823,     	0.0,                	1.488369509415,     	1.0,                	0.010971770935,     	0.023052606025,     	0.023052606025,     	Normal,             	
1,     	0.079106255953,     	0.022825587903,     	0.996604832823,     	0.280913294309,     	1.488369509415,     	1.0,                	0.011091014634,     	0.022666768596,     	0.022666768596,     	Normal,             	
2,     	0.069884264895,     	0.043531559977,     	0.996604832823,     	0.557094492701,     	1.488369509415,     	1.0,                	0.010867293716,     	0.023391336815,     	0.023391336815,     	Normal,             	
3,     	0.054821790994,     	0.061427831039,     	0.996604832823,     	0.842163448851,     	1.488369509415,     	1.0,                	0.010853683536,     	0.023435508816,     	0.023435508816,     	Normal,             	
4,     	0.035294038134,     	0.07438506615,      	0.996604832823,     	1.127774412739,     	1.488369509415,     	1.0,                	0.010853982119,     	0.023434539648,     	0.023434539648,     	Normal,             	
5,     	0.012907707909,     	0.081315424554,     	0.996604832823,     	1.413373484334,     	1.488369509415,     	1.0,                	0.010853975431,     	0.023434561357,     	0.023434561357,     	Normal,             	
6,     	-0.010524347902,    	0.081658099997,     	0.996604832823,     	1.698972822312,     	1.488369509415,     	1.0,                	0.010853975581,     	0.023434560871,     	0.023434560871,     	Normal,             	
7,     	-0.033103783153,    	0.075385321747,     	0.996604832823,     	1.984572154326,     	1.488369509415,     	1.0,                	0.010853975578,     	0.023434560882,     	0.023434560882,     	Normal,             	
8,     	-0.05300134678,     	0.063005273061,     	0.996604832823,     	2.270171486473,     	1.488369509415,     	1.0,                	0.010853975578,     	0.023434560882,     	0.023434560882,     	Normal,             	
9,     	-0.068605056501,    	0.045520911858,     	0.996604832823,     	2.555770818617,     	1.488369509415,     	1.0,                	0.010853975578,     	0.023434560882,     	0.023434560882,     	Normal,             	
10,    	-0.078650792555,    	0.0243487171,       	0.996604832823,     	2.841370150762,     	1.488369509415,     	1.0,                	0.010853975578,     	0.023434560882,     	0.023434560882,     	Normal,             	
11,    	-0.08232470915,     	0.00120393409,      	0.996604832823,     	3.126969482907,     	1.488369509415,     	1.0,                	0.011000323581,     	0.023399155813,     	0.023399155813,     	Normal,             	
12,    	-0.079338734181,    	-0.022003919026,    	0.996604832823,     	3.412134379683,     	1.488369509415,     	1.0,                	0.010842820818,     	0.023470771421,     	0.023470771421,     	Normal,             	
13,    	0.121235472971,     	0.0,                	0.992623775704,     	0.0,                	1.449261884852,     	1.0,                	0.013487004646,     	0.026965422636,     	0.026965422636,     	Normal,             	
14,    	0.118236622882,     	0.026798151356,     	0.992623775704,     	0.222882938338,     	1.449261884852,     	1.0,                	0.013174969615,     	0.029705277696,     	0.029705277696,     	Normal,             	
