This run aims to check if discrepancy is less than 0.0175
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.535562540714,     	0.010279481427,     	0.302308329587,     	1.526938150252,     	0,     	11,    	12,    	
2,     	1.506234568171,     	0.022986532446,     	0.388722718155,     	1.487242016681,     	12,    	21,    	10,    	
3,     	1.468769038159,     	0.021702654663,     	0.213488906001,     	1.45032920291,      	22,    	37,    	16,    	
4,     	1.432982965493,     	0.019662627915,     	0.144089987223,     	1.4159317613,       	38,    	59,    	22,    	
5,     	1.39812320892,      	0.02050878714,      	0.119771097155,     	1.380605068539,     	60,    	85,    	26,    	
6,     	1.363687179068,     	0.019393535632,     	0.103935109534,     	1.346936101884,     	86,    	117,   	32,    	
7,     	1.329034089018,     	0.02090722108,      	0.096213473667,     	1.310792945997,     	118,   	152,   	35,    	
8,     	1.29290057409,      	0.020538823647,     	0.082832486388,     	1.275094535164,     	153,   	193,   	41,    	
9,     	1.257890205896,     	0.019844097198,     	0.07699520656,      	1.240454382453,     	194,   	238,   	45,    	
10,    	1.222852644179,     	0.020863336627,     	0.061198557374,     	1.204933865905,     	239,   	289,   	51,    	
11,    	1.188330933233,     	0.019082960804,     	0.051545249973,     	1.171365834569,     	290,   	345,   	56,    	
12,    	1.154639327961,     	0.019412261428,     	0.054284510278,     	1.137933887069,     	346,   	406,   	61,    	
13,    	1.120287837505,     	0.020261201493,     	0.04801052692,      	1.102846633194,     	407,   	470,   	64,    	
14,    	1.086341345371,     	0.019181745386,     	0.0411896614,       	1.069816360938,     	471,   	538,   	68,    	
15,    	1.053991124296,     	0.019058047636,     	0.03857322904,      	1.037565767903,     	539,   	610,   	72,    	
16,    	1.023453182328,     	0.01818904992,      	0.042080591088,     	1.007768432665,     	611,   	688,   	78,    	
17,    	0.995478330654,     	0.014154471696,     	0.038295108292,     	0.981572388288,     	689,   	779,   	91,    	
18,    	0.968570171275,     	0.014970335084,     	0.034094496496,     	0.955609467275,     	780,   	883,   	104,   	
19,    	0.942294091592,     	0.015332425911,     	0.033071921353,     	0.928671438247,     	884,   	982,   	99,    	
20,    	0.913845399157,     	0.017095991539,     	0.033060701943,     	0.899086850782,     	983,   	1077,  	95,    	
21,    	0.887240478431,     	0.01365305334,      	0.035319903196,     	0.87444985711,      	1078,  	1182,  	105,   	
22,    	0.866855061009,     	0.00877365152,      	0.029088313851,     	0.858727958856,     	1183,  	1309,  	127,   	
23,    	0.849176725236,     	0.014880761198,     	0.030984421785,     	0.836320828408,     	1310,  	1424,  	115,   	
24,    	0.827034541041,     	0.011204638354,     	0.026265022134,     	0.817347996046,     	1425,  	1557,  	133,   	
25,    	0.804858903621,     	0.01446963685,      	0.028714292279,     	0.79235482359,      	1558,  	1680,  	123,   	
26,    	0.781708632893,     	0.01227486392,      	0.027329365862,     	0.770692122422,     	1681,  	1805,  	125,   	
27,    	0.760645660365,     	0.011619524565,     	0.027498157935,     	0.750598805452,     	1806,  	1945,  	140,   	
28,    	0.738698990822,     	0.013738325107,     	0.029036957059,     	0.726822552118,     	1946,  	2074,  	129,   	
29,    	0.715707431663,     	0.012824768522,     	0.027271764484,     	0.704618581153,     	2075,  	2209,  	135,   	
30,    	0.69385331953,      	0.012448761935,     	0.026433192582,     	0.683088350645,     	2210,  	2353,  	144,   	
31,    	0.672200334296,     	0.01257542412,      	0.027800232048,     	0.661325286537,     	2354,  	2491,  	138,   	
32,    	0.651044725656,     	0.01186074271,      	0.026214709469,     	0.640293970433,     	2492,  	2637,  	146,   	
33,    	0.628080526478,     	0.014258026485,     	0.02307828609,      	0.615750958188,     	2638,  	2783,  	146,   	
34,    	0.602876924216,     	0.014869015964,     	0.020290229701,     	0.590018766062,     	2784,  	2925,  	142,   	
35,    	0.578167306372,     	0.013725660754,     	0.021336992019,     	0.56629571656,      	2926,  	3071,  	146,   	
36,    	0.55422730969,      	0.013929978613,     	0.020903493535,     	0.542178412499,     	3072,  	3231,  	160,   	
37,    	0.528051007118,     	0.016309752906,     	0.023160999631,     	0.513945430108,     	3232,  	3380,  	149,   	
38,    	0.501640684401,     	0.014209178636,     	0.019864023528,     	0.489348809446,     	3381,  	3533,  	153,   	
39,    	0.477828627738,     	0.013295260299,     	0.020912753641,     	0.466182275882,     	3534,  	3695,  	162,   	
40,    	0.455055286343,     	0.012887360903,     	0.022132825763,     	0.443689496422,     	3696,  	3863,  	168,   	
41,    	0.43160033209,      	0.013961482421,     	0.021604982486,     	0.419520359379,     	3864,  	4024,  	161,   	
42,    	0.408383614816,     	0.012910794686,     	0.022429804105,     	0.397211399591,     	4025,  	4192,  	168,   	
43,    	0.386024630601,     	0.01291280774,      	0.02077163882,      	0.374765777009,     	4193,  	4361,  	169,   	
44,    	0.365675002811,     	0.010509046821,     	0.023725868208,     	0.356096172022,     	4362,  	4530,  	169,   	
45,    	0.345175300121,     	0.012604400263,     	0.019887367938,     	0.334266565655,     	4531,  	4706,  	176,   	
46,    	0.321815647213,     	0.014367170956,     	0.018615029475,     	0.309355318501,     	4707,  	4877,  	171,   	
47,    	0.296768589177,     	0.014587510465,     	0.021946553509,     	0.284143344925,     	4878,  	5046,  	169,   	
48,    	0.273426030281,     	0.01237217624,      	0.019427785046,     	0.262473913353,     	5047,  	5224,  	178,   	
49,    	0.249705147411,     	0.01476941003,      	0.01915330229,      	0.236921184713,     	5225,  	5399,  	175,   	
50,    	0.224607664697,     	0.014215631197,     	0.021897806644,     	0.212302130905,     	5400,  	5574,  	175,   	
51,    	0.199848084087,     	0.014404631726,     	0.01665455247,      	0.187204176524,     	5575,  	5750,  	176,   	
52,    	0.176357396177,     	0.012556374657,     	0.017833758606,     	0.165343279163,     	5751,  	5934,  	184,   	
53,    	0.153561207282,     	0.013659078771,     	0.01920522308,      	0.141243776352,     	5935,  	6111,  	177,   	
54,    	0.129289163236,     	0.013807769208,     	0.020946300177,     	0.117249432812,     	6112,  	6291,  	180,   	
55,    	0.107482865895,     	0.01129591795,      	0.019680528373,     	0.097701930987,     	6292,  	6479,  	188,   	
56,    	0.089011321054,     	0.010049228079,     	0.020742233643,     	0.079999500609,     	6480,  	6661,  	182,   	
57,    	0.069816888908,     	0.01349587042,      	0.015869477057,     	0.058130537034,     	6662,  	6855,  	194,   	
58,    	0.048833676135,     	0.010735770784,     	0.016867031366,     	0.039536840734,     	6856,  	7043,  	188,   	
59,    	0.030772951656,     	0.010142118197,     	0.014472359845,     	0.021989940172,     	7044,  	7237,  	194,   	
60,    	0.012667516827,     	0.010783795035,     	0.020382007799,     	0.003328570027,     	7238,  	7419,  	182,   	
61,    	0,                  	0.008230588469,     	0.014027972748,     	-0.007127938936,    	7420,  	7698,  	279,   	
