This run aims to check if discrepancy is less than 0.0088
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.017792779782,     	0.0,                	0.999841695964,     	0.0,                	1.553002608064,     	1.0,                	0.002179571462,     	0.005219932083,     	0.005219932083,     	Normal,             	
1,     	0.017027084616,     	0.005163468007,     	0.999841695964,     	0.294436019614,     	1.553002608064,     	1.0,                	0.002145204171,     	0.005351926493,     	0.005351926493,     	Normal,             	
2,     	0.014721350133,     	0.009993240847,     	0.999841695964,     	0.596373691262,     	1.553002608064,     	1.0,                	0.002186930855,     	0.005349184462,     	0.005349184462,     	Normal,             	
3,     	0.011085858538,     	0.013917138816,     	0.999841695964,     	0.898155481595,     	1.553002608064,     	1.0,                	0.002165892079,     	0.005350915652,     	0.005350915652,     	Normal,             	
4,     	0.006446759891,     	0.016583796286,     	0.999841695964,     	1.200035687866,     	1.553002608064,     	1.0,                	0.002168149184,     	0.005334607146,     	0.005334607146,     	Normal,             	
5,     	0.001241061312,     	0.017749444475,     	0.999841695964,     	1.500988805545,     	1.553002608064,     	1.0,                	0.002173347716,     	0.005347454509,     	0.005347454509,     	Normal,             	
6,     	-0.004088845661,    	0.017316591857,     	0.999841695964,     	1.80267225099,      	1.553002608064,     	1.0,                	0.002186216086,     	0.005322327522,     	0.005322327522,     	Normal,             	
7,     	-0.009027537912,    	0.015332533111,     	0.999841695964,     	2.102927352738,     	1.553002608064,     	1.0,                	0.002174703779,     	0.005361975747,     	0.005361975747,     	Normal,             	
8,     	-0.013185425592,    	0.011946864204,     	0.999841695964,     	2.405436328711,     	1.553002608064,     	1.0,                	0.002178630731,     	0.005305436128,     	0.005305436128,     	Normal,             	
9,     	-0.016121754658,    	0.007528083362,     	0.999841695964,     	2.704731325841,     	1.553002608064,     	1.0,                	0.002187912467,     	0.005341835285,     	0.005341835285,     	Normal,             	
10,    	-0.01762969604,     	0.002403503672,     	0.999841695964,     	3.006095333017,     	1.553002608064,     	1.0,                	0.002144362151,     	0.005333720916,     	0.005333720916,     	Normal,             	
11,    	-0.017549938286,    	-0.002929620882,    	0.999841695964,     	3.306998073108,     	1.553002608064,     	1.0,                	0.002172924268,     	0.005304542126,     	0.005304542126,     	Normal,             	
12,    	0.032931087948,     	0.0,                	0.999457624638,     	0.0,                	1.537859283885,     	1.0,                	0.001096650976,     	0.011839958494,     	0.011839958494,     	Normal,             	
13,    	0.030802633866,     	0.011647072609,     	0.999457624638,     	0.361502654607,     	1.537859283885,     	1.0,                	0.001086453953,     	0.01183951932,      	0.011839958494,     	cover cap,          	
14,    	0.02469241083,      	0.021788561238,     	0.999457624638,     	0.723005309214,     	1.537859283885,     	1.0,                	0.001093276738,     	0.011872988654,     	0.011872988654,     	Normal,             	
15,    	0.015360575944,     	0.029129182277,     	0.999457624638,     	1.085527630536,     	1.537859283885,     	1.0,                	0.001052454169,     	0.011942441979,     	0.011942441979,     	Normal,             	
16,    	0.00396193399,      	0.032691889399,     	0.999457624638,     	1.450194341188,     	1.537859283885,     	1.0,                	0.001062650321,     	0.011918961751,     	0.011918961751,     	Normal,             	
17,    	-0.007934590577,    	0.03196089526,      	0.999457624638,     	1.814136046427,     	1.537859283885,     	1.0,                	0.001094691204,     	0.011871048977,     	0.011871048977,     	Normal,             	
18,    	-0.018751675115,    	0.027070855801,     	0.999457624638,     	2.176598485766,     	1.537859283885,     	1.0,                	0.001056238947,     	0.011932656513,     	0.011932656513,     	Normal,             	
19,    	-0.027167487154,    	0.018611399603,     	0.999457624638,     	2.54096304202,      	1.537859283885,     	1.0,                	0.001086031003,     	0.01185269272,      	0.01185269272,      	Normal,             	
20,    	-0.03199710179,     	0.007787299308,     	0.999457624638,     	2.902858800793,     	1.537859283885,     	1.0,                	0.001051198879,     	0.01195574918,      	0.01195574918,      	Normal,             	
21,    	-0.032668602063,    	-0.004149577412,    	0.999457624638,     	3.267936423028,     	1.537859283885,     	1.0,                	0.001061815687,     	0.011932993916,     	0.011932993916,     	Normal,             	
22,    	0.05167432066,      	0.0,                	0.998663989831,     	0.0,                	1.519098981358,     	1.0,                	0.001279827241,     	0.010520052443,     	0.010520052443,     	Normal,             	
23,    	0.050603464749,     	0.010465408307,     	0.998663989831,     	0.203936983596,     	1.519098981358,     	1.0,                	0.00128414806,      	0.010575306173,     	0.010575306173,     	Normal,             	
24,    	0.047413220774,     	0.020548039116,     	0.998663989831,     	0.408948848513,     	1.519098981358,     	1.0,                	0.001246242868,     	0.010721455431,     	0.010721455431,     	Normal,             	
25,    	0.04215235633,      	0.029890036325,     	0.998663989831,     	0.616804122969,     	1.519098981358,     	1.0,                	0.001273092061,     	0.010808056293,     	0.010808056293,     	Normal,             	
26,    	0.035012906512,     	0.038004365449,     	0.998663989831,     	0.826344460667,     	1.519098981358,     	1.0,                	0.001240408116,     	0.010700098037,     	0.010700098037,     	Normal,             	
27,    	0.026435083094,     	0.044400695912,     	0.998663989831,     	1.03378418979,      	1.519098981358,     	1.0,                	0.001250430352,     	0.010766320011,     	0.010766320011,     	Normal,             	
28,    	0.016660786026,     	0.048914758761,     	0.998663989831,     	1.242512412226,     	1.519098981358,     	1.0,                	0.001313769431,     	0.010462257268,     	0.010462257268,     	Normal,             	
29,    	0.006466639842,     	0.051268099095,     	0.998663989831,     	1.445325137617,     	1.519098981358,     	1.0,                	0.0012959115,       	0.010743310213,     	0.010743310213,     	Normal,             	
30,    	-0.004274226314,    	0.051497246577,     	0.998663989831,     	1.653605644286,     	1.519098981358,     	1.0,                	0.001273700317,     	0.010639209353,     	0.010639209353,     	Normal,             	
31,    	-0.0147300528,      	0.049530404401,     	0.998663989831,     	1.859860727177,     	1.519098981358,     	1.0,                	0.001261124703,     	0.010801388509,     	0.010801388509,     	Normal,             	
32,    	-0.024704803448,    	0.045386210485,     	0.998663989831,     	2.069271319108,     	1.519098981358,     	1.0,                	0.001277532696,     	0.010827097136,     	0.010827097136,     	Normal,             	
33,    	-0.033619768135,    	0.039242153435,     	0.998663989831,     	2.279182169932,     	1.519098981358,     	1.0,                	0.001216864355,     	0.010942646149,     	0.010942646149,     	Normal,             	
34,    	-0.041129237974,    	0.031282921847,     	0.998663989831,     	2.491341628458,     	1.519098981358,     	1.0,                	0.001265275244,     	0.010662482764,     	0.010662482764,     	Normal,             	
35,    	-0.046674149175,    	0.022175644621,     	0.998663989831,     	2.698049508701,     	1.519098981358,     	1.0,                	0.001257036972,     	0.010500907433,     	0.010500907433,     	Normal,             	
36,    	-0.050193493001,    	0.012282046896,     	0.998663989831,     	2.901614067649,     	1.519098981358,     	1.0,                	0.001233259961,     	0.010599191888,     	0.010599191888,     	Normal,             	
37,    	-0.051643567392,    	0.001782515814,     	0.998663989831,     	3.107090612954,     	1.519098981358,     	1.0,                	0.001220712845,     	0.010847638701,     	0.010847638701,     	Normal,             	
38,    	-0.050877783988,    	-0.009038059087,    	0.998663989831,     	3.317401187338,     	1.519098981358,     	1.0,                	0.001256815737,     	0.010739694469,     	0.010739694469,     	Normal,             	
