This run aims to check if discrepancy is less than 0.0095
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.55159699131,      	0.005739768382,     	0.31718819891,      	1.54682546165,      	0,     	11,    	12,    	
2,     	1.535333928216,     	0.012835238831,     	0.381920767468,     	1.524771248654,     	12,    	21,    	10,    	
3,     	1.514625712281,     	0.011430446453,     	0.206263526048,     	1.504973010043,     	22,    	38,    	17,    	
4,     	1.495196200502,     	0.011335326613,     	0.159018859308,     	1.48549535123,      	39,    	60,    	22,    	
5,     	1.475958870495,     	0.011460158888,     	0.128687241806,     	1.466136071681,     	61,    	87,    	27,    	
6,     	1.456425168919,     	0.011120696997,     	0.101255822724,     	1.446813492736,     	88,    	120,   	33,    	
7,     	1.437301086642,     	0.011306899665,     	0.088519250479,     	1.427627973879,     	121,   	158,   	38,    	
8,     	1.418163148566,     	0.011040613068,     	0.080046316744,     	1.408526428816,     	159,   	200,   	42,    	
9,     	1.399259232897,     	0.010616876504,     	0.064884393806,     	1.389930647346,     	201,   	248,   	48,    	
10,    	1.38028856497,      	0.011149076973,     	0.066926059222,     	1.370575923151,     	249,   	299,   	51,    	
11,    	1.361359818455,     	0.01100361916,      	0.059599145879,     	1.351901527545,     	300,   	356,   	57,    	
12,    	1.342303820096,     	0.011295880715,     	0.049874522163,     	1.332492044432,     	357,   	418,   	62,    	
13,    	1.322820162848,     	0.01119233867,      	0.047181571555,     	1.313189066844,     	419,   	485,   	67,    	
14,    	1.303436944562,     	0.011457972476,     	0.043374326512,     	1.293573859732,     	486,   	557,   	72,    	
15,    	1.283787017544,     	0.011266263499,     	0.042040919391,     	1.274083804571,     	558,   	634,   	77,    	
16,    	1.264910998121,     	0.010965833608,     	0.041783418157,     	1.255335838498,     	635,   	715,   	81,    	
17,    	1.245880664476,     	0.010979227082,     	0.039090671709,     	1.236193076416,     	716,   	801,   	86,    	
18,    	1.22659524906,      	0.011067274043,     	0.036829942291,     	1.21685422663,      	802,   	891,   	90,    	
19,    	1.20706475656,      	0.011312262896,     	0.035022459212,     	1.197309968847,     	892,   	987,   	96,    	
20,    	1.188116585738,     	0.010608398274,     	0.033286875246,     	1.178796341885,     	988,   	1090,  	103,   	
21,    	1.170007695906,     	0.010120670065,     	0.02970981491,      	1.160908943848,     	1091,  	1197,  	107,   	
22,    	1.152016533801,     	0.010440970489,     	0.028136659495,     	1.142845937731,     	1198,  	1309,  	112,   	
23,    	1.133635146273,     	0.010907546471,     	0.028022978912,     	1.123942572595,     	1310,  	1421,  	112,   	
24,    	1.114935705216,     	0.010411562249,     	0.025731779067,     	1.10553606414,      	1422,  	1538,  	117,   	
25,    	1.096647585282,     	0.010320388071,     	0.027824426082,     	1.087649047769,     	1539,  	1656,  	118,   	
26,    	1.078358951206,     	0.010707683246,     	0.024970161687,     	1.068785477407,     	1657,  	1777,  	121,   	
27,    	1.058942932438,     	0.011363952892,     	0.023202017624,     	1.049130089717,     	1778,  	1904,  	127,   	
28,    	1.039479356481,     	0.011187663208,     	0.022081252692,     	1.029817078228,     	1905,  	2038,  	134,   	
29,    	1.020441531451,     	0.010799045007,     	0.020689895942,     	1.011112951737,     	2039,  	2177,  	139,   	
30,    	1.001661331333,     	0.01090655847,      	0.021867674165,     	0.992193642228,     	2178,  	2320,  	143,   	
31,    	0.982970749376,     	0.010655575166,     	0.022648033317,     	0.973652390923,     	2321,  	2467,  	147,   	
32,    	0.964481946278,     	0.010595443456,     	0.022366681601,     	0.955131310056,     	2468,  	2617,  	150,   	
33,    	0.946251237567,     	0.010438442288,     	0.023336657895,     	0.936930755686,     	2618,  	2769,  	152,   	
34,    	0.927230421516,     	0.011201010102,     	0.020737192724,     	0.917550869201,     	2770,  	2926,  	157,   	
35,    	0.908628352256,     	0.010655928407,     	0.021058195756,     	0.899418167481,     	2927,  	3088,  	162,   	
36,    	0.890423320988,     	0.010455125446,     	0.020214120829,     	0.881199453782,     	3089,  	3252,  	164,   	
37,    	0.872134136361,     	0.010455630141,     	0.019721834239,     	0.863095480855,     	3253,  	3422,  	170,   	
38,    	0.855020352052,     	0.010041680532,     	0.020758942272,     	0.846338423029,     	3423,  	3594,  	172,   	
39,    	0.837222373257,     	0.010516503583,     	0.020705181894,     	0.828130067731,     	3595,  	3770,  	176,   	
40,    	0.819268143561,     	0.010387793018,     	0.019215379935,     	0.810286404791,     	3771,  	3950,  	180,   	
41,    	0.803832719604,     	0.007444908134,     	0.017384711515,     	0.797350864579,     	3951,  	4142,  	192,   	
42,    	0.788495424202,     	0.010235896701,     	0.01755321177,      	0.779643978648,     	4143,  	4342,  	200,   	
43,    	0.771736546066,     	0.009150190995,     	0.014303428042,     	0.763822376746,     	4343,  	4550,  	208,   	
