number	direction_ind	# of covercap	
0	35	2	
1	112	2	
2	122	2	
3	125	2	
4	131	2	
5	137	2	
6	138	2	
7	140	2	
8	149	2	
9	155	2	
10	157	2	
11	161	2	
12	199	2	
13	207	2	
14	294	2	
15	305	2	
16	306	2	
17	362	2	
18	365	2	
19	370	2	
20	376	2	
21	413	2	
22	418	2	
23	449	2	
24	450	2	
25	488	2	
26	496	2	
27	497	2	
28	498	2	
29	499	2	
30	508	2	
31	510	2	
32	518	2	
33	556	2	
34	557	2	
35	559	2	
36	579	2	
37	582	2	
38	585	2	
39	598	2	
40	599	2	
41	611	2	
42	612	2	
43	613	2	
44	682	2	
45	714	2	
46	845	2	
47	894	2	
48	923	2	
49	929	2	
50	930	2	
51	940	2	
52	943	2	
53	944	2	
54	949	2	
55	953	2	
56	955	2	
57	958	2	
58	968	2	
59	972	2	
60	977	2	
61	984	2	
62	995	2	
63	1038	2	
64	1054	2	
65	1089	2	
66	1201	2	
67	1243	2	
68	1257	2	
69	1260	2	
70	1313	2	
71	1330	2	
72	1341	2	
73	1351	2	
74	1543	2	
75	1545	2	
76	1653	2	
77	1785	2	
78	1806	2	
79	1808	2	
80	1837	2	
81	1847	2	
82	1879	2	
83	1880	2	
84	1882	2	
85	1896	2	
86	1899	2	
87	1901	2	
88	1903	2	
89	1904	2	
90	1906	2	
91	1907	2	
92	1908	2	
93	1909	2	
94	1911	2	
95	1915	2	
96	1965	2	
97	1980	2	
98	2010	2	
99	2012	2	
100	2021	2	
101	2032	2	
102	2036	2	
103	2038	2	
104	2041	2	
105	2042	2	
106	2047	2	
107	2085	2	
108	2141	2	
109	2157	2	
110	2179	2	
111	2184	2	
112	2193	2	
113	2208	2	
114	2307	2	
115	2348	2	
116	2395	2	
117	2479	2	
118	2523	2	
119	2537	2	
120	2607	2	
121	2620	2	
122	2676	2	
123	2712	2	
124	2765	2	
125	2771	2	
126	2772	2	
127	2786	2	
128	2798	2	
129	2801	2	
130	2811	2	
131	2818	2	
132	2819	2	
133	2827	2	
134	2828	2	
135	2840	2	
136	2858	2	
137	2871	2	
138	2879	2	
139	2880	2	
140	2887	2	
141	2899	2	
142	2911	2	
143	2914	2	
144	2971	2	
