number	direction_ind	# of covercap	
0	9	2	
1	21	5	
2	61	2	
3	66	2	
4	83	2	
5	88	2	
6	115	2	
7	117	2	
8	119	2	
9	120	2	
10	155	2	
11	162	2	
12	204	2	
13	226	2	
14	235	2	
15	289	2	
16	293	2	
17	296	2	
18	306	2	
19	324	2	
20	326	2	
21	329	2	
22	330	2	
23	362	2	
24	367	2	
25	389	2	
26	394	2	
27	399	2	
28	406	2	
29	419	2	
30	531	2	
31	538	3	
32	539	2	
33	540	2	
34	541	2	
35	544	2	
36	548	2	
37	567	2	
38	573	2	
39	578	2	
40	589	2	
41	591	2	
42	608	2	
43	609	2	
44	611	2	
45	623	2	
46	628	2	
47	630	2	
48	645	2	
49	654	2	
50	678	2	
51	767	2	
52	775	2	
53	778	2	
54	804	2	
55	805	2	
56	809	2	
57	812	2	
58	821	2	
59	824	2	
60	827	2	
61	831	2	
62	833	2	
63	837	2	
64	839	2	
65	843	2	
66	847	2	
67	852	2	
68	869	2	
69	934	2	
70	939	2	
71	982	2	
72	984	2	
73	1025	2	
74	1029	2	
75	1031	2	
76	1034	2	
77	1036	2	
78	1039	2	
79	1041	2	
80	1048	2	
81	1051	2	
82	1078	2	
83	1144	2	
84	1148	2	
85	1150	2	
86	1152	2	
87	1154	2	
88	1156	2	
89	1166	2	
90	1290	2	
91	1364	2	
92	1370	2	
93	1380	2	
94	1381	2	
95	1389	2	
96	1409	2	
97	1411	2	
98	1413	2	
99	1441	2	
100	1497	2	
101	1622	2	
102	1623	2	
103	1670	2	
104	1671	2	
105	1673	2	
106	1683	2	
107	1716	2	
108	1742	2	
109	1745	2	
110	1746	2	
111	1800	2	
112	1874	2	
113	1938	2	
114	1939	2	
115	1940	2	
116	2006	2	
117	2007	2	
118	2071	2	
119	2106	2	
120	2137	2	
121	2272	2	
122	2273	2	
123	2277	2	
124	2344	2	
125	2368	2	
126	2382	2	
127	2404	2	
128	2405	2	
129	2406	2	
130	2467	2	
131	2479	2	
132	2482	2	
133	2520	2	
134	2521	2	
135	2526	2	
136	2528	2	
137	2538	2	
138	2539	2	
139	2540	2	
140	2542	2	
141	2543	2	
142	2570	2	
143	2590	2	
144	2621	2	
145	2623	2	
146	2624	2	
147	2807	2	
148	2823	2	
149	2826	2	
150	2828	2	
151	2894	2	
152	2912	2	
153	2913	2	
154	2914	2	
155	2961	2	
156	2969	2	
157	2970	2	
158	3009	2	
159	3066	2	
160	3128	2	
161	3198	2	
162	3235	2	
163	3270	2	
164	3516	2	
165	3524	2	
166	3588	2	
167	3684	2	
168	3709	2	
169	3711	2	
170	3713	2	
171	3724	2	
172	3727	2	
173	3730	2	
174	3733	2	
175	3751	2	
176	3764	2	
177	3773	2	
178	3790	2	
179	3798	2	
180	3800	2	
181	3801	2	
182	3809	2	
183	3812	2	
184	3829	2	
185	3830	2	
186	3836	2	
187	3838	2	
188	3839	2	
189	3847	2	
190	3854	2	
191	3862	2	
192	4023	2	
193	4025	2	
194	4032	2	
195	4046	2	
196	4055	2	
197	4081	2	
198	4099	2	
199	4108	2	
200	4126	2	
201	4158	2	
202	4159	2	
203	4186	2	
204	4195	2	
205	4202	2	
206	4208	2	
207	4211	2	
208	4226	2	
209	4235	2	
210	4240	2	
211	4254	2	
212	4267	2	
213	4271	2	
214	4286	2	
215	4300	2	
216	4312	2	
217	4318	2	
218	4324	2	
219	4329	2	
220	4362	2	
221	4367	2	
222	4532	2	
223	4566	2	
224	4573	2	
225	4614	2	
226	4632	2	
227	4678	2	
228	4693	2	
229	4697	2	
230	4732	2	
231	4737	2	
232	4749	2	
233	4753	2	
234	4767	2	
235	4784	2	
236	4823	2	
237	4832	2	
238	4840	2	
239	4850	2	
240	4855	2	
241	4861	2	
242	4865	2	
243	4874	2	
244	4899	2	
245	4902	2	
246	4907	2	
247	4909	2	
248	4913	2	
249	4916	2	
250	4929	2	
