This run aims to check if discrepancy is less than 0.0184
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.036772507119,     	0.0,                	0.999323662644,     	0.0,                	1.534015527226,     	1.0,                	0.004735486804,     	0.010448777612,     	0.010448777612,     	Normal,             	
1,     	0.035288015549,     	0.01034278678,      	0.999323662644,     	0.285111152084,     	1.534015527226,     	1.0,                	0.004617132945,     	0.011688551515,     	0.011688551515,     	Normal,             	
2,     	0.03025955632,      	0.020894413872,     	0.999323662644,     	0.604325886525,     	1.534015527226,     	1.0,                	0.004703223492,     	0.010737992905,     	0.010737992905,     	Normal,             	
3,     	0.022933406069,     	0.028745019844,     	0.999323662644,     	0.897384912057,     	1.534015527226,     	1.0,                	0.00473782447,      	0.010693921892,     	0.010693921892,     	Normal,             	
4,     	0.013693061439,     	0.034127955524,     	0.999323662644,     	1.189232532106,     	1.534015527226,     	1.0,                	0.004685353609,     	0.011587143783,     	0.011587143783,     	Normal,             	
5,     	0.002393739193,     	0.036694513111,     	0.999323662644,     	1.505654372081,     	1.534015527226,     	1.0,                	0.004719279705,     	0.010913084629,     	0.010913084629,     	Normal,             	
6,     	-0.00848105462,     	0.035781126202,     	0.999323662644,     	1.803527319856,     	1.534015527226,     	1.0,                	0.004705956233,     	0.010879031266,     	0.010879031266,     	Normal,             	
7,     	-0.018579179591,    	0.031733757507,     	0.999323662644,     	2.100463878799,     	1.534015527226,     	1.0,                	0.004821978218,     	0.01088203329,      	0.01088203329,      	Normal,             	
8,     	-0.027053210983,    	0.024906646809,     	0.999323662644,     	2.397482983831,     	1.534015527226,     	1.0,                	0.004659183036,     	0.011699986345,     	0.011699986345,     	Normal,             	
9,     	-0.033507543912,    	0.015147995933,     	0.999323662644,     	2.71701268692,      	1.534015527226,     	1.0,                	0.004704735044,     	0.010447217646,     	0.010448777612,     	cover cap,          	
10,    	-0.036415445331,    	0.005112007545,     	0.999323662644,     	3.002123839004,     	1.534015527226,     	1.0,                	0.004775336591,     	0.010772659777,     	0.010772659777,     	Normal,             	
11,    	-0.036334250511,    	-0.00566034624,     	0.999323662644,     	3.296135849032,     	1.534015527226,     	1.0,                	0.004667287211,     	0.011796752516,     	0.011796752516,     	Normal,             	
