Point's Coordinates for twisted_polar_coordinates_37

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.084757017509,     	0.002879723806,     	-0.996397488543,    	0.033963163823,     	-1.485888417238,    	1.0,                	
2,     	0.023452578712,     	0.081498597399,     	-0.996397488543,    	1.290600225259,     	-1.485888417238,    	1.0,                	
3,     	-0.070262526741,    	0.047489179421,     	-0.996397488543,    	2.547237286694,     	-1.485888417238,    	1.0,                	
4,     	-0.066877208373,    	-0.052148670418,    	-0.996397488543,    	3.80387434813,      	-1.485888417238,    	1.0,                	
5,     	0.028930138894,     	-0.079718830208,    	-0.996397488543,    	5.060511409566,     	-1.485888417238,    	1.0,                	
6,     	0.168920272236,     	0.005217173299,     	-0.985615910348,    	0.030875603475,     	-1.400980507682,    	1.0,                	
7,     	0.139284158948,     	0.095714159535,     	-0.985615910348,    	0.602074267764,     	-1.400980507682,    	1.0,                	
8,     	0.065426309329,     	0.155822576403,     	-0.985615910348,    	1.173272932053,     	-1.400980507682,    	1.0,                	
9,     	-0.029203931221,    	0.166458426253,     	-0.985615910348,    	1.744471596342,     	-1.400980507682,    	1.0,                	
10,    	-0.114562129954,    	0.124244901907,     	-0.985615910348,    	2.315670260631,     	-1.400980507682,    	1.0,                	
11,    	-0.163547661884,    	0.042584499077,     	-0.985615910348,    	2.88686892492,      	-1.400980507682,    	1.0,                	
12,    	-0.160607966738,    	-0.052596181322,    	-0.985615910348,    	3.458067589209,     	-1.400980507682,    	1.0,                	
13,    	-0.106676376955,    	-0.131077945777,    	-0.985615910348,    	4.029266253498,     	-1.400980507682,    	1.0,                	
14,    	-0.018875791227,    	-0.167943388602,    	-0.985615910348,    	4.600464917788,     	-1.400980507682,    	1.0,                	
15,    	0.074917724845,     	-0.151487992176,    	-0.985615910348,    	5.171663582077,     	-1.400980507682,    	1.0,                	
16,    	0.144925392622,     	-0.086936228598,    	-0.985615910348,    	5.742862246366,     	-1.400980507682,    	1.0,                	
17,    	0.251850342571,     	0.008021743329,     	-0.967732946933,    	0.031840466084,     	-1.316072598125,    	1.0,                	
18,    	0.229609588487,     	0.103790078015,     	-0.967732946933,    	0.424539547782,     	-1.316072598125,    	1.0,                	
19,    	0.172412855971,     	0.183757314182,     	-0.967732946933,    	0.817238629481,     	-1.316072598125,    	1.0,                	
20,    	0.088967829061,     	0.235749165029,     	-0.967732946933,    	1.20993771118,      	-1.316072598125,    	1.0,                	
21,    	-0.008021743329,    	0.251850342571,     	-0.967732946933,    	1.602636792879,     	-1.316072598125,    	1.0,                	
22,    	-0.103790078015,    	0.229609588487,     	-0.967732946933,    	1.995335874577,     	-1.316072598125,    	1.0,                	
23,    	-0.183757314182,    	0.172412855971,     	-0.967732946933,    	2.388034956276,     	-1.316072598125,    	1.0,                	
24,    	-0.235749165029,    	0.088967829061,     	-0.967732946933,    	2.780734037975,     	-1.316072598125,    	1.0,                	
25,    	-0.251850342571,    	-0.008021743329,    	-0.967732946933,    	3.173433119673,     	-1.316072598125,    	1.0,                	
26,    	-0.229609588487,    	-0.103790078015,    	-0.967732946933,    	3.566132201372,     	-1.316072598125,    	1.0,                	
27,    	-0.172412855971,    	-0.183757314182,    	-0.967732946933,    	3.958831283071,     	-1.316072598125,    	1.0,                	
28,    	-0.088967829061,    	-0.235749165029,    	-0.967732946933,    	4.35153036477,      	-1.316072598125,    	1.0,                	
