This run aims to check if discrepancy is less than 0.0112
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.022653145585,     	0.0,                	0.999743384572,     	0.0,                	1.548141243295,     	1.0,                	0.002659641305,     	0.007091878937,     	0.007091878937,     	Normal,             	
1,     	0.021543040442,     	0.007004456683,     	0.999743384572,     	0.314356525581,     	1.548141243295,     	1.0,                	0.002658770919,     	0.00716182983,      	0.00716182983,      	Normal,             	
2,     	0.018279778667,     	0.013379637394,     	0.999743384572,     	0.631839890668,     	1.548141243295,     	1.0,                	0.002645088102,     	0.007266943445,     	0.007266943445,     	Normal,             	
3,     	0.013102709123,     	0.018479286202,     	0.999743384572,     	0.954023360891,     	1.548141243295,     	1.0,                	0.002663542259,     	0.00720576182,      	0.00720576182,      	Normal,             	
4,     	0.006636556785,     	0.021659204024,     	0.999743384572,     	1.273470907332,     	1.548141243295,     	1.0,                	0.002663293485,     	0.007123284666,     	0.007123284666,     	Normal,             	
5,     	-0.000417583946,    	0.022649296425,     	0.999743384572,     	1.589231188217,     	1.548141243295,     	1.0,                	0.002637819661,     	0.007228694682,     	0.007228694682,     	Normal,             	
6,     	-0.007531202804,    	0.021364596632,     	0.999743384572,     	1.909704176912,     	1.548141243295,     	1.0,                	0.002644597027,     	0.007237911564,     	0.007237911564,     	Normal,             	
7,     	-0.013885320495,    	0.017898683741,     	0.999743384572,     	2.230589322151,     	1.548141243295,     	1.0,                	0.002654184319,     	0.007096786998,     	0.007096786998,     	Normal,             	
8,     	-0.018742024809,    	0.012724052459,     	0.999743384572,     	2.545165215131,     	1.548141243295,     	1.0,                	0.002654438118,     	0.007110249484,     	0.007110249484,     	Normal,             	
9,     	-0.021763087506,    	0.006287529492,     	0.999743384572,     	2.86034283792,      	1.548141243295,     	1.0,                	0.002628772728,     	0.007200916383,     	0.007200916383,     	Normal,             	
10,    	-0.022636808263,    	-0.000860184044,    	0.999743384572,     	3.179573731633,     	1.548141243295,     	1.0,                	0.002589072529,     	0.007390638752,     	0.007390638752,     	Normal,             	
11,    	0.042225894475,     	0.0,                	0.999108089165,     	0.0,                	1.528557873929,     	1.0,                	0.001380811589,     	0.01520129427,      	0.01520129427,      	Normal,             	
12,    	0.0394896665,       	0.014953006519,     	0.999108089165,     	0.361972234612,     	1.528557873929,     	1.0,                	0.001380094294,     	0.015194183262,     	0.015194970217,     	cover cap,          	
13,    	0.031639854285,     	0.027963293529,     	0.999108089165,     	0.723792216309,     	1.528557873929,     	1.0,                	0.001350277193,     	0.01520124538,      	0.01520124538,      	Normal,             	
14,    	0.01968729971,      	0.037355540344,     	0.999108089165,     	1.085763273882,     	1.528557873929,     	1.0,                	0.001357109029,     	0.015246774713,     	0.015246774713,     	Normal,             	
15,    	0.005137356119,     	0.041912214643,     	0.999108089165,     	1.448830522446,     	1.528557873929,     	1.0,                	0.001356746727,     	0.015246664092,     	0.015246664092,     	Normal,             	
16,    	-0.010082267118,    	0.04100456138,      	0.999108089165,     	1.811895107494,     	1.528557873929,     	1.0,                	0.001387757689,     	0.015246550022,     	0.015246550022,     	Normal,             	
17,    	-0.023987326517,    	0.034751033521,     	0.999108089165,     	2.174956945999,     	1.528557873929,     	1.0,                	0.001345300065,     	0.01524643243,      	0.01524643243,      	Normal,             	
18,    	-0.034765034245,    	0.023967030649,     	0.999108089165,     	2.538015953132,     	1.528557873929,     	1.0,                	0.001350127124,     	0.015200445884,     	0.015200445884,     	Normal,             	
19,    	-0.040999251321,    	0.010103838645,     	0.999108089165,     	2.899967762563,     	1.528557873929,     	1.0,                	0.00139122255,      	0.015200009022,     	0.015200009022,     	Normal,             	
20,    	-0.041920631201,    	-0.005068219007,    	0.999108089165,     	3.261909054385,     	1.528557873929,     	1.0,                	0.001305479145,     	0.015245395471,     	0.015245395471,     	Normal,             	
21,    	0.066342824626,     	0.0,                	0.997796887959,     	0.0,                	1.504404738968,     	1.0,                	0.001617756697,     	0.013225313902,     	0.013225313902,     	Normal,             	
22,    	0.06502460424,      	0.013159453743,     	0.997796887959,     	0.199679636587,     	1.504404738968,     	1.0,                	0.001554235893,     	0.013881638634,     	0.013881638634,     	Normal,             	
23,    	0.060862770725,     	0.026402528648,     	0.997796887959,     	0.409304230055,     	1.504404738968,     	1.0,                	0.001581974416,     	0.013675613822,     	0.013675613822,     	Normal,             	
24,    	0.054156170048,     	0.038320746667,     	0.997796887959,     	0.615806485193,     	1.504404738968,     	1.0,                	0.001541410152,     	0.014014863574,     	0.014014863574,     	Normal,             	
25,    	0.044897838097,     	0.048842138708,     	0.997796887959,     	0.827450396078,     	1.504404738968,     	1.0,                	0.001602296973,     	0.013917279963,     	0.013917279963,     	Normal,             	
26,    	0.033720431355,     	0.057134078173,     	0.997796887959,     	1.037615191297,     	1.504404738968,     	1.0,                	0.001624190193,     	0.013393342767,     	0.013393342767,     	Normal,             	
27,    	0.021557916752,     	0.062742542224,     	0.997796887959,     	1.239840402708,     	1.504404738968,     	1.0,                	0.00164631561,      	0.013367526837,     	0.013367526837,     	Normal,             	
28,    	0.008542523582,     	0.065790543927,     	0.997796887959,     	1.441674491115,     	1.504404738968,     	1.0,                	0.001539800398,     	0.013808326456,     	0.013808326456,     	Normal,             	
29,    	-0.005261534435,    	0.066133853924,     	0.997796887959,     	1.650187968658,     	1.504404738968,     	1.0,                	0.001589152853,     	0.013922430426,     	0.013922430426,     	Normal,             	
30,    	-0.01894764139,     	0.063579534956,     	0.997796887959,     	1.86043082872,      	1.504404738968,     	1.0,                	0.001645309434,     	0.013241751769,     	0.013241751769,     	Normal,             	
31,    	-0.031197076234,    	0.058550088077,     	0.997796887959,     	2.060359478491,     	1.504404738968,     	1.0,                	0.001684115305,     	0.013252816008,     	0.013252816008,     	Normal,             	
32,    	-0.042212245489,    	0.051181019042,     	0.997796887959,     	2.260455739437,     	1.504404738968,     	1.0,                	0.001662991399,     	0.013143491571,     	0.01317772649,      	cover cap,          	
33,    	-0.051495384715,    	0.041828169127,     	0.997796887959,     	2.459414503575,     	1.504404738968,     	1.0,                	0.001574954249,     	0.013606194683,     	0.013606194683,     	Normal,             	
34,    	-0.058945678463,    	0.030443018411,     	0.997796887959,     	2.664864814922,     	1.504404738968,     	1.0,                	0.001650190185,     	0.013323231715,     	0.013323231715,     	Normal,             	
35,    	-0.063839820518,    	0.018051251915,     	0.997796887959,     	2.866027830245,     	1.504404738968,     	1.0,                	0.001628637246,     	0.013515181369,     	0.013515181369,     	Normal,             	
36,    	-0.066173346652,    	0.004739047619,     	0.997796887959,     	3.07009905655,      	1.504404738968,     	1.0,                	0.00159022302,      	0.013992271944,     	0.013992271944,     	Normal,             	
37,    	-0.06569550362,     	-0.009245062656,    	0.997796887959,     	3.281400526329,     	1.504404738968,     	1.0,                	0.001612337197,     	0.013699335611,     	0.013699335611,     	Normal,             	
38,    	0.089028670828,     	0.0,                	0.996029063718,     	0.0,                	1.481649626077,     	1.0,                	0.001647168053,     	0.013612609273,     	0.013612609273,     	Normal,             	
39,    	0.087987977254,     	0.013572770097,     	0.996029063718,     	0.153050746883,     	1.481649626077,     	1.0,                	0.001667649729,     	0.013559351618,     	0.013559351618,     	Normal,             	
40,    	0.084906307242,     	0.026777289257,     	0.996029063718,     	0.305501536871,     	1.481649626077,     	1.0,                	0.001594723502,     	0.014207876743,     	0.014207876743,     	Normal,             	
41,    	0.079565402201,     	0.039943097052,     	0.996029063718,     	0.465259028793,     	1.481649626077,     	1.0,                	0.001659136834,     	0.013698378813,     	0.013698378813,     	Normal,             	
42,    	0.072495949152,     	0.051676315523,     	0.996029063718,     	0.619276013728,     	1.481649626077,     	1.0,                	0.001571175452,     	0.013860955553,     	0.013860955553,     	Normal,             	
43,    	0.063596192123,     	0.062302717251,     	0.996029063718,     	0.775124608436,     	1.481649626077,     	1.0,                	0.001611590443,     	0.013391645373,     	0.013427083942,     	cover cap,          	
44,    	0.053503327398,     	0.071158261549,     	0.996029063718,     	0.926085439017,     	1.481649626077,     	1.0,                	0.001607957011,     	0.013811206357,     	0.013811206357,     	Normal,             	
45,    	0.041853848579,     	0.078577093281,     	0.996029063718,     	1.081373539256,     	1.481649626077,     	1.0,                	0.001559678864,     	0.014031514524,     	0.014031514524,     	Normal,             	
46,    	0.028988263421,     	0.084177103854,     	0.996029063718,     	1.239143813361,     	1.481649626077,     	1.0,                	0.001561628718,     	0.013906068842,     	0.013906068842,     	Normal,             	
47,    	0.015526534145,     	0.087664308398,     	0.996029063718,     	1.395500683135,     	1.481649626077,     	1.0,                	0.001618957642,     	0.013509334196,     	0.013509334196,     	Normal,             	
48,    	0.002083819185,     	0.089004280386,     	0.996029063718,     	1.547388030544,     	1.481649626077,     	1.0,                	0.001621221288,     	0.013764250424,     	0.013764250424,     	Normal,             	
49,    	-0.011660389193,    	0.088261767223,     	0.996029063718,     	1.702147117555,     	1.481649626077,     	1.0,                	0.001659451288,     	0.013805862874,     	0.013805862874,     	Normal,             	
50,    	-0.025165922097,    	0.085397778627,     	0.996029063718,     	1.857375016692,     	1.481649626077,     	1.0,                	0.001586246725,     	0.014138286808,     	0.014138286808,     	Normal,             	
51,    	-0.038367447736,    	0.080337059839,     	0.996029063718,     	2.016348362953,     	1.481649626077,     	1.0,                	0.001631576381,     	0.01353548817,      	0.01353548817,      	Normal,             	
52,    	-0.050102737968,    	0.073592254195,     	0.996029063718,     	2.168530331444,     	1.481649626077,     	1.0,                	0.001667654275,     	0.013727158671,     	0.013727158671,     	Normal,             	
53,    	-0.060820444365,    	0.065015211886,     	0.996029063718,     	2.322871544364,     	1.481649626077,     	1.0,                	0.00152870778,      	0.013849563878,     	0.013849563878,     	Normal,             	
54,    	-0.070167840093,    	0.054795788579,     	0.996029063718,     	2.478591794797,     	1.481649626077,     	1.0,                	0.001610695037,     	0.013391258396,     	0.013427083942,     	cover cap,          	
55,    	-0.077610458629,    	0.043620189601,     	0.996029063718,     	2.629552625378,     	1.481649626077,     	1.0,                	0.001540790789,     	0.01399355135,      	0.01399355135,      	Normal,             	
56,    	-0.083486777931,    	0.030920254528,     	0.996029063718,     	2.786895157733,     	1.481649626077,     	1.0,                	0.001658226399,     	0.013926555066,     	0.013926555066,     	Normal,             	
57,    	-0.087287301118,    	0.017522308436,     	0.996029063718,     	2.94348284171,      	1.481649626077,     	1.0,                	0.001565731185,     	0.014227493894,     	0.014227493894,     	Normal,             	
58,    	-0.088963955112,    	0.003393953475,     	0.996029063718,     	3.103461385908,     	1.481649626077,     	1.0,                	0.001699255543,     	0.013766139512,     	0.013766139512,     	Normal,             	
59,    	-0.088423650199,    	-0.010361578782,    	0.996029063718,     	3.258241755487,     	1.481649626077,     	1.0,                	0.001596395845,     	0.01420105888,      	0.01420105888,      	Normal,             	
60,    	0.111940962323,     	0.0,                	0.993714858978,     	0.0,                	1.458620251701,     	1.0,                	0.001733990291,     	0.013446592048,     	0.013446592048,     	Normal,             	
61,    	0.11113334537,      	0.01342231696,      	0.993714858978,     	0.120194514257,     	1.458620251701,     	1.0,                	0.001511334785,     	0.014221580035,     	0.014221580035,     	Normal,             	
62,    	0.108534670967,     	0.02740445664,      	0.993714858978,     	0.247325472144,     	1.458620251701,     	1.0,                	0.001582790311,     	0.014132412716,     	0.014132412716,     	Normal,             	
63,    	0.104216836946,     	0.0408611055,       	0.993714858978,     	0.373658271501,     	1.458620251701,     	1.0,                	0.001615706827,     	0.013677692764,     	0.013677692764,     	Normal,             	
64,    	0.098455523967,     	0.053266207357,     	0.993714858978,     	0.495921071711,     	1.458620251701,     	1.0,                	0.001658736293,     	0.013635077681,     	0.013635077681,     	Normal,             	
65,    	0.09124904855,      	0.064841269146,     	0.993714858978,     	0.617802469221,     	1.458620251701,     	1.0,                	0.001547828833,     	0.013994252478,     	0.013994252478,     	Normal,             	
66,    	0.082445746385,     	0.075719732889,     	0.993714858978,     	0.742898602165,     	1.458620251701,     	1.0,                	0.001581228874,     	0.013922726852,     	0.013922726852,     	Normal,             	
67,    	0.072408596948,     	0.085368461001,     	0.993714858978,     	0.867354531124,     	1.458620251701,     	1.0,                	0.001641927005,     	0.013749382123,     	0.013749382123,     	Normal,             	
68,    	0.061396634289,     	0.093601454816,     	0.993714858978,     	0.990258957303,     	1.458620251701,     	1.0,                	0.001662700056,     	0.013416909168,     	0.013446592048,     	cover cap,          	
69,    	0.049730365481,     	0.100287934443,     	0.993714858978,     	1.11045347156,      	1.458620251701,     	1.0,                	0.001614640622,     	0.013667078523,     	0.013667078523,     	Normal,             	
70,    	0.037138212003,     	0.105600815598,     	0.993714858978,     	1.232621274473,     	1.458620251701,     	1.0,                	0.001595182778,     	0.013813299004,     	0.013813299004,     	Normal,             	
71,    	0.023849348089,     	0.109370871997,     	0.993714858978,     	1.356097772942,     	1.458620251701,     	1.0,                	0.001609340682,     	0.014164152996,     	0.014164152996,     	Normal,             	
72,    	0.009847199165,     	0.111507002983,     	0.993714858978,     	1.482714685009,     	1.458620251701,     	1.0,                	0.001636743005,     	0.013397243665,     	0.013446592048,     	cover cap,          	
73,    	-0.00359412804,     	0.111883248475,     	0.993714858978,     	1.602909199266,     	1.458620251701,     	1.0,                	0.001728684896,     	0.013696484763,     	0.013696484763,     	Normal,             	
74,    	-0.017231006635,    	0.110606832773,     	0.993714858978,     	1.725340188274,     	1.458620251701,     	1.0,                	0.001634431643,     	0.013992481512,     	0.013992481512,     	Normal,             	
75,    	-0.0308950798,      	0.107593090345,     	0.993714858978,     	1.850420469695,     	1.458620251701,     	1.0,                	0.001593074636,     	0.014135692367,     	0.014135692367,     	Normal,             	
76,    	-0.044208293302,    	0.102841654251,     	0.993714858978,     	1.976782625656,     	1.458620251701,     	1.0,                	0.001637650246,     	0.013709546317,     	0.013709546317,     	Normal,             	
77,    	-0.056448254923,    	0.096666300032,     	0.993714858978,     	2.099330516368,     	1.458620251701,     	1.0,                	0.001665144758,     	0.013314647654,     	0.013446592048,     	cover cap,          	
78,    	-0.06763180315,     	0.089200438611,     	0.993714858978,     	2.219525030625,     	1.458620251701,     	1.0,                	0.001555439153,     	0.013886617609,     	0.013886617609,     	Normal,             	
79,    	-0.078155684422,    	0.08014030221,      	0.993714858978,     	2.343657761657,     	1.458620251701,     	1.0,                	0.001620160824,     	0.013524351121,     	0.013524351121,     	Normal,             	
80,    	-0.087249890861,    	0.070130133256,     	0.993714858978,     	2.464548183119,     	1.458620251701,     	1.0,                	0.001655486765,     	0.013506439147,     	0.013506439147,     	Normal,             	
81,    	-0.095061061809,    	0.059111535029,     	0.993714858978,     	2.585278299526,     	1.458620251701,     	1.0,                	0.001575667322,     	0.014051457374,     	0.014051457374,     	Normal,             	
82,    	-0.101717521146,    	0.046736762165,     	0.993714858978,     	2.71088646523,      	1.458620251701,     	1.0,                	0.001585352889,     	0.014096122127,     	0.014096122127,     	Normal,             	
83,    	-0.106784684975,    	0.03358288404,      	0.993714858978,     	2.836894424406,     	1.458620251701,     	1.0,                	0.001631766739,     	0.01377512887,      	0.01377512887,      	Normal,             	
