number	direction_ind	# of covercap	
0	19	2	
1	20	2	
2	21	2	
3	22	2	
4	37	2	
5	79	2	
6	96	2	
7	103	2	
8	106	2	
9	119	2	
10	120	2	
11	129	2	
12	156	2	
13	177	2	
14	200	2	
15	204	2	
16	306	2	
17	307	3	
18	309	3	
19	311	2	
20	313	2	
21	360	2	
22	371	2	
23	374	2	
24	385	2	
25	390	2	
26	407	2	
27	411	2	
28	413	2	
29	427	2	
30	533	2	
31	555	2	
32	574	2	
33	586	2	
34	608	2	
35	614	2	
36	636	2	
37	642	3	
38	649	2	
39	652	2	
40	653	2	
41	655	3	
42	673	2	
43	686	2	
44	714	2	
45	717	2	
46	720	4	
47	721	4	
48	724	3	
49	725	2	
50	727	5	
51	730	3	
52	731	3	
53	734	4	
54	737	3	
55	740	2	
56	741	2	
57	792	2	
58	795	2	
59	798	2	
60	799	2	
61	800	2	
62	802	2	
63	805	2	
64	806	2	
65	809	2	
66	814	2	
67	817	2	
68	820	2	
69	821	2	
70	824	2	
71	872	2	
72	875	2	
73	886	2	
74	897	3	
75	904	2	
76	926	2	
77	936	2	
78	939	2	
79	944	2	
80	945	2	
81	947	3	
82	948	2	
83	950	2	
84	951	2	
85	952	2	
86	956	2	
87	957	2	
88	962	2	
89	967	2	
90	973	2	
91	976	2	
92	978	2	
93	979	2	
94	981	2	
95	987	2	
96	988	2	
97	990	2	
98	996	2	
99	997	2	
100	1026	2	
101	1027	4	
102	1028	2	
103	1030	3	
104	1031	4	
105	1059	2	
106	1067	3	
107	1068	3	
108	1073	2	
109	1076	2	
110	1107	2	
111	1108	2	
112	1153	2	
113	1160	2	
114	1175	2	
115	1190	2	
116	1191	2	
117	1192	2	
118	1193	2	
119	1215	2	
120	1243	2	
121	1244	2	
122	1245	2	
123	1266	2	
124	1284	2	
125	1285	2	
126	1288	3	
127	1289	2	
128	1328	2	
129	1329	2	
130	1333	2	
131	1356	2	
132	1360	2	
133	1370	2	
134	1372	2	
135	1377	2	
136	1448	3	
137	1449	2	
138	1459	3	
139	1460	2	
140	1461	2	
141	1462	2	
142	1466	2	
143	1471	2	
144	1493	2	
145	1505	2	
146	1506	3	
147	1510	2	
148	1516	3	
149	1517	2	
150	1527	2	
151	1528	2	
152	1529	2	
153	1536	2	
154	1539	3	
155	1542	2	
156	1545	2	
157	1552	2	
158	1604	2	
159	1614	2	
160	1622	4	
161	1623	4	
162	1626	2	
163	1628	4	
164	1632	3	
165	1636	2	
166	1640	2	
167	1641	2	
168	1643	2	
169	1660	2	
170	1662	2	
171	1681	2	
172	1690	2	
173	1709	2	
174	1722	2	
175	1727	2	
176	1731	4	
177	1748	2	
178	1818	2	
179	1827	3	
180	1828	3	
181	1831	5	
182	1835	2	
183	1839	2	
184	1842	2	
185	1846	2	
186	1911	2	
187	1912	2	
188	1915	2	
189	1916	2	
190	1920	2	
191	1924	4	
192	1925	3	
193	1928	2	
194	1935	3	
195	1936	2	
196	1937	2	
197	1942	2	
198	1946	2	
199	1980	3	
200	2002	2	
201	2004	2	
202	2006	2	
203	2012	2	
204	2031	3	
205	2080	2	
206	2117	2	
207	2139	2	
208	2158	2	
209	2161	2	
210	2163	2	
211	2182	2	
212	2183	2	
213	2214	2	
214	2230	2	
215	2290	2	
216	2325	3	
217	2326	2	
218	2336	2	
219	2340	2	
220	2342	2	
221	2350	2	
222	2354	2	
223	2365	2	
224	2366	2	
225	2389	2	
226	2391	2	
227	2401	2	
228	2405	2	
229	2408	2	
230	2416	2	
231	2419	3	
232	2420	2	
233	2423	2	
234	2431	2	
235	2452	2	
236	2529	2	
237	2556	2	
238	2565	2	
239	2654	2	
240	2677	2	
241	2679	2	
242	2682	2	
243	2684	2	
244	2721	2	
245	2756	3	
246	2757	3	
247	2758	2	
248	2761	2	
249	2770	2	
250	2773	2	
251	2774	2	
252	2782	2	
253	2783	2	
254	2786	2	
255	2787	2	
256	2789	2	
257	2791	3	
258	2793	2	
259	2795	3	
260	2797	2	
261	2799	2	
262	2803	2	
263	2805	2	
264	2806	2	
265	2811	3	
266	2827	2	
267	2832	2	
268	2843	2	
269	2845	3	
270	2853	2	
271	2855	2	
272	2857	2	
273	2858	2	
274	2861	2	
275	2876	3	
276	2877	2	
277	2878	2	
278	2879	2	
279	2880	2	
280	2881	2	
281	2891	2	
282	2892	3	
283	2893	2	
284	2894	2	
285	2895	2	
286	2904	2	
287	2907	3	
288	2908	3	
289	2909	2	
290	2917	2	
291	2918	4	
292	2919	5	
293	2920	4	
294	2928	2	
295	2929	3	
296	2930	3	
297	2947	2	
298	2948	2	
299	2952	2	
300	2953	2	
301	2954	2	
302	2966	3	
303	2967	3	
304	2981	2	
305	2995	2	
306	2997	2	
307	3018	2	
308	3029	2	
309	3057	3	
310	3058	2	
311	3070	2	
312	3092	2	
313	3093	3	
314	3121	2	
315	3127	3	
316	3132	2	
317	3136	3	
318	3137	2	
319	3145	2	
320	3180	2	
321	3184	2	
322	3192	2	
323	3193	2	
324	3197	2	
325	3213	3	
326	3214	2	
327	3218	2	
328	3231	2	
329	3235	2	
330	3240	2	
331	3242	2	
332	3243	2	
333	3246	2	
334	3247	2	
335	3250	2	
336	3254	2	
337	3255	2	
338	3264	3	
339	3265	4	
340	3266	4	
341	3267	3	
342	3271	2	
343	3276	2	
344	3277	2	
345	3278	3	
346	3281	2	
347	3287	2	
348	3291	2	
349	3298	2	
350	3299	3	
351	3302	2	
352	3306	2	
353	3307	2	
354	3322	2	
355	3332	2	
356	3334	2	
357	3335	2	
358	3336	2	
359	3337	2	
360	3339	2	
361	3343	2	
362	3344	2	
363	3350	2	
364	3351	3	
365	3354	2	
366	3364	2	
367	3366	2	
368	3368	2	
369	3371	2	
370	3372	2	
371	3374	2	
372	3375	2	
373	3376	2	
374	3381	4	
375	3382	5	
376	3383	8	
377	3384	7	
378	3387	4	
379	3388	3	
380	3389	2	
381	3394	2	
382	3395	2	
383	3396	2	
384	3397	2	
385	3403	2	
386	3405	2	
387	3412	2	
388	3416	2	
389	3419	2	
390	3422	2	
391	3423	2	
