This run aims to check if discrepancy is less than 0.0436
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.483571309383,     	0.024037963591,     	0.297526822053,     	1.463377053003,     	0,     	11,    	12,    	
2,     	1.439223855878,     	0.027294474307,     	0.213857278273,     	1.416290344711,     	12,    	27,    	16,    	
3,     	1.393506995248,     	0.026300478893,     	0.170973028926,     	1.370675199927,     	28,    	47,    	20,    	
4,     	1.331904219897,     	0.043929668859,     	0.201834194273,     	1.293525502375,     	48,    	64,    	17,    	
5,     	1.268041095378,     	0.029035256449,     	0.100994105634,     	1.243135669568,     	65,    	94,    	30,    	
6,     	1.219772291596,     	0.027229082795,     	0.079207338502,     	1.196442966989,     	95,    	129,   	35,    	
7,     	1.172160796635,     	0.027776702338,     	0.085935270707,     	1.147456791943,     	130,   	164,   	35,    	
8,     	1.133300279628,     	0.016318995243,     	0.08922503466,      	1.123752567357,     	165,   	212,   	48,    	
9,     	1.107848800994,     	0.018334256258,     	0.044990053118,     	1.090437087727,     	213,   	264,   	52,    	
10,    	1.069240095156,     	0.024386532005,     	0.069797225137,     	1.059699773109,     	265,   	304,   	40,    	
11,    	1.040966691688,     	0.021677712432,     	0.054907846861,     	1.022292817174,     	305,   	361,   	57,    	
12,    	1.001126636379,     	0.024373782417,     	0.059898698781,     	0.979365189127,     	362,   	414,   	53,    	
13,    	0.960820683571,     	0.021353700824,     	0.054276135354,     	0.940689880353,     	415,   	474,   	60,    	
14,    	0.925313847422,     	0.017710675427,     	0.054648109803,     	0.909033305749,     	475,   	538,   	64,    	
15,    	0.891367825701,     	0.021316826943,     	0.060019168568,     	0.876839412978,     	539,   	600,   	62,    	
16,    	0.862949584512,     	0.016022299434,     	0.053462445845,     	0.85465312194,      	601,   	683,   	83,    	
17,    	0.840712497986,     	0.016618810901,     	0.051934739791,     	0.837649631322,     	684,   	766,   	83,    	
18,    	0.823137315275,     	0.016760845952,     	0.058596877965,     	0.814219851982,     	767,   	845,   	79,    	
19,    	0.798592347149,     	0.018023716592,     	0.047051568824,     	0.789156814724,     	846,   	918,   	73,    	
20,    	0.775464144438,     	0.020462211753,     	0.041699598048,     	0.757794044308,     	919,   	1005,  	87,    	
21,    	0.73881435765,      	0.021907807981,     	0.045486409252,     	0.721510455159,     	1006,  	1086,  	81,    	
22,    	0.706551514447,     	0.017303438533,     	0.040749832229,     	0.691597870505,     	1087,  	1168,  	82,    	
23,    	0.677368331809,     	0.01642543953,      	0.039067508765,     	0.668222239139,     	1169,  	1263,  	95,    	
24,    	0.65119626271,      	0.020544357483,     	0.052682321156,     	0.633505516617,     	1264,  	1351,  	88,    	
25,    	0.61955235301,      	0.016120567026,     	0.039988672501,     	0.607898352599,     	1352,  	1439,  	88,    	
26,    	0.59296307773,      	0.019476609441,     	0.036852377195,     	0.576127260964,     	1440,  	1533,  	94,    	
27,    	0.558294106891,     	0.020572333057,     	0.052063743858,     	0.539932416222,     	1534,  	1619,  	86,    	
28,    	0.524819088674,     	0.017521449288,     	0.038155727951,     	0.515483507802,     	1620,  	1723,  	104,   	
29,    	0.502265303262,     	0.015246188894,     	0.023460891033,     	0.500557844829,     	1724,  	1823,  	100,   	
30,    	0.485125963445,     	0.018210947292,     	0.04112026637,      	0.483099678302,     	1824,  	1921,  	98,    	
31,    	0.465525111538,     	0.021540593636,     	0.032838697508,     	0.450975535899,     	1922,  	2013,  	92,    	
32,    	0.436788113923,     	0.016369116603,     	0.030171175862,     	0.424687290223,     	2014,  	2118,  	105,   	
33,    	0.411438964931,     	0.017395044801,     	0.033694365674,     	0.404071756053,     	2119,  	2220,  	102,   	
34,    	0.390613601337,     	0.015538795074,     	0.03072721925,      	0.376842707362,     	2221,  	2322,  	102,   	
35,    	0.361537234955,     	0.019918471674,     	0.0298050899,       	0.344305517696,     	2323,  	2428,  	106,   	
36,    	0.329170686047,     	0.017500430771,     	0.038373298121,     	0.313999146069,     	2429,  	2535,  	107,   	
37,    	0.301142450755,     	0.014841060571,     	0.046080563858,     	0.29273464206,      	2536,  	2641,  	106,   	
38,    	0.279332251403,     	0.015699758957,     	0.028680460451,     	0.277309379783,     	2642,  	2753,  	112,   	
39,    	0.259133453043,     	0.020981460956,     	0.024393860948,     	0.246448998934,     	2754,  	2870,  	117,   	
40,    	0.22542686473,      	0.024294530642,     	0.038806819772,     	0.206543778118,     	2871,  	2971,  	101,   	
41,    	0.193072171772,     	0.015630863728,     	0.01874164812,      	0.179563290348,     	2972,  	3089,  	118,   	
42,    	0.164425816976,     	0.01747410355,      	0.034689838438,     	0.15000161527,      	3090,  	3210,  	121,   	
43,    	0.132687519722,     	0.020492776387,     	0.02508872077,      	0.120534900809,     	3211,  	3326,  	116,   	
44,    	0.101639779415,     	0.021870390568,     	0.026392312693,     	0.085408582697,     	3327,  	3446,  	120,   	
45,    	0.070173061018,     	0.017610910816,     	0.035505188527,     	0.055645592549,     	3447,  	3567,  	121,   	
46,    	0.042718121869,     	0.014930046174,     	0.0335947207,       	0.036243716927,     	3568,  	3681,  	114,   	
47,    	0.02298943987,      	0.01532562416,      	0.03562469684,      	0.015632120523,     	3682,  	3805,  	124,   	
48,    	0.005302250295,     	0.012830658691,     	0.01941630024,      	-0.002439175867,    	3806,  	3988,  	183,   	
