Point's Coordinates for twisted_polar_coordinates_80

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.039254972373,     	0.000616666384,     	-0.999229036241,    	0.015707963268,     	-1.531526418625,    	1.0,                	
2,     	0.011543968994,     	0.037524257665,     	-0.999229036241,    	1.272345024704,     	-1.531526418625,    	1.0,                	
3,     	-0.032120407169,    	0.022574600256,     	-0.999229036241,    	2.52898208614,      	-1.531526418625,    	1.0,                	
4,     	-0.031395472358,    	-0.023572387424,    	-0.999229036241,    	3.785619147576,     	-1.531526418625,    	1.0,                	
5,     	0.01271693816,      	-0.03714313688,     	-0.999229036241,    	5.042256209012,     	-1.531526418625,    	1.0,                	
6,     	0.078451096275,     	0.001120355189,     	-0.996917333733,    	0.014279966607,     	-1.492256510455,    	1.0,                	
7,     	0.06539155215,      	0.043356367581,     	-0.996917333733,    	0.585478630896,     	-1.492256510455,    	1.0,                	
8,     	0.031570652252,     	0.071827039608,     	-0.996917333733,    	1.156677295185,     	-1.492256510455,    	1.0,                	
9,     	-0.012273706668,    	0.077493134064,     	-0.996917333733,    	1.727875959474,     	-1.492256510455,    	1.0,                	
10,    	-0.052221250443,    	0.058555705995,     	-0.996917333733,    	2.299074623763,     	-1.492256510455,    	1.0,                	
11,    	-0.07558891618,     	0.021027255008,     	-0.996917333733,    	2.870273288052,     	-1.492256510455,    	1.0,                	
12,    	-0.074957635116,    	-0.023177200873,    	-0.996917333733,    	3.441471952342,     	-1.492256510455,    	1.0,                	
13,    	-0.050527834528,    	-0.060023059239,    	-0.996917333733,    	4.012670616631,     	-1.492256510455,    	1.0,                	
14,    	-0.01005580349,     	-0.077812020399,    	-0.996917333733,    	4.58386928092,      	-1.492256510455,    	1.0,                	
15,    	0.033608874105,     	-0.070896214876,    	-0.996917333733,    	5.155067945209,     	-1.492256510455,    	1.0,                	
16,    	0.066602971641,     	-0.041471362059,    	-0.996917333733,    	5.726266609498,     	-1.492256510455,    	1.0,                	
17,    	0.117524653024,     	0.001730818492,     	-0.993068456955,    	0.014726215564,     	-1.452986602285,    	1.0,                	
18,    	0.107916265933,     	0.046573805386,     	-0.993068456955,    	0.407425297262,     	-1.452986602285,    	1.0,                	
19,    	0.081878605617,     	0.084326352603,     	-0.993068456955,    	0.800124378961,     	-1.452986602285,    	1.0,                	
20,    	0.043375669827,     	0.109240977056,     	-0.993068456955,    	1.19282346066,      	-1.452986602285,    	1.0,                	
21,    	-0.001730818492,    	0.117524653024,     	-0.993068456955,    	1.585522542359,     	-1.452986602285,    	1.0,                	
22,    	-0.046573805386,    	0.107916265933,     	-0.993068456955,    	1.978221624057,     	-1.452986602285,    	1.0,                	
23,    	-0.084326352603,    	0.081878605617,     	-0.993068456955,    	2.370920705756,     	-1.452986602285,    	1.0,                	
24,    	-0.109240977056,    	0.043375669827,     	-0.993068456955,    	2.763619787455,     	-1.452986602285,    	1.0,                	
25,    	-0.117524653024,    	-0.001730818492,    	-0.993068456955,    	3.156318869153,     	-1.452986602285,    	1.0,                	
26,    	-0.107916265933,    	-0.046573805386,    	-0.993068456955,    	3.549017950852,     	-1.452986602285,    	1.0,                	
27,    	-0.081878605617,    	-0.084326352603,    	-0.993068456955,    	3.941717032551,     	-1.452986602285,    	1.0,                	
28,    	-0.043375669827,    	-0.109240977056,    	-0.993068456955,    	4.33441611425,      	-1.452986602285,    	1.0,                	
29,    	0.001730818492,     	-0.117524653024,    	-0.993068456955,    	4.727115195948,     	-1.452986602285,    	1.0,                	
30,    	0.046573805386,     	-0.107916265933,    	-0.993068456955,    	5.119814277647,     	-1.452986602285,    	1.0,                	
31,    	0.084326352603,     	-0.081878605617,    	-0.993068456955,    	5.512513359346,     	-1.452986602285,    	1.0,                	
32,    	0.109240977056,     	-0.043375669827,    	-0.993068456955,    	5.905212441045,     	-1.452986602285,    	1.0,                	
33,    	0.156418515453,     	0.002233803017,     	-0.987688340595,    	0.014279966607,     	-1.413716694115,    	1.0,                	
34,    	0.149453131485,     	0.046211506595,     	-0.987688340595,    	0.299879298752,     	-1.413716694115,    	1.0,                	
