number	direction_ind	# of covercap	
0	88	2	
1	89	2	
2	127	2	
3	151	2	
4	156	2	
5	244	2	
6	254	2	
7	373	2	
8	374	2	
9	375	2	
10	383	2	
11	394	2	
12	395	2	
13	401	2	
14	415	2	
15	417	2	
16	495	2	
17	526	2	
18	561	2	
19	567	2	
20	569	2	
21	730	2	
22	741	2	
23	743	2	
24	744	2	
25	746	2	
26	747	2	
27	759	2	
28	760	2	
29	767	2	
30	768	2	
31	770	2	
32	772	2	
33	777	2	
34	778	2	
35	781	2	
36	787	2	
37	788	2	
38	790	2	
39	794	2	
40	811	2	
41	822	2	
42	823	2	
43	828	2	
44	832	2	
45	860	2	
46	883	2	
47	889	2	
48	908	2	
49	931	2	
50	935	2	
51	953	2	
52	955	2	
53	963	2	
54	966	2	
55	971	2	
56	1004	2	
57	1009	2	
58	1023	2	
59	1026	2	
60	1027	2	
61	1029	2	
62	1031	2	
63	1081	2	
64	1086	2	
65	1087	2	
66	1171	2	
67	1184	2	
68	1210	2	
69	1230	2	
70	1237	2	
71	1273	2	
72	1275	2	
73	1277	2	
74	1278	2	
75	1290	2	
76	1293	2	
77	1294	2	
78	1296	2	
79	1301	2	
80	1309	2	
81	1310	2	
82	1311	2	
83	1317	2	
84	1319	2	
85	1320	2	
86	1324	2	
87	1327	2	
88	1329	2	
89	1334	2	
90	1341	2	
91	1350	2	
92	1353	2	
93	1361	2	
94	1362	2	
95	1368	2	
96	1370	2	
97	1371	2	
98	1377	2	
99	1378	2	
100	1386	2	
101	1430	2	
102	1444	2	
103	1455	2	
104	1482	2	
105	1512	2	
106	1547	2	
107	1551	2	
108	1552	2	
109	1555	2	
110	1557	2	
111	1561	2	
112	1564	2	
113	1571	2	
114	1576	2	
115	1585	2	
116	1600	2	
117	1604	2	
118	1606	2	
119	1607	2	
120	1625	2	
121	1631	2	
122	1634	2	
123	1653	2	
124	1684	2	
125	1701	2	
126	1727	2	
127	1729	2	
128	1774	2	
129	1787	2	
130	1899	2	
131	1904	2	
132	1910	2	
133	1918	2	
134	1946	2	
135	1949	2	
136	1951	2	
137	1967	2	
138	2026	2	
139	2171	2	
140	2176	2	
141	2265	2	
142	2296	2	
143	2297	2	
144	2304	2	
145	2310	2	
146	2313	2	
147	2371	2	
148	2417	2	
149	2440	2	
150	2452	2	
151	2459	2	
152	2460	2	
153	2490	2	
154	2502	2	
155	2519	2	
156	2531	2	
157	2573	2	
158	2575	2	
159	2600	2	
160	2614	2	
161	2726	2	
162	2883	2	
163	2887	2	
164	2889	2	
165	2891	2	
166	2892	2	
167	2893	2	
168	2894	2	
169	2899	2	
170	2986	2	
171	3014	2	
172	3015	2	
173	3046	2	
174	3047	2	
175	3051	2	
176	3052	2	
177	3053	2	
178	3059	2	
179	3076	2	
180	3082	2	
181	3095	2	
182	3119	2	
183	3120	2	
184	3143	2	
185	3155	2	
186	3158	2	
187	3184	2	
188	3189	2	
189	3193	2	
190	3195	2	
191	3201	2	
192	3209	2	
193	3213	2	
194	3218	2	
195	3220	2	
196	3225	2	
197	3418	2	
198	3424	2	
199	3432	2	
200	3434	2	
201	3447	2	
202	3465	2	
203	3500	2	
204	3505	2	
205	3509	2	
206	3539	2	
207	3551	2	
208	3575	2	
209	3582	2	
210	3588	2	
211	3592	2	
212	3598	2	
213	3600	2	
214	3601	2	
215	3604	2	
216	3605	2	
217	3610	2	
218	3615	2	
219	3636	2	
220	3689	2	
221	3736	2	
222	3795	2	
223	3796	2	
224	3797	2	
225	3799	2	
226	3801	2	
227	3802	2	
228	3803	2	
229	3808	2	
230	3853	2	
231	3854	2	
232	3872	2	
233	3875	2	
234	3908	2	
235	3918	2	
236	3924	2	
237	3952	2	
238	3970	2	
239	3971	2	
240	3973	2	
241	3977	2	
242	3979	2	
243	3983	2	
244	4000	2	
245	4049	2	
246	4156	2	
247	4157	2	
248	4176	2	
249	4193	2	
250	4274	2	
251	4345	2	
252	4347	2	
253	4585	2	
254	4646	2	
255	4653	2	
256	4664	2	
257	4733	2	
258	4743	2	
259	4851	2	
260	4852	2	
261	4864	2	
262	4865	2	
263	4872	2	
264	5049	2	
265	5061	2	
266	5068	2	
267	5071	2	
268	5085	2	
269	5100	2	
270	5112	2	
271	5283	2	
272	5288	2	
273	5294	2	
274	5300	2	
275	5304	2	
276	5312	2	
277	5503	2	
278	5507	2	
279	5513	2	
280	5514	2	
281	5516	2	
282	5522	2	
283	5525	2	
284	5529	2	
285	5532	2	
286	5533	2	
287	5716	2	
288	5717	2	
289	5720	2	
290	5721	2	
291	5723	2	
292	5724	2	
293	5737	2	
294	5760	2	
295	5761	2	
296	5762	2	
297	5763	2	
298	5764	2	
299	5766	2	
300	5769	2	
301	5773	2	
302	5925	2	
303	5930	2	
304	5931	2	
305	5935	2	
306	5936	2	
307	5938	2	
308	5939	2	
309	5940	2	
310	5941	2	
311	5942	2	
312	5943	2	
313	5944	2	
314	5948	2	
315	5997	2	
316	5998	2	
317	5999	2	
318	6000	2	
319	6001	2	
320	6002	2	
321	6003	2	
322	6004	2	
323	6007	2	
324	6011	2	
325	6157	2	
326	6159	2	
327	6160	2	
328	6161	2	
329	6163	2	
330	6164	2	
331	6165	2	
332	6167	2	
333	6234	2	
334	6235	2	
335	6236	2	
336	6237	2	
337	6238	2	
338	6390	2	
339	6392	2	
340	6393	2	
341	6394	2	
342	6395	2	
343	6396	2	
344	6474	2	
345	6475	2	
346	6476	2	
347	6477	2	
348	6479	2	
349	6717	2	
350	7108	2	
351	7109	2	
352	7110	2	
