This run aims to check if discrepancy is less than 0.0092
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.018710280598,     	0.0,                	0.999824947378,     	0.0,                	1.552084954359,     	1.0,                	0.002180667818,     	0.005821345223,     	0.005821345223,     	Normal,             	
1,     	0.017804680598,     	0.005750473793,     	0.999824947378,     	0.312399626924,     	1.552084954359,     	1.0,                	0.002141265909,     	0.005949393454,     	0.005949393454,     	Normal,             	
2,     	0.015099337291,     	0.011049190624,     	0.999824947378,     	0.631729240308,     	1.552084954359,     	1.0,                	0.00213406213,      	0.005975365891,     	0.005975365891,     	Normal,             	
3,     	0.010845906084,     	0.015246013291,     	0.999824947378,     	0.952464954353,     	1.552084954359,     	1.0,                	0.002137080669,     	0.005970620957,     	0.005970620957,     	Normal,             	
4,     	0.005490868473,     	0.017886446362,     	0.999824947378,     	1.272943774367,     	1.552084954359,     	1.0,                	0.002134487195,     	0.005960622008,     	0.005960622008,     	Normal,             	
5,     	-0.00041318174,     	0.018705717867,     	0.999824947378,     	1.592881261743,     	1.552084954359,     	1.0,                	0.002149140932,     	0.005937403766,     	0.005937403766,     	Normal,             	
6,     	-0.006253138089,    	0.017634422704,     	0.999824947378,     	1.911561828932,     	1.552084954359,     	1.0,                	0.002152605114,     	0.005950478237,     	0.005950478237,     	Normal,             	
7,     	-0.011473862117,    	0.014779211351,     	0.999824947378,     	2.230950167323,     	1.552084954359,     	1.0,                	0.00213603378,      	0.005948575243,     	0.005948575243,     	Normal,             	
8,     	-0.015532991293,    	0.010430761311,     	0.999824947378,     	2.550235486848,     	1.552084954359,     	1.0,                	0.00214120332,      	0.005967994117,     	0.005967994117,     	Normal,             	
9,     	-0.018027321269,    	0.005009020654,     	0.999824947378,     	2.870572090222,     	1.552084954359,     	1.0,                	0.002140425566,     	0.005963094482,     	0.005963094482,     	Normal,             	
10,    	-0.01868777684,     	-0.000917385866,    	0.999824947378,     	3.190643432561,     	1.552084954359,     	1.0,                	0.00214332132,      	0.005952648098,     	0.005952648098,     	Normal,             	
11,    	0.034889780476,     	0.0,                	0.99939116627,      	0.0,                	1.535899463903,     	1.0,                	0.001089848845,     	0.012454290465,     	0.012454290465,     	Normal,             	
12,    	0.032666932569,     	0.012254317532,     	0.99939116627,      	0.358883862915,     	1.535899463903,     	1.0,                	0.001052410138,     	0.012540727284,     	0.012540727284,     	Normal,             	
13,    	0.026223759179,     	0.023013283907,     	0.99939116627,      	0.720285867204,     	1.535899463903,     	1.0,                	0.001065984752,     	0.012630056394,     	0.012630056394,     	Normal,             	
14,    	0.016312356097,     	0.030841592375,     	0.99939116627,      	1.084290882073,     	1.535899463903,     	1.0,                	0.00105336352,      	0.012633881405,     	0.012633881405,     	Normal,             	
15,    	0.004259471413,     	0.034628798491,     	0.99939116627,      	1.448407369958,     	1.535899463903,     	1.0,                	0.001056103226,     	0.012547777382,     	0.012547777382,     	Normal,             	
16,    	-0.00826690377,     	0.033896239964,     	0.99939116627,      	1.810014788422,     	1.535899463903,     	1.0,                	0.00104796265,      	0.012603188374,     	0.012603188374,     	Normal,             	
17,    	-0.019770468987,    	0.028747614469,     	0.99939116627,      	2.173236815777,     	1.535899463903,     	1.0,                	0.001038179139,     	0.012524424129,     	0.012524424129,     	Normal,             	
18,    	-0.028648635301,    	0.019913625411,     	0.99939116627,      	2.534163820313,     	1.535899463903,     	1.0,                	0.001069664361,     	0.012588492247,     	0.012588492247,     	Normal,             	
19,    	-0.033850964467,    	0.008450383797,     	0.99939116627,      	2.896957597135,     	1.535899463903,     	1.0,                	0.001077412275,     	0.012555518962,     	0.012555518962,     	Normal,             	
20,    	-0.034650442865,    	-0.004079655736,    	0.99939116627,      	3.258790581474,     	1.535899463903,     	1.0,                	0.001025829169,     	0.012712671304,     	0.012712671304,     	Normal,             	
