Point's Coordinates for twisted_polar_coordinates_85

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.036947461299,     	0.00054626979,      	-0.999317060143,    	0.014783965429,     	-1.533836413223,    	1.0,                	
2,     	0.010897859997,     	0.035307930477,     	-0.999317060143,    	1.271421026865,     	-1.533836413223,    	1.0,                	
3,     	-0.030212213416,    	0.021275231318,     	-0.999317060143,    	2.5280580883,       	-1.533836413223,    	1.0,                	
4,     	-0.029570034764,    	-0.022159114404,    	-0.999317060143,    	3.784695149736,     	-1.533836413223,    	1.0,                	
5,     	0.011936926883,     	-0.03497031718,     	-0.999317060143,    	5.041332211172,     	-1.533836413223,    	1.0,                	
6,     	0.073845857483,     	0.000992545767,     	-0.997269173386,    	0.013439968572,     	-1.496876499652,    	1.0,                	
7,     	0.061586477738,     	0.040759067388,     	-0.997269173386,    	0.584638632861,     	-1.496876499652,    	1.0,                	
8,     	0.02977382646,      	0.067584873103,     	-0.997269173386,    	1.15583729715,      	-1.496876499652,    	1.0,                	
9,     	-0.011491804347,    	0.07295295914,      	-0.997269173386,    	1.727035961439,     	-1.496876499652,    	1.0,                	
10,    	-0.04910886847,     	0.055158996111,     	-0.997269173386,    	2.298234625728,     	-1.496876499652,    	1.0,                	
11,    	-0.071134213842,    	0.019852441552,     	-0.997269173386,    	2.869433290017,     	-1.496876499652,    	1.0,                	
12,    	-0.070574948928,    	-0.02175712293,     	-0.997269173386,    	3.440631954306,     	-1.496876499652,    	1.0,                	
13,    	-0.047608636389,    	-0.056458954609,    	-0.997269173386,    	4.011830618595,     	-1.496876499652,    	1.0,                	
14,    	-0.009526918183,    	-0.073235467121,    	-0.997269173386,    	4.583029282884,     	-1.496876499652,    	1.0,                	
15,    	0.031579529232,     	-0.066760236278,    	-0.997269173386,    	5.154227947173,     	-1.496876499652,    	1.0,                	
16,    	0.062659699247,     	-0.039089102122,    	-0.997269173386,    	5.725426611462,     	-1.496876499652,    	1.0,                	
17,    	0.110642053943,     	0.001533593483,     	-0.993859136895,    	0.013859967589,     	-1.45991658608,     	1.0,                	
18,    	0.101633048255,     	0.043757736597,     	-0.993859136895,    	0.406559049288,     	-1.45991658608,     	1.0,                	
19,    	0.077151332276,     	0.079320160979,     	-0.993859136895,    	0.799258130987,     	-1.45991658608,     	1.0,                	
20,    	0.040924025336,     	0.102806809891,     	-0.993859136895,    	1.191957212686,     	-1.45991658608,     	1.0,                	
21,    	-0.001533593483,    	0.110642053943,     	-0.993859136895,    	1.584656294384,     	-1.45991658608,     	1.0,                	
22,    	-0.043757736597,    	0.101633048255,     	-0.993859136895,    	1.977355376083,     	-1.45991658608,     	1.0,                	
