This run aims to check if discrepancy is less than 0.0160
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.538526487743,     	0.009907153399,     	0.322222312763,     	1.530249211307,     	0,     	10,    	11,    	
2,     	1.510925810684,     	0.021382694345,     	0.374586289794,     	1.493259393553,     	11,    	20,    	10,    	
3,     	1.476366754684,     	0.019095210105,     	0.209543810584,     	1.460149842432,     	21,    	37,    	17,    	
4,     	1.444272358711,     	0.018357630909,     	0.152755208459,     	1.428705355617,     	38,    	60,    	23,    	
5,     	1.41224345041,      	0.018790503316,     	0.119117801263,     	1.396139156084,     	61,    	86,    	26,    	
6,     	1.379903474897,     	0.01867107164,      	0.112261493672,     	1.363388052156,     	87,    	117,   	31,    	
7,     	1.347803037391,     	0.017881006666,     	0.080876773131,     	1.332224207655,     	118,   	154,   	37,    	
8,     	1.315790730914,     	0.018887964336,     	0.074895214599,     	1.299603924287,     	155,   	196,   	42,    	
9,     	1.283515910093,     	0.018585297124,     	0.073745875468,     	1.267351369096,     	197,   	241,   	45,    	
10,    	1.250698085472,     	0.019112100628,     	0.062561384411,     	1.234169269184,     	242,   	292,   	51,    	
11,    	1.218729421387,     	0.017781729734,     	0.058782157026,     	1.203046335209,     	293,   	348,   	56,    	
12,    	1.187529412493,     	0.01790716238,      	0.053173392847,     	1.171973292431,     	349,   	409,   	61,    	
13,    	1.156247473854,     	0.018107057696,     	0.052696816646,     	1.140659022026,     	410,   	474,   	65,    	
14,    	1.124362607565,     	0.018860614707,     	0.048333670442,     	1.108121261755,     	475,   	544,   	70,    	
15,    	1.092878104952,     	0.017588687993,     	0.045348188927,     	1.077382944581,     	545,   	617,   	73,    	
16,    	1.061505604164,     	0.018521089359,     	0.037989734802,     	1.045542206872,     	618,   	695,   	78,    	
17,    	1.030091625951,     	0.017814032159,     	0.038182622768,     	1.014729890845,     	696,   	777,   	82,    	
18,    	1.002075762413,     	0.014612355452,     	0.027802474718,     	0.988625281977,     	778,   	864,   	87,    	
19,    	0.97413256227,      	0.016791082297,     	0.035576997752,     	0.959627503891,     	865,   	958,   	94,    	
20,    	0.948243907757,     	0.013112840008,     	0.028664086275,     	0.936294396929,     	959,   	1066,  	108,   	
21,    	0.924516910605,     	0.013571242956,     	0.032687611692,     	0.912568491962,     	1067,  	1185,  	119,   	
22,    	0.898670724344,     	0.016101375307,     	0.025860124444,     	0.884766952428,     	1186,  	1296,  	111,   	
23,    	0.871391962672,     	0.015980574322,     	0.032110814666,     	0.857588443682,     	1297,  	1409,  	113,   	
24,    	0.847595134955,     	0.011725351393,     	0.026970207816,     	0.837460035366,     	1410,  	1540,  	131,   	
25,    	0.828302758031,     	0.010579262854,     	0.028260926902,     	0.819156007789,     	1541,  	1682,  	142,   	
26,    	0.807296882583,     	0.013701200138,     	0.027736385062,     	0.795455627012,     	1683,  	1806,  	124,   	
27,    	0.784918676964,     	0.012151799062,     	0.025966919693,     	0.774413222035,     	1807,  	1939,  	133,   	
28,    	0.764242900658,     	0.011761305622,     	0.025185968603,     	0.754073768845,     	1940,  	2086,  	147,   	
29,    	0.743884006021,     	0.011764219149,     	0.027561864079,     	0.733341145361,     	2087,  	2219,  	133,   	
30,    	0.724848995233,     	0.009806224999,     	0.024927391393,     	0.716367133636,     	2220,  	2365,  	146,   	
31,    	0.708426029434,     	0.009271400084,     	0.02369619835,      	0.699515646553,     	2366,  	2508,  	143,   	
32,    	0.688752649158,     	0.012461393231,     	0.022588227815,     	0.677976606727,     	2509,  	2655,  	147,   	
33,    	0.667701212242,     	0.011850080217,     	0.02251735264,      	0.657452462965,     	2656,  	2813,  	158,   	
34,    	0.646814973034,     	0.01228638957,      	0.023124849724,     	0.63618876417,      	2814,  	2959,  	146,   	
35,    	0.623376464921,     	0.014794820375,     	0.01822244961,      	0.610583214816,     	2960,  	3111,  	152,   	
36,    	0.602089181587,     	0.009818837063,     	0.022147009655,     	0.593168856812,     	3112,  	3272,  	161,   	
37,    	0.582736859099,     	0.012054577012,     	0.024159205524,     	0.571618644837,     	3273,  	3428,  	156,   	
38,    	0.559653016421,     	0.013835549723,     	0.020317717713,     	0.547685878322,     	3429,  	3586,  	158,   	
39,    	0.534737545876,     	0.014933425949,     	0.017356545299,     	0.521821090906,     	3587,  	3748,  	162,   	
40,    	0.510271207288,     	0.013383859304,     	0.019390169848,     	0.498692805124,     	3749,  	3918,  	170,   	
41,    	0.487011200177,     	0.013492459301,     	0.019879737598,     	0.474977708123,     	3919,  	4083,  	165,   	
42,    	0.462517125961,     	0.014403786783,     	0.020248077057,     	0.450055795774,     	4084,  	4250,  	167,   	
43,    	0.438673313691,     	0.013172220765,     	0.01881326596,      	0.426948019405,     	4251,  	4422,  	172,   	
44,    	0.416314931998,     	0.012271208714,     	0.020472291416,     	0.405662845022,     	4423,  	4600,  	178,   	
45,    	0.394247254339,     	0.013219389206,     	0.019333025028,     	0.382652121248,     	4601,  	4771,  	171,   	
46,    	0.372120008514,     	0.012153143733,     	0.018035212058,     	0.361114892838,     	4772,  	4948,  	177,   	
47,    	0.350174570867,     	0.012643568473,     	0.01880663732,      	0.339022901118,     	4949,  	5131,  	183,   	
48,    	0.327729406424,     	0.013055543072,     	0.017252711452,     	0.3158833317,       	5132,  	5313,  	182,   	
49,    	0.305627686197,     	0.011869129357,     	0.017896471709,     	0.294428720348,     	5314,  	5497,  	184,   	
50,    	0.283299054772,     	0.012883479917,     	0.017520264651,     	0.27214752007,      	5498,  	5687,  	190,   	
51,    	0.26152788106,      	0.012294376948,     	0.018163096799,     	0.25057381238,      	5688,  	5878,  	191,   	
52,    	0.240454055116,     	0.011712923209,     	0.021592861877,     	0.229596803765,     	5879,  	6064,  	186,   	
53,    	0.217143092341,     	0.0144481238,       	0.019546336344,     	0.204636189429,     	6065,  	6254,  	190,   	
54,    	0.194502651014,     	0.011709308896,     	0.013389254182,     	0.18373993631,      	6255,  	6451,  	197,   	
55,    	0.171053762447,     	0.014678810721,     	0.015653502821,     	0.158345963931,     	6452,  	6638,  	187,   	
56,    	0.147278068802,     	0.012830814529,     	0.015773285058,     	0.13616915803,      	6639,  	6829,  	191,   	
57,    	0.125020392252,     	0.01312139185,      	0.016347029341,     	0.11359004035,      	6830,  	7027,  	198,   	
58,    	0.102169444834,     	0.01321498928,      	0.016707427295,     	0.090590044284,     	7028,  	7222,  	195,   	
59,    	0.080611770551,     	0.011744442925,     	0.017661106034,     	0.070442060617,     	7223,  	7415,  	193,   	
60,    	0.059884963178,     	0.012189161083,     	0.019247602059,     	0.049329822904,     	7416,  	7618,  	203,   	
61,    	0.039292867899,     	0.011600296777,     	0.017805468342,     	0.029247264867,     	7619,  	7823,  	205,   	
62,    	0.018053321793,     	0.012936930304,     	0.017492248598,     	0.006849832981,     	7824,  	8010,  	187,   	
63,    	0.001201837943,     	0.00725454878,      	0.007439899946,     	-0.003689735604,    	8011,  	8299,  	289,   	
