This run aims to check if discrepancy is less than 0.0160
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.032264238685,     	0.0,                	0.999479373925,     	0.0,                	1.538526487743,     	1.0,                	0.003949676857,     	0.009907153399,     	0.009907153399,     	Normal,             	
1,     	0.030743178643,     	0.009789691763,     	0.999479373925,     	0.308282306322,     	1.538526487743,     	1.0,                	0.003912214843,     	0.010352482544,     	0.010352482544,     	Normal,             	
2,     	0.026060114876,     	0.019022394974,     	0.999479373925,     	0.630540485187,     	1.538526487743,     	1.0,                	0.003959707137,     	0.009985043893,     	0.009985043893,     	Normal,             	
3,     	0.018996056952,     	0.026079319742,     	0.999479373925,     	0.941266133349,     	1.538526487743,     	1.0,                	0.003893608099,     	0.010240995617,     	0.010240995617,     	Normal,             	
4,     	0.009866211603,     	0.03071870711,      	0.999479373925,     	1.260024028529,     	1.538526487743,     	1.0,                	0.003890196583,     	0.010025990077,     	0.010025990077,     	Normal,             	
5,     	-3.9942322e-05,     	0.032264213961,     	0.999479373925,     	1.572034302158,     	1.538526487743,     	1.0,                	0.00393666634,      	0.010334457408,     	0.010334457408,     	Normal,             	
6,     	-0.010238947129,    	0.0305964877,       	0.999479373925,     	1.893726490193,     	1.538526487743,     	1.0,                	0.003957668386,     	0.010216168613,     	0.010216168613,     	Normal,             	
7,     	-0.019291564958,    	0.025861489118,     	0.999479373925,     	2.211705042231,     	1.538526487743,     	1.0,                	0.003905318504,     	0.010060992101,     	0.010060992101,     	Normal,             	
8,     	-0.026319413608,    	0.018661981814,     	0.999479373925,     	2.52481355505,      	1.538526487743,     	1.0,                	0.003856881915,     	0.01031457064,      	0.01031457064,      	Normal,             	
9,     	-0.030863812285,    	0.009402456548,     	0.999479373925,     	2.845881326948,     	1.538526487743,     	1.0,                	0.003912972355,     	0.009906032961,     	0.009907153399,     	cover cap,          	
10,    	-0.032261689367,    	-0.000405582406,    	0.999479373925,     	3.154163633269,     	1.538526487743,     	1.0,                	0.003825122465,     	0.010351340339,     	0.010351340339,     	Normal,             	
11,    	0.059834755089,     	0.0,                	0.99820829594,      	0.0,                	1.510925810684,     	1.0,                	0.002086487728,     	0.021962611976,     	0.021962611976,     	Normal,             	
12,    	0.05580401807,      	0.021589568867,     	0.99820829594,      	0.369146839143,     	1.510925810684,     	1.0,                	0.002115100676,     	0.021962760126,     	0.021962760126,     	Normal,             	
13,    	0.044254762566,     	0.040270509145,     	0.99820829594,      	0.738296197059,     	1.510925810684,     	1.0,                	0.002141872942,     	0.021348846585,     	0.021382694345,     	cover cap,          	
14,    	0.027269350005,     	0.053259557517,     	0.99820829594,      	1.097588076526,     	1.510925810684,     	1.0,                	0.001966009385,     	0.02204824907,      	0.02204824907,      	Normal,             	
15,    	0.006128599587,     	0.059520065387,     	0.99820829594,      	1.468190971323,     	1.510925810684,     	1.0,                	0.002127736615,     	0.021579114645,     	0.021579114645,     	Normal,             	
16,    	-0.015383707032,    	0.057823347141,     	0.99820829594,      	1.830819763117,     	1.510925810684,     	1.0,                	0.002008721147,     	0.021930779274,     	0.021930779274,     	Normal,             	
17,    	-0.035185018091,    	0.048396409149,     	0.99820829594,      	2.199425413164,     	1.510925810684,     	1.0,                	0.002097775802,     	0.022034724602,     	0.022034724602,     	Normal,             	
18,    	-0.050316921558,    	0.03237908772,      	0.99820829594,      	2.569798343283,     	1.510925810684,     	1.0,                	0.002108595539,     	0.021962642079,     	0.021962642079,     	Normal,             	
19,    	-0.058610372977,    	0.012042512034,     	0.99820829594,      	2.938945694222,     	1.510925810684,     	1.0,                	0.002099993797,     	0.021990561134,     	0.021990561134,     	Normal,             	
20,    	-0.059002574645,    	-0.009944551364,    	0.99820829594,      	3.30856772072,      	1.510925810684,     	1.0,                	0.001900067354,     	0.022282470353,     	0.022282470353,     	Normal,             	
21,    	0.094289297465,     	0.0,                	0.995544839966,     	0.0,                	1.476366754684,     	1.0,                	0.002553355729,     	0.019095210105,     	0.019095210105,     	Normal,             	
22,    	0.092355742656,     	0.018997063319,     	0.995544839966,     	0.20286494464,      	1.476366754684,     	1.0,                	0.002238512831,     	0.019925334071,     	0.019925334071,     	Normal,             	
23,    	0.086301580817,     	0.037980373417,     	0.995544839966,     	0.414581407528,     	1.476366754684,     	1.0,                	0.002446442864,     	0.019851420311,     	0.019851420311,     	Normal,             	
24,    	0.076437020711,     	0.055207367998,     	0.995544839966,     	0.625509570068,     	1.476366754684,     	1.0,                	0.00246596166,      	0.019892049047,     	0.019892049047,     	Normal,             	
25,    	0.063153982682,     	0.070014613387,     	0.995544839966,     	0.836871039547,     	1.476366754684,     	1.0,                	0.002358198539,     	0.019818489224,     	0.019818489224,     	Normal,             	
26,    	0.047124196525,     	0.081668731582,     	0.995544839966,     	1.047447998153,     	1.476366754684,     	1.0,                	0.002646550979,     	0.019304653466,     	0.019304653466,     	Normal,             	
27,    	0.029503629294,     	0.089554494442,     	0.995544839966,     	1.252545830772,     	1.476366754684,     	1.0,                	0.002406560932,     	0.019710218583,     	0.019710218583,     	Normal,             	
28,    	0.010241089288,     	0.093731487274,     	0.995544839966,     	1.461968148924,     	1.476366754684,     	1.0,                	0.002456273113,     	0.019672792464,     	0.019672792464,     	Normal,             	
29,    	-0.009431519897,    	0.093816406075,     	0.995544839966,     	1.670991356631,     	1.476366754684,     	1.0,                	0.002430788611,     	0.019777111324,     	0.019777111324,     	Normal,             	
30,    	-0.028793459005,    	0.089785345881,     	0.995544839966,     	1.88112703683,      	1.476366754684,     	1.0,                	0.002561114812,     	0.019310628078,     	0.019310628078,     	Normal,             	
31,    	-0.046481152301,    	0.082036419334,     	0.995544839966,     	2.086288568888,     	1.476366754684,     	1.0,                	0.002536193426,     	0.019287045335,     	0.019287045335,     	Normal,             	
32,    	-0.062201433468,    	0.070862213421,     	0.995544839966,     	2.291198670349,     	1.476366754684,     	1.0,                	0.002465405063,     	0.019692641803,     	0.019692641803,     	Normal,             	
33,    	-0.075563726565,    	0.056396762708,     	0.995544839966,     	2.500433549467,     	1.476366754684,     	1.0,                	0.002566307804,     	0.019309025953,     	0.019309025953,     	Normal,             	
34,    	-0.085467778433,    	0.039821231348,     	0.995544839966,     	2.705578000152,     	1.476366754684,     	1.0,                	0.002485640238,     	0.019812712893,     	0.019812712893,     	Normal,             	
35,    	-0.091902136575,    	0.021082431293,     	0.995544839966,     	2.91609335593,      	1.476366754684,     	1.0,                	0.002551291304,     	0.019137480389,     	0.019137480389,     	Normal,             	
36,    	-0.094266097697,    	0.002091516532,     	0.995544839966,     	3.119408926023,     	1.476366754684,     	1.0,                	0.002386662333,     	0.019987876425,     	0.019987876425,     	Normal,             	
37,    	-0.092588929963,    	-0.017825870655,    	0.995544839966,     	3.331792437434,     	1.476366754684,     	1.0,                	0.002480892144,     	0.019721611239,     	0.019721611239,     	Normal,             	
38,    	0.126186665601,     	0.0,                	0.99200651481,      	0.0,                	1.444272358711,     	1.0,                	0.002711951957,     	0.018357630909,     	0.018357630909,     	Normal,             	
39,    	0.124851331907,     	0.018309000424,     	0.99200651481,      	0.14560855681,      	1.444272358711,     	1.0,                	0.002726798767,     	0.017961763989,     	0.018357630909,     	cover cap,          	
40,    	0.120873592386,     	0.036230501502,     	0.99200651481,      	0.29121711362,      	1.444272358711,     	1.0,                	0.002625718176,     	0.018554660005,     	0.018554660005,     	Normal,             	
41,    	0.11425391351,      	0.053564146805,     	0.99200651481,      	0.438391272341,     	1.444272358711,     	1.0,                	0.002563841956,     	0.018623967778,     	0.018623967778,     	Normal,             	
42,    	0.105125507367,     	0.069797580732,     	0.99200651481,      	0.586116175116,     	1.444272358711,     	1.0,                	0.002515784439,     	0.018682015213,     	0.018682015213,     	Normal,             	
43,    	0.093668160816,     	0.084553830337,     	0.99200651481,      	0.734302351957,     	1.444272358711,     	1.0,                	0.002479418093,     	0.019036298539,     	0.019036298539,     	Normal,             	
44,    	0.079882997524,     	0.097682041758,     	0.99200651481,      	0.885304014125,     	1.444272358711,     	1.0,                	0.002515490018,     	0.018813549327,     	0.018813549327,     	Normal,             	
45,    	0.064471962648,     	0.108473225304,     	0.99200651481,      	1.034535456354,     	1.444272358711,     	1.0,                	0.002506027416,     	0.018729313026,     	0.018729313026,     	Normal,             	
46,    	0.047706009982,     	0.116821278828,     	0.99200651481,      	1.183097491208,     	1.444272358711,     	1.0,                	0.002479319881,     	0.019353647338,     	0.019353647338,     	Normal,             	
47,    	0.029280421429,     	0.12274254151,      	0.99200651481,      	1.336621374874,     	1.444272358711,     	1.0,                	0.002486730328,     	0.018891544559,     	0.018891544559,     	Normal,             	
48,    	0.010627919093,     	0.125738307254,     	0.99200651481,      	1.486472642997,     	1.444272358711,     	1.0,                	0.002360512725,     	0.019135690912,     	0.019135690912,     	Normal,             	
49,    	-0.008507092226,    	0.12589957886,      	0.99200651481,      	1.638264228773,     	1.444272358711,     	1.0,                	0.002459228493,     	0.019374498697,     	0.019374498697,     	Normal,             	
50,    	-0.02768019263,     	0.123113287306,     	0.99200651481,      	1.791953843177,     	1.444272358711,     	1.0,                	0.002495821471,     	0.019526109962,     	0.019526109962,     	Normal,             	
51,    	-0.046342230284,    	0.117368957854,     	0.99200651481,      	1.946848525854,     	1.444272358711,     	1.0,                	0.002281148872,     	0.019423462176,     	0.019423462176,     	Normal,             	
52,    	-0.063805827531,    	0.108866390353,     	0.99200651481,      	2.100927315861,     	1.444272358711,     	1.0,                	0.002545816173,     	0.018729588309,     	0.018729588309,     	Normal,             	
53,    	-0.079217202604,    	0.098222753917,     	0.99200651481,      	2.249491538303,     	1.444272358711,     	1.0,                	0.002572313877,     	0.018687726156,     	0.018687726156,     	Normal,             	
54,    	-0.092854942654,    	0.085446089438,     	0.99200651481,      	2.397723097596,     	1.444272358711,     	1.0,                	0.002607230468,     	0.018624160128,     	0.018624160128,     	Normal,             	
55,    	-0.10442037767,     	0.070848142549,     	0.99200651481,      	2.545449528865,     	1.444272358711,     	1.0,                	0.002654864733,     	0.018558988644,     	0.018558988644,     	Normal,             	
56,    	-0.113682831022,    	0.054765760344,     	0.99200651481,      	2.692658084153,     	1.444272358711,     	1.0,                	0.002622126271,     	0.018521292926,     	0.018521292926,     	Normal,             	
57,    	-0.120474944518,    	0.037534814755,     	0.99200651481,      	2.839567100254,     	1.444272358711,     	1.0,                	0.002563718253,     	0.018511244569,     	0.018511244569,     	Normal,             	
58,    	-0.124670052553,    	0.019505193459,     	0.99200651481,      	2.986396270269,     	1.444272358711,     	1.0,                	0.002511894624,     	0.018590345443,     	0.018590345443,     	Normal,             	
59,    	-0.126182887161,    	0.000976505563,     	0.99200651481,      	3.133853996692,     	1.444272358711,     	1.0,                	0.002624260325,     	0.018039718112,     	0.018357630909,     	cover cap,          	
60,    	-0.12498927911,     	-0.017342280215,    	0.99200651481,      	3.279462553502,     	1.444272358711,     	1.0,                	0.002417291869,     	0.01925693498,      	0.01925693498,      	Normal,             	
61,    	0.157889400378,     	0.0,                	0.987456802725,     	0.0,                	1.41224345041,      	1.0,                	0.002397707902,     	0.019814804811,     	0.019814804811,     	Normal,             	
62,    	0.156646041138,     	0.019775756559,     	0.987456802725,     	0.125580508354,     	1.41224345041,      	1.0,                	0.002346986532,     	0.021044442678,     	0.021044442678,     	Normal,             	
63,    	0.1526246496,       	0.04043240144,      	0.987456802725,     	0.258965341329,     	1.41224345041,      	1.0,                	0.002493832437,     	0.019541267949,     	0.019541267949,     	Normal,             	
64,    	0.146461156778,     	0.058976201193,     	0.987456802725,     	0.382810017321,     	1.41224345041,      	1.0,                	0.002486729508,     	0.020178001583,     	0.020178001583,     	Normal,             	
65,    	0.137743467784,     	0.077173828689,     	0.987456802725,     	0.51069547577,      	1.41224345041,      	1.0,                	0.002361119663,     	0.020337205808,     	0.020337205808,     	Normal,             	
66,    	0.126680940292,     	0.094239068961,     	0.987456802725,     	0.639591342985,     	1.41224345041,      	1.0,                	0.002387946322,     	0.020362591268,     	0.020362591268,     	Normal,             	
67,    	0.113498947354,     	0.109759062046,     	0.987456802725,     	0.768648325121,     	1.41224345041,      	1.0,                	0.002266545214,     	0.019537339027,     	0.019537339027,     	Normal,             	
