Point's Coordinates for twisted_polar_coordinates_117

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.026846444259,     	0.000288354993,     	-0.999639527671,    	0.010740487705,     	-1.543945107533,    	1.0,                	
2,     	0.00802176562,      	0.025621592345,     	-0.999639527671,    	1.26737754914,      	-1.543945107533,    	1.0,                	
3,     	-0.021888720456,    	0.015546659922,     	-0.999639527671,    	2.524014610576,     	-1.543945107533,    	1.0,                	
4,     	-0.021549738832,    	-0.016013228101,    	-0.999639527671,    	3.780651672012,     	-1.543945107533,    	1.0,                	
5,     	0.008570249409,     	-0.025443379158,    	-0.999639527671,    	5.037288733448,     	-1.543945107533,    	1.0,                	
6,     	0.053674071032,     	0.000524094564,     	-0.998558370564,    	0.009764079731,     	-1.517093888272,    	1.0,                	
7,     	0.044870154964,     	0.029459290043,     	-0.998558370564,    	0.58096274402,      	-1.517093888272,    	1.0,                	
8,     	0.021820281731,     	0.049041369082,     	-0.998558370564,    	1.15216140831,      	-1.517093888272,    	1.0,                	
9,     	-0.008157376776,    	0.053053159948,     	-0.998558370564,    	1.723360072599,     	-1.517093888272,    	1.0,                	
10,    	-0.035545125794,    	0.040220947385,     	-0.998558370564,    	2.294558736888,     	-1.517093888272,    	1.0,                	
11,    	-0.051647548522,    	0.014618868216,     	-0.998558370564,    	2.865757401177,     	-1.517093888272,    	1.0,                	
12,    	-0.051352239519,    	-0.01562459832,     	-0.998558370564,    	3.436956065466,     	-1.517093888272,    	1.0,                	
13,    	-0.034752957306,    	-0.040907365288,    	-0.998558370564,    	4.008154729755,     	-1.517093888272,    	1.0,                	
14,    	-0.007119856701,    	-0.053202332814,    	-0.998558370564,    	4.579353394044,     	-1.517093888272,    	1.0,                	
15,    	0.0227737481,       	-0.048605935582,    	-0.998558370564,    	5.150552058333,     	-1.517093888272,    	1.0,                	
16,    	0.045436848791,     	-0.028577497235,    	-0.998558370564,    	5.721750722622,     	-1.517093888272,    	1.0,                	
