This run aims to check if discrepancy is less than 0.0067
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.557160254578,     	0.004186314429,     	0.310126455556,     	1.553683208391,     	0,     	11,    	12,    	
2,     	1.545443568944,     	0.009121374926,     	0.362237244616,     	1.537930592104,     	12,    	21,    	10,    	
3,     	1.530790498981,     	0.008083847785,     	0.205754651261,     	1.523926865532,     	22,    	38,    	17,    	
4,     	1.516887140211,     	0.00802381031,      	0.149679007717,     	1.510009488542,     	39,    	60,    	22,    	
5,     	1.503037463475,     	0.008198104379,     	0.124210070665,     	1.496050792171,     	61,    	87,    	27,    	
6,     	1.489361785927,     	0.007845303186,     	0.102785741467,     	1.482566020597,     	88,    	120,   	33,    	
7,     	1.475551769485,     	0.00813470511,      	0.086569385566,     	1.468569339567,     	121,   	158,   	38,    	
8,     	1.461845689568,     	0.007840811862,     	0.072811095031,     	1.455035952958,     	159,   	201,   	43,    	
9,     	1.448295581907,     	0.007927084125,     	0.064884007711,     	1.441466070272,     	202,   	250,   	49,    	
10,    	1.434480858682,     	0.008155618526,     	0.060980636012,     	1.427445377524,     	251,   	303,   	53,    	
11,    	1.420643922382,     	0.007852927333,     	0.05334094837,      	1.413798798502,     	304,   	361,   	58,    	
12,    	1.406931354097,     	0.008073948661,     	0.050732550847,     	1.399971314189,     	362,   	424,   	63,    	
13,    	1.393467126693,     	0.007546878039,     	0.048905765801,     	1.386809707679,     	425,   	493,   	69,    	
14,    	1.380334216249,     	0.007523328473,     	0.042251944542,     	1.373316243815,     	494,   	564,   	71,    	
15,    	1.366356878592,     	0.008026375388,     	0.040753157403,     	1.359321357385,     	565,   	641,   	77,    	
16,    	1.352409049173,     	0.00808046419,      	0.039996586799,     	1.345447903987,     	642,   	725,   	84,    	
17,    	1.338761353027,     	0.007768877509,     	0.035684028617,     	1.331865755664,     	726,   	812,   	87,    	
18,    	1.324604823509,     	0.008386338447,     	0.035439021388,     	1.317373783246,     	813,   	902,   	90,    	
19,    	1.309409664164,     	0.009171862151,     	0.036233817141,     	1.301505855144,     	903,   	990,   	88,    	
20,    	1.293210201409,     	0.009560851556,     	0.035514161873,     	1.284970301594,     	991,   	1077,  	87,    	
21,    	1.276577230297,     	0.009678452594,     	0.034885582316,     	1.268099920028,     	1078,  	1169,  	92,    	
22,    	1.260415739292,     	0.008879714665,     	0.03155955609,      	1.25275636091,      	1170,  	1274,  	105,   	
23,    	1.245271207083,     	0.008880930175,     	0.027770602273,     	1.237609255679,     	1275,  	1387,  	113,   	
24,    	1.229498714618,     	0.009350384604,     	0.028686078686,     	1.221431754779,     	1388,  	1499,  	112,   	
25,    	1.212876053757,     	0.009862152975,     	0.03045428143,      	1.204289965032,     	1500,  	1607,  	108,   	
26,    	1.195825009115,     	0.009952926642,     	0.029697055174,     	1.187216873708,     	1608,  	1721,  	114,   	
27,    	1.179629311986,     	0.008750685034,     	0.024438821965,     	1.1719978738,       	1722,  	1852,  	131,   	
28,    	1.16470005391,      	0.008409634261,     	0.021289208114,     	1.157437613739,     	1853,  	1993,  	141,   	
29,    	1.149839689792,     	0.008771556143,     	0.02201684677,      	1.142262228575,     	1994,  	2136,  	143,   	
30,    	1.134262827292,     	0.009277591798,     	0.023715904523,     	1.126235691362,     	2137,  	2274,  	138,   	
31,    	1.117997748004,     	0.009570591585,     	0.023433504611,     	1.109616070701,     	2275,  	2408,  	134,   	
32,    	1.101573770614,     	0.009292848498,     	0.022985572448,     	1.093453222057,     	2409,  	2553,  	145,   	
33,    	1.086748413257,     	0.007807029235,     	0.019668951374,     	1.079259302168,     	2554,  	2709,  	156,   	
34,    	1.071920222999,     	0.008503798767,     	0.017774286907,     	1.064545297882,     	2710,  	2874,  	165,   	
35,    	1.057310552888,     	0.008362776303,     	0.017024831,        	1.050083635879,     	2875,  	3048,  	174,   	
36,    	1.04300396604,      	0.00822613186,      	0.016333948909,     	1.035889504861,     	3049,  	3227,  	179,   	
37,    	1.028521389064,     	0.00854889833,      	0.016565064425,     	1.021132943197,     	3228,  	3404,  	177,   	
38,    	1.013197503689,     	0.009198537078,     	0.017383820084,     	1.005248241603,     	3405,  	3580,  	176,   	
39,    	0.997361182916,     	0.009099762432,     	0.017441235943,     	0.989496530642,     	3581,  	3754,  	174,   	
40,    	0.981999864707,     	0.008652481934,     	0.016534929871,     	0.97452056222,      	3755,  	3932,  	178,   	
41,    	0.967028055205,     	0.008648383043,     	0.017362681339,     	0.959551845421,     	3933,  	4121,  	189,   	
42,    	0.952150821429,     	0.008577619796,     	0.014790862593,     	0.94473525908,      	4122,  	4322,  	201,   	
43,    	0.937761372121,     	0.008169364393,     	0.014543058413,     	0.930697825064,     	4323,  	4533,  	211,   	
44,    	0.923617369396,     	0.008179196228,     	0.015725478853,     	0.916545003288,     	4534,  	4748,  	215,   	
45,    	0.909915803066,     	0.007651623388,     	0.015329528934,     	0.903216306596,     	4749,  	4969,  	221,   	
46,    	0.896759944298,     	0.00748988373,      	0.014949605191,     	0.890282262609,     	4970,  	5195,  	226,   	
47,    	0.883768439413,     	0.007596635152,     	0.011977571393,     	0.877198322081,     	5196,  	5426,  	231,   	
48,    	0.870364492682,     	0.007907300745,     	0.014503672745,     	0.863525804904,     	5427,  	5663,  	237,   	
49,    	0.857800567042,     	0.006746722706,     	0.014929163849,     	0.851923449313,     	5664,  	5906,  	243,   	
50,    	0.846184074823,     	0.00663942183,      	0.013392625553,     	0.840271978416,     	5907,  	6145,  	239,   	
51,    	0.834408426505,     	0.006775209407,     	0.015002829904,     	0.828241568935,     	6146,  	6377,  	232,   	
52,    	0.821351105558,     	0.007958846022,     	0.014814272779,     	0.81446701529,      	6378,  	6609,  	232,   	
53,    	0.808580786355,     	0.006810056741,     	0.014147119829,     	0.802495317684,     	6610,  	6844,  	235,   	
54,    	0.795187830927,     	0.008428422265,     	0.01394732062,      	0.787897615542,     	6845,  	7082,  	238,   	
55,    	0.781389504015,     	0.007509274865,     	0.014086846386,     	0.774893243258,     	7083,  	7324,  	242,   	
56,    	0.768509518611,     	0.00736962887,      	0.013751174686,     	0.762133767272,     	7325,  	7571,  	247,   	
57,    	0.75572438707,      	0.007394247908,     	0.013985198409,     	0.749327191893,     	7572,  	7822,  	251,   	
58,    	0.74197064657,      	0.008514749791,     	0.012410200919,     	0.73460492023,      	7823,  	8074,  	252,   	
59,    	0.728608261334,     	0.00694576576,      	0.01296737586,      	0.722598409112,     	8075,  	8333,  	259,   	
