This run aims to check if discrepancy is less than 0.0373
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.074471972751,     	0.0,                	0.99722310707,      	0.0,                	1.496255343819,     	1.0,                	0.010415118778,     	0.021214599789,     	0.021214599789,     	Normal,             	
1,     	0.071450304145,     	0.020998303813,     	0.99722310707,      	0.28583899402,      	1.496255343819,     	1.0,                	0.010051589699,     	0.022561315944,     	0.022561315944,     	Normal,             	
2,     	0.06188344605,      	0.041430831882,     	0.99722310707,      	0.589960068656,     	1.496255343819,     	1.0,                	0.010136744009,     	0.02167846615,      	0.02167846615,      	Normal,             	
3,     	0.047329641108,     	0.05749765037,      	0.99722310707,      	0.882093395728,     	1.496255343819,     	1.0,                	0.010653646097,     	0.018279763774,     	0.020726307845,     	cover cap,          	
4,     	0.029650156079,     	0.068315027409,     	0.99722310707,      	1.161309696148,     	1.496255343819,     	1.0,                	0.010543787621,     	0.022089536025,     	0.022089536025,     	Normal,             	
5,     	0.008306630513,     	0.074007260556,     	0.99722310707,      	1.459023380512,     	1.496255343819,     	1.0,                	0.010180688217,     	0.02195445961,      	0.02195445961,      	Normal,             	
6,     	-0.013633471937,    	0.073213408392,     	0.99722310707,      	1.754903119603,     	1.496255343819,     	1.0,                	0.010093980727,     	0.021933824712,     	0.021933824712,     	Normal,             	
7,     	-0.034370210052,    	0.066066355934,     	0.99722310707,      	2.050502718842,     	1.496255343819,     	1.0,                	0.010690318944,     	0.019089937778,     	0.020726307845,     	cover cap,          	
8,     	-0.051247156301,    	0.054035207934,     	0.99722310707,      	2.329719019262,     	1.496255343819,     	1.0,                	0.010506860161,     	0.021913016757,     	0.021913016757,     	Normal,             	
9,     	-0.064755244249,    	0.036780879104,     	0.99722310707,      	2.625036135132,     	1.496255343819,     	1.0,                	0.009930384688,     	0.021742504818,     	0.021742504818,     	Normal,             	
10,    	-0.072618789728,    	0.016510181823,     	0.99722310707,      	2.918038648436,     	1.496255343819,     	1.0,                	0.010010949921,     	0.022960502008,     	0.022960502008,     	Normal,             	
11,    	-0.074196802688,    	-0.006396029727,    	0.99722310707,      	3.227583648828,     	1.496255343819,     	1.0,                	0.01050042462,      	0.020631010332,     	0.020726307845,     	cover cap,          	
12,    	0.110057498373,     	0.0,                	0.993925222062,     	0.0,                	1.460515427194,     	1.0,                	0.013178946915,     	0.021063705213,     	0.021063705213,     	Normal,             	
13,    	0.108041826185,     	0.020967039441,     	0.993925222062,     	0.191681500255,     	1.460515427194,     	1.0,                	0.013147063397,     	0.022320063757,     	0.022320063757,     	Normal,             	
14,    	0.101589707787,     	0.042334196816,     	0.993925222062,     	0.394834329881,     	1.460515427194,     	1.0,                	0.012339189686,     	0.028292404021,     	0.028292404021,     	Normal,             	
15,    	0.087440399411,     	0.066834343709,     	0.993925222062,     	0.652616791318,     	1.460515427194,     	1.0,                	0.012540703023,     	0.028043179544,     	0.028043179544,     	Normal,             	
16,    	0.06771090528,      	0.086763392363,     	0.993925222062,     	0.908115986755,     	1.460515427194,     	1.0,                	0.013228970453,     	0.021327385778,     	0.021327385778,     	Normal,             	
17,    	0.049705305375,     	0.098193867251,     	0.993925222062,     	1.102204516266,     	1.460515427194,     	1.0,                	0.01250119494,      	0.02764877999,      	0.02764877999,      	Normal,             	
18,    	0.023663801088,     	0.10748338228,      	0.993925222062,     	1.354091109432,     	1.460515427194,     	1.0,                	0.013054573874,     	0.023658549025,     	0.023658549025,     	Normal,             	
19,    	0.00014569392,      	0.110057401939,     	0.993925222062,     	1.569472528191,     	1.460515427194,     	1.0,                	0.01272787961,      	0.023438800228,     	0.023438800228,     	Normal,             	
20,    	-0.023163125785,    	0.107592390772,     	0.993925222062,     	1.782845748746,     	1.460515427194,     	1.0,                	0.013114172175,     	0.022434501126,     	0.022434501126,     	Normal,             	
21,    	-0.044499679301,    	0.100659979586,     	0.993925222062,     	1.987043789811,     	1.460515427194,     	1.0,                	0.013138764857,     	0.02200898615,      	0.02200898615,      	Normal,             	
22,    	-0.063638707707,    	0.089792916366,     	0.993925222062,     	2.187355678805,     	1.460515427194,     	1.0,                	0.012428395325,     	0.026370160325,     	0.026370160325,     	Normal,             	
23,    	-0.083171707435,    	0.072077181067,     	0.993925222062,     	2.427536048803,     	1.460515427194,     	1.0,                	0.01310451372,      	0.023154238372,     	0.023154238372,     	Normal,             	
24,    	-0.096410765859,    	0.05308123185,      	0.993925222062,     	2.638309090535,     	1.460515427194,     	1.0,                	0.01231310572,      	0.028064414298,     	0.028064414298,     	Normal,             	
