Point's Coordinates for twisted_polar_coordinates_24

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.13034731061,      	0.006831213085,     	-0.991444861374,    	0.05235987756,      	-1.439896632895,    	1.0,                	
2,     	0.033782664431,     	0.126078620073,     	-0.991444861374,    	1.308996938996,     	-1.439896632895,    	1.0,                	
3,     	-0.109468475761,    	0.071089659375,     	-0.991444861374,    	2.565634000432,     	-1.439896632895,    	1.0,                	
4,     	-0.101437903148,    	-0.08214279433,     	-0.991444861374,    	3.822271061868,     	-1.439896632895,    	1.0,                	
5,     	0.046776403868,     	-0.121856698202,    	-0.991444861374,    	5.078908123303,     	-1.439896632895,    	1.0,                	
6,     	0.258525890911,     	0.012315106018,     	-0.965925826289,    	0.047599888691,     	-1.308996938996,    	1.0,                	
7,     	0.210827770073,     	0.15012977544,      	-0.965925826289,    	0.61879855298,      	-1.308996938996,    	1.0,                	
8,     	0.096193321874,     	0.240279301927,     	-0.965925826289,    	1.189997217269,     	-1.308996938996,    	1.0,                	
9,     	-0.04898182635,     	0.254141847784,     	-0.965925826289,    	1.761195881558,     	-1.308996938996,    	1.0,                	
10,    	-0.178605590797,    	0.187316152651,     	-0.965925826289,    	2.332394545847,     	-1.308996938996,    	1.0,                	
11,    	-0.251523342133,    	0.061018902563,     	-0.965925826289,    	2.903593210136,     	-1.308996938996,    	1.0,                	
12,    	-0.244584209521,    	-0.084651417949,    	-0.965925826289,    	3.474791874425,     	-1.308996938996,    	1.0,                	
13,    	-0.159991318535,    	-0.203445511381,    	-0.965925826289,    	4.045990538714,     	-1.308996938996,    	1.0,                	
14,    	-0.024602314359,    	-0.257647092427,    	-0.965925826289,    	4.617189203003,     	-1.308996938996,    	1.0,                	
15,    	0.118597750794,     	-0.230047542074,    	-0.965925826289,    	5.188387867292,     	-1.308996938996,    	1.0,                	
16,    	0.224143868042,     	-0.129409522551,    	-0.965925826289,    	5.759586531581,     	-1.308996938996,    	1.0,                	
17,    	0.382222473411,     	0.01877738603,      	-0.923879532511,    	0.049087385212,     	-1.178097245096,    	1.0,                	
18,    	0.345941725514,     	0.163618250679,     	-0.923879532511,    	0.441786466911,     	-1.178097245096,    	1.0,                	
19,    	0.256994485876,     	0.283549719866,     	-0.923879532511,    	0.83448554861,      	-1.178097245096,    	1.0,                	
20,    	0.128922165425,     	0.360313314587,     	-0.923879532511,    	1.227184630309,     	-1.178097245096,    	1.0,                	
21,    	-0.01877738603,     	0.382222473411,     	-0.923879532511,    	1.619883712007,     	-1.178097245096,    	1.0,                	
22,    	-0.163618250679,    	0.345941725514,     	-0.923879532511,    	2.012582793706,     	-1.178097245096,    	1.0,                	
23,    	-0.283549719866,    	0.256994485876,     	-0.923879532511,    	2.405281875405,     	-1.178097245096,    	1.0,                	
24,    	-0.360313314587,    	0.128922165425,     	-0.923879532511,    	2.797980957103,     	-1.178097245096,    	1.0,                	
25,    	-0.382222473411,    	-0.01877738603,     	-0.923879532511,    	3.190680038802,     	-1.178097245096,    	1.0,                	
26,    	-0.345941725514,    	-0.163618250679,    	-0.923879532511,    	3.583379120501,     	-1.178097245096,    	1.0,                	
27,    	-0.256994485876,    	-0.283549719866,    	-0.923879532511,    	3.9760782022,       	-1.178097245096,    	1.0,                	
28,    	-0.128922165425,    	-0.360313314587,    	-0.923879532511,    	4.368777283898,     	-1.178097245096,    	1.0,                	
29,    	0.01877738603,      	-0.382222473411,    	-0.923879532511,    	4.761476365597,     	-1.178097245096,    	1.0,                	
30,    	0.163618250679,     	-0.345941725514,    	-0.923879532511,    	5.154175447296,     	-1.178097245096,    	1.0,                	
31,    	0.283549719866,     	-0.256994485876,    	-0.923879532511,    	5.546874528994,     	-1.178097245096,    	1.0,                	
32,    	0.360313314587,     	-0.128922165425,    	-0.923879532511,    	5.939573610693,     	-1.178097245096,    	1.0,                	
33,    	0.499378460609,     	0.02492294283,      	-0.866025403784,    	0.049866550057,     	-1.047197551197,    	1.0,                	
34,    	0.469846310393,     	0.171010071663,     	-0.866025403784,    	0.349065850399,     	-1.047197551197,    	1.0,                	
35,    	0.398566253611,     	0.301902205163,     	-0.866025403784,    	0.648265150741,     	-1.047197551197,    	1.0,                	
36,    	0.291871836117,     	0.405969002858,     	-0.866025403784,    	0.947464451083,     	-1.047197551197,    	1.0,                	
37,    	0.159243325126,     	0.473963673084,     	-0.866025403784,    	1.246663751425,     	-1.047197551197,    	1.0,                	
38,    	0.012465345869,     	0.499844591,        	-0.866025403784,    	1.545863051766,     	-1.047197551197,    	1.0,                	
39,    	-0.135420234072,    	0.481312123475,     	-0.866025403784,    	1.845062352108,     	-1.047197551197,    	1.0,                	
40,    	-0.271273131933,    	0.420012961575,     	-0.866025403784,    	2.14426165245,      	-1.047197551197,    	1.0,                	
41,    	-0.383022221559,    	0.321393804843,     	-0.866025403784,    	2.443460952792,     	-1.047197551197,    	1.0,                	
42,    	-0.460738105935,    	0.194217398137,     	-0.866025403784,    	2.742660253134,     	-1.047197551197,    	1.0,                	
43,    	-0.497515387683,    	0.049783923298,     	-0.866025403784,    	3.041859553476,     	-1.047197551197,    	1.0,                	
44,    	-0.490086243924,    	-0.0990730716,      	-0.866025403784,    	3.341058853818,     	-1.047197551197,    	1.0,                	
45,    	-0.439110786685,    	-0.239126989311,    	-0.866025403784,    	3.64025815416,      	-1.047197551197,    	1.0,                	
46,    	-0.349118409043,    	-0.35793342463,     	-0.866025403784,    	3.939457454501,     	-1.047197551197,    	1.0,                	
47,    	-0.228105328677,    	-0.444935904406,    	-0.866025403784,    	4.238656754843,     	-1.047197551197,    	1.0,                	
48,    	-0.086824088833,    	-0.492403876506,    	-0.866025403784,    	4.537856055185,     	-1.047197551197,    	1.0,                	
49,    	0.062171852324,     	-0.4961196033,      	-0.866025403784,    	4.837055355527,     	-1.047197551197,    	1.0,                	
50,    	0.205643551565,     	-0.455752926156,    	-0.866025403784,    	5.136254655869,     	-1.047197551197,    	1.0,                	
51,    	0.330842918798,     	-0.374890601484,    	-0.866025403784,    	5.435453956211,     	-1.047197551197,    	1.0,                	
52,    	0.426645440816,     	-0.26071760169,     	-0.866025403784,    	5.734653256553,     	-1.047197551197,    	1.0,                	
53,    	0.484538643115,     	-0.123378698845,    	-0.866025403784,    	6.033852556895,     	-1.047197551197,    	1.0,                	
54,    	0.607927142628,     	0.031860111511,     	-0.793353340291,    	0.05235987756,      	-0.916297857297,    	1.0,                	
