number	direction_ind	# of covercap	
0	17	5	
1	21	5	
2	40	2	
3	162	2	
4	166	2	
5	181	2	
6	187	2	
7	189	2	
8	195	2	
9	201	2	
10	238	2	
11	244	2	
12	245	2	
13	246	2	
14	248	2	
15	263	2	
16	273	2	
17	274	2	
18	278	2	
19	283	2	
20	285	2	
21	286	2	
22	293	2	
23	302	2	
24	433	2	
25	439	2	
26	440	2	
27	449	2	
28	461	2	
29	463	2	
30	472	2	
31	526	2	
32	550	2	
33	558	2	
34	594	2	
35	628	2	
36	634	2	
37	645	2	
38	652	2	
39	658	2	
40	690	2	
41	692	2	
42	695	2	
43	718	2	
44	719	2	
45	720	2	
46	723	2	
47	726	2	
48	747	2	
49	765	2	
50	778	2	
51	781	2	
52	782	2	
53	783	2	
54	794	2	
55	796	2	
56	798	2	
57	842	2	
58	881	2	
59	882	2	
60	884	2	
61	890	2	
62	967	2	
63	968	2	
64	969	2	
65	971	2	
66	972	2	
67	1061	2	
68	1064	2	
69	1271	2	
70	1274	2	
71	1275	2	
72	1280	2	
73	1281	2	
74	1300	2	
75	1302	2	
76	1312	2	
77	1317	2	
78	1338	2	
79	1346	2	
80	1357	2	
81	1361	2	
82	1450	2	
83	1536	2	
84	1539	2	
85	1550	2	
86	1553	2	
87	1556	2	
88	1569	2	
89	1572	2	
90	1615	2	
91	1670	2	
92	1676	2	
93	1681	2	
94	1686	2	
95	1689	2	
96	1694	2	
97	1820	2	
98	1825	2	
99	1828	2	
100	1830	2	
101	1910	2	
102	1934	2	
103	1945	2	
104	1946	2	
105	1947	2	
106	1948	2	
107	1949	2	
108	1952	2	
109	1954	2	
110	1972	2	
111	2074	2	
112	2081	2	
113	2083	2	
114	2088	2	
115	2102	2	
116	2119	2	
117	2123	2	
118	2124	2	
119	2125	2	
120	2188	2	
121	2200	2	
122	2212	2	
123	2214	2	
124	2220	2	
125	2223	2	
126	2224	2	
127	2225	2	
128	2226	2	
129	2227	2	
130	2228	2	
131	2229	2	
132	2230	2	
133	2231	2	
134	2232	2	
135	2233	2	
136	2248	2	
137	2271	2	
138	2276	2	
139	2277	2	
140	2278	2	
141	2279	2	
142	2280	2	
143	2281	2	
144	2282	2	
145	2285	2	
146	2286	2	
147	2293	2	
148	2296	2	
149	2299	2	
150	2305	2	
151	2307	2	
152	2320	2	
153	2368	2	
154	2370	2	
155	2371	2	
156	2372	2	
157	2373	2	
158	2374	2	
159	2381	2	
160	2427	2	
161	2428	2	
162	2429	2	
163	2432	2	
164	2512	2	
165	2514	2	
166	2576	2	
167	2578	2	
168	2649	2	
169	2664	2	
170	2734	2	
171	2737	2	
172	2738	2	
173	2739	2	
174	2751	2	
175	2803	2	
176	2805	2	
177	2810	2	
178	2812	2	
179	2814	2	
180	2815	2	
181	2817	2	
182	2820	2	
183	2821	2	
184	2823	2	
185	2824	2	
186	2836	2	
187	2884	2	
188	2899	2	
189	2900	2	
190	2903	2	
191	2904	2	
192	2905	2	
193	2906	2	
194	2909	2	
195	2911	2	
196	2912	2	
197	2913	2	
198	2914	2	
199	2916	2	
200	2918	2	
201	2921	2	
202	2923	2	
203	2925	2	
204	2927	2	
205	2980	2	
206	2981	2	
207	2982	2	
208	3063	2	
209	3064	2	
210	3065	2	
211	3132	2	
212	3137	2	
213	3142	2	
214	3228	2	
215	3233	2	
216	3264	2	
217	3268	2	
218	3295	2	
219	3296	2	
220	3298	2	
221	3301	2	
222	3302	2	
223	3304	2	
224	3396	2	
225	3399	2	
226	3401	2	
227	3402	2	
228	3403	2	
229	3426	2	
230	3436	2	
231	3453	2	
232	3470	2	
233	3473	3	
234	3474	2	
235	3476	2	
236	3477	2	
237	3541	2	
238	3566	2	
239	3569	2	
240	3570	2	
241	3573	2	
242	3577	2	
243	3579	2	
244	3583	2	
245	3587	2	
246	3591	2	
247	3613	2	
248	3629	2	
249	3643	2	
250	3645	2	
251	3646	2	
252	3647	2	
253	3650	2	
254	3719	2	
255	3738	2	
256	3741	2	
257	3742	2	
258	3745	2	
259	3771	2	
260	3805	2	
261	3813	2	
262	3915	2	
263	3927	2	
264	3949	2	
265	3953	2	
266	3968	2	
267	3982	2	
268	3983	2	
269	3984	2	
270	4067	2	
271	4087	2	
272	4089	2	
273	4090	2	
274	4119	2	
275	4124	2	
276	4127	2	
277	4130	2	
278	4131	2	
279	4154	2	
280	4158	2	
281	4159	2	
282	4160	2	
283	4179	2	
284	4272	2	
285	4273	2	
286	4277	2	
287	4292	2	
288	4304	2	
289	4312	2	
290	4315	2	
291	4336	2	
292	4340	2	
293	4368	2	
294	4375	2	
295	4402	2	
296	4404	2	
297	4447	2	
298	4458	2	
299	4461	2	
300	4466	2	
301	4485	2	
302	4501	2	
303	4503	2	
304	4505	2	
305	4507	2	
306	4511	2	
307	4527	2	
308	4601	2	
309	4604	2	
310	4642	2	
311	4665	2	
312	4667	2	
313	4669	2	
314	4671	2	
315	4677	2	
316	4678	2	
317	4679	2	
318	4687	2	
319	4694	2	
320	4702	2	
321	4705	2	
322	4777	2	
323	4785	2	
324	4822	2	
325	4823	2	
326	4824	2	
327	4825	2	
328	4827	2	
329	4842	2	
330	4843	2	
331	4874	2	
332	4888	2	
333	5075	2	
334	5077	2	
335	5205	2	
336	5208	2	
337	5398	2	
338	5447	2	
339	5448	2	
340	5452	2	
341	5453	2	
342	5460	2	
343	5462	2	
344	5464	2	
345	5579	2	
346	5589	2	
347	5592	2	
348	5603	2	
349	5647	2	
350	5650	2	
351	5653	2	
352	5655	2	
353	5662	2	
354	5673	2	
355	5789	2	
356	5792	2	
357	5794	2	
358	5795	2	
359	5815	2	
360	5849	2	
361	5995	2	
362	6038	2	
363	6042	2	
364	6049	2	
365	6050	2	
366	6057	2	
367	6063	2	
368	6078	2	
369	6079	2	
370	6088	2	
371	6100	2	
372	6152	2	
373	6169	2	
374	6172	2	
375	6193	2	
376	6194	2	
377	6208	2	
378	6239	2	
379	6273	2	
380	6297	2	
381	6298	2	
382	6300	2	
383	6348	2	
384	6384	2	
385	6447	2	
386	6494	2	
387	6560	2	
388	6566	2	
389	6661	2	
390	6704	2	
391	6728	2	
392	6771	2	
393	6815	2	
394	6857	2	
395	6870	2	
396	6889	2	
397	6892	2	
398	6896	2	
399	6902	2	
400	6914	2	
401	6915	2	
402	6994	2	
403	6998	2	
404	7002	2	
405	7009	2	
406	7017	2	
407	7018	2	
408	7027	2	
409	7037	2	
410	7301	2	
411	7310	2	
412	7315	2	
413	7319	2	
414	7328	2	
415	7331	2	
416	7338	2	
417	7426	2	
418	7431	2	
419	7499	2	
420	7504	2	
421	7535	2	
422	7540	2	
423	7542	2	
424	7543	2	
425	7545	2	
426	7546	2	
427	7550	2	
428	7555	2	
429	7562	2	
430	7563	2	
431	7615	2	
432	7618	2	
433	7625	2	
434	7627	2	
435	7632	2	
436	7664	2	
437	7669	2	
438	7674	2	
439	7788	2	
440	7822	2	
441	7834	2	
442	7839	2	
443	7841	2	
444	7844	2	
445	7856	2	
446	7910	2	
447	7911	2	
448	7922	2	
449	7924	2	
450	7958	2	
451	7974	2	
452	7983	2	
453	7995	2	
454	7998	2	
455	8018	2	
456	8030	2	
457	8034	2	
458	8054	2	
459	8093	2	
460	8124	2	
461	8297	2	
462	8358	2	
463	8400	2	
464	8402	2	
465	8416	2	
466	8417	2	
467	8426	2	
468	8430	2	
469	8444	2	
470	8459	2	
471	8473	2	
472	8516	2	
473	8558	2	
474	8563	2	
475	8567	2	
476	8570	2	
477	8602	2	
478	8631	2	
479	8633	2	
480	8635	2	
481	8638	2	
482	8642	2	
483	8645	2	
484	8646	2	
485	8655	2	
486	8658	2	
487	8663	2	
488	8665	2	
489	8668	2	
490	8670	2	
491	8734	2	
492	8741	2	
493	8744	2	
494	8840	2	
495	8845	2	
496	8846	2	
497	8848	2	
498	8853	2	
499	8855	2	
500	8856	2	
501	8857	2	
502	8859	2	
503	8860	2	
504	8864	2	
505	8865	2	
506	8867	2	
507	8875	2	
508	8877	2	
509	8878	2	
510	8880	2	
511	8961	2	
512	8985	2	
513	9055	2	
514	9059	2	
515	9064	2	
516	9065	2	
517	9067	2	
518	9070	2	
519	9071	2	
520	9072	2	
521	9073	2	
522	9074	2	
523	9075	2	
524	9076	3	
525	9077	2	
526	9080	2	
527	9085	2	
528	9086	2	
529	9094	2	
530	9095	2	
531	9139	2	
532	9172	2	
533	9290	2	
534	9295	2	
535	9297	2	
536	9298	4	
537	9299	3	
538	9300	3	
539	9301	2	
540	9305	2	
541	9514	2	
542	9515	2	
543	9517	3	
544	9518	5	
545	9519	6	
546	9521	4	
547	9528	2	
548	9734	2	
549	9737	3	
550	9738	3	
551	9739	5	
552	9740	9	
553	9741	9	
554	9742	7	
555	9743	5	
556	9744	6	
557	9745	5	
558	9746	5	
559	9747	4	
560	9748	5	
561	9749	4	
562	9750	4	
563	9751	2	
564	9753	3	
565	9756	2	
566	9759	2	
567	9855	2	
568	9874	2	
569	9905	2	
570	9983	2	
571	9984	2	
572	9987	2	
573	9988	2	
574	9991	2	
575	9992	2	
576	9994	2	
577	9995	2	
578	9996	2	
579	9997	3	
580	9999	2	
581	10000	2	
582	10001	4	
583	10002	4	
584	10003	4	
585	10004	6	
586	10005	10	
587	10006	10	
