number	direction_ind	# of covercap	
0	56	2	
1	59	3	
2	85	2	
3	122	2	
4	133	2	
5	164	2	
6	171	2	
7	185	2	
8	197	3	
9	209	2	
10	216	2	
11	218	2	
12	219	2	
13	221	2	
14	235	3	
15	254	2	
16	265	2	
17	283	2	
18	285	2	
19	299	2	
20	301	3	
21	348	2	
22	369	3	
23	397	2	
24	423	2	
25	428	2	
26	431	3	
27	442	2	
28	444	2	
29	448	2	
30	452	2	
31	454	2	
32	456	2	
33	471	2	
34	477	2	
35	482	2	
36	486	2	
37	509	2	
38	517	2	
39	519	2	
40	520	2	
41	524	2	
42	527	2	
43	530	2	
44	533	2	
45	536	2	
46	540	2	
47	550	2	
48	556	2	
49	562	2	
50	581	2	
51	583	2	
52	584	2	
53	585	2	
54	588	2	
55	596	2	
56	597	2	
57	603	3	
58	625	2	
59	648	2	
60	649	2	
61	650	2	
62	651	2	
63	652	3	
64	653	4	
65	663	2	
66	668	2	
67	678	2	
68	681	2	
69	682	3	
70	684	3	
71	685	2	
72	686	2	
73	691	2	
74	703	2	
75	709	2	
76	712	2	
77	716	2	
78	729	3	
79	730	6	
80	753	2	
81	767	2	
82	795	2	
83	796	3	
84	810	4	
85	811	2	
86	843	2	
87	844	2	
88	849	2	
89	869	2	
90	872	3	
91	873	2	
92	874	2	
93	876	2	
94	885	2	
95	888	4	
96	920	2	
97	926	2	
98	927	2	
99	938	2	
100	944	2	
101	945	3	
102	956	2	
103	963	2	
104	966	2	
105	990	2	
106	1014	2	
107	1015	2	
108	1024	2	
109	1025	2	
110	1031	2	
111	1041	2	
112	1046	3	
113	1047	2	
114	1050	2	
115	1054	2	
116	1071	2	
117	1072	3	
118	1078	2	
119	1079	2	
120	1100	2	
121	1101	2	
122	1103	2	
123	1105	2	
124	1107	2	
125	1108	2	
126	1123	2	
127	1132	3	
128	1133	3	
129	1135	2	
130	1139	2	
131	1142	2	
132	1146	2	
133	1150	2	
134	1159	2	
135	1182	2	
136	1183	3	
137	1187	2	
138	1189	2	
139	1190	2	
140	1203	3	
141	1220	2	
142	1248	2	
143	1250	2	
144	1274	2	
145	1275	2	
146	1312	2	
147	1337	2	
148	1339	2	
149	1341	3	
150	1342	5	
151	1345	2	
152	1347	2	
153	1370	2	
154	1382	2	
155	1389	2	
156	1394	2	
157	1402	2	
158	1404	2	
159	1432	2	
160	1433	2	
161	1434	3	
162	1437	3	
163	1440	2	
164	1444	2	
165	1447	3	
166	1449	3	
167	1450	4	
168	1452	5	
169	1453	3	
170	1458	2	
171	1459	2	
172	1473	2	
173	1482	2	
174	1485	2	
175	1501	2	
176	1534	2	
177	1540	2	
178	1541	3	
179	1550	2	
180	1552	3	
181	1553	2	
182	1557	5	
183	1558	3	
184	1559	2	
185	1560	2	
186	1561	2	
187	1563	2	
188	1568	2	
189	1569	2	
190	1577	2	
191	1592	2	
192	1605	2	
193	1609	2	
194	1629	2	
195	1637	2	
196	1638	2	
197	1639	3	
198	1641	3	
199	1644	2	
200	1647	2	
201	1648	2	
202	1650	2	
203	1657	3	
204	1659	2	
205	1663	2	
206	1664	3	
207	1665	2	
208	1666	3	
209	1670	2	
210	1671	2	
211	1683	2	
212	1698	2	
213	1716	2	
214	1741	2	
215	1743	4	
216	1749	2	
217	1764	2	
218	1765	2	
219	1809	2	
220	1823	2	
221	1824	3	
222	1825	2	
223	1835	2	
224	1843	2	
225	1844	4	
226	1848	2	
227	1851	2	
228	1863	2	
229	1867	2	
230	1873	3	
231	1883	2	
232	1889	2	
233	1904	2	
234	1905	3	
235	1923	2	
236	1942	4	
237	1943	2	
238	1946	2	
239	1947	2	
240	1948	2	
241	1949	2	
242	1950	2	
243	1955	2	
244	1973	3	
245	1974	3	
246	1976	2	
247	1977	2	
248	1981	2	
249	1986	2	
250	1995	2	
251	1998	2	
252	1999	3	
253	2000	2	
254	2012	2	
255	2015	3	
256	2029	2	
257	2037	2	
258	2049	2	
259	2052	2	
260	2055	2	
261	2056	2	
262	2060	2	
263	2080	3	
264	2089	2	
265	2100	2	
266	2101	2	
267	2102	2	
268	2110	2	
269	2111	2	
270	2114	2	
271	2119	2	
272	2126	2	
273	2151	2	
274	2152	3	
275	2200	2	
276	2208	2	
277	2216	2	
278	2217	2	
279	2221	4	
280	2225	2	
281	2226	3	
282	2236	2	
283	2242	2	
284	2244	2	
285	2248	2	
286	2249	2	
287	2250	2	
288	2276	2	
289	2294	2	
290	2316	6	
291	2317	9	
292	2318	2	
293	2321	7	
294	2322	8	
295	2323	6	
296	2324	2	
297	2325	3	
298	2327	3	
299	2332	2	
300	2333	2	
301	2339	3	
302	2346	2	
303	2347	2	
304	2354	2	
305	2356	4	
306	2357	5	
307	2358	3	
308	2382	2	
309	2387	3	
310	2388	2	
311	2397	2	
312	2425	2	
313	2426	4	
314	2430	9	
315	2431	9	
316	2433	2	
317	2435	4	
318	2441	2	
319	2443	2	
320	2447	3	
321	2450	2	
