Point's Coordinates for twisted_polar_coordinates_16

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.194488923661,     	0.015306610251,     	-0.980785280403,    	0.07853981634,      	-1.374446785946,    	1.0,                	
2,     	0.045542931208,     	0.189699960889,     	-0.980785280403,    	1.335176877776,     	-1.374446785946,    	1.0,                	
3,     	-0.166341844228,    	0.101934413243,     	-0.980785280403,    	2.591813939212,     	-1.374446785946,    	1.0,                	
4,     	-0.148347844692,    	-0.126701028881,    	-0.980785280403,    	3.848451000647,     	-1.374446785946,    	1.0,                	
5,     	0.07465783405,      	-0.180239955502,    	-0.980785280403,    	5.105088062083,     	-1.374446785946,    	1.0,                	
6,     	0.381708398839,     	0.027300323489,     	-0.923879532511,    	0.071399833036,     	-1.178097245096,    	1.0,                	
7,     	0.306353869827,     	0.22933363436,      	-0.923879532511,    	0.642598497325,     	-1.178097245096,    	1.0,                	
8,     	0.133734151738,     	0.358555136716,     	-0.923879532511,    	1.213797161614,     	-1.178097245096,    	1.0,                	
9,     	-0.081345214608,    	0.373937916595,     	-0.923879532511,    	1.784995825903,     	-1.178097245096,    	1.0,                	
10,    	-0.270598050073,    	0.270598050073,     	-0.923879532511,    	2.356194490192,     	-1.178097245096,    	1.0,                	
11,    	-0.373937916595,    	0.081345214608,     	-0.923879532511,    	2.927393154481,     	-1.178097245096,    	1.0,                	
12,    	-0.358555136716,    	-0.133734151738,    	-0.923879532511,    	3.49859181877,      	-1.178097245096,    	1.0,                	
13,    	-0.22933363436,     	-0.306353869827,    	-0.923879532511,    	4.06979048306,      	-1.178097245096,    	1.0,                	
14,    	-0.027300323489,    	-0.381708398839,    	-0.923879532511,    	4.640989147349,     	-1.178097245096,    	1.0,                	
15,    	0.183400647196,     	-0.335873208242,    	-0.923879532511,    	5.212187811638,     	-1.178097245096,    	1.0,                	
16,    	0.335873208242,     	-0.183400647196,    	-0.923879532511,    	5.783386475927,     	-1.178097245096,    	1.0,                	
17,    	0.553857595403,     	0.043589538096,     	-0.831469612303,    	0.07853981634,      	-0.981747704247,    	1.0,                	
18,    	0.488244628063,     	0.265095203625,     	-0.831469612303,    	0.497418836818,     	-0.981747704247,    	1.0,                	
