Point's Coordinates for twisted_polar_coordinates_61

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	
54,    	0.197311055122,     	-0.053943445229,    	-0.978855685095,    	6.016313800094,     	-1.36479025115,     	1.0,                	
55,    	0.254624791651,     	0.004857464509,     	-0.967027724791,    	0.019074636634,     	-1.313288732238,    	1.0,                	
56,    	0.246641139031,     	0.063447048964,     	-0.967027724791,    	0.251785203566,     	-1.313288732238,    	1.0,                	
57,    	0.225360998766,     	0.118616186586,     	-0.967027724791,    	0.484495770499,     	-1.313288732238,    	1.0,                	
58,    	0.191931588724,     	0.167390694887,     	-0.967027724791,    	0.717206337432,     	-1.313288732238,    	1.0,                	
59,    	0.148155097054,     	0.207141127499,     	-0.967027724791,    	0.949916904364,     	-1.313288732238,    	1.0,                	
60,    	0.096391525754,     	0.235724528312,     	-0.967027724791,    	1.182627471297,     	-1.313288732238,    	1.0,                	
61,    	0.03943146235,      	0.251599958787,     	-0.967027724791,    	1.415338038229,     	-1.313288732238,    	1.0,                	
62,    	-0.019654361395,    	0.253911570361,     	-0.967027724791,    	1.648048605162,     	-1.313288732238,    	1.0,                	
63,    	-0.07768061343,     	0.242534743453,     	-0.967027724791,    	1.880759172094,     	-1.313288732238,    	1.0,                	
64,    	-0.131519083489,    	0.218082805749,     	-0.967027724791,    	2.113469739027,     	-1.313288732238,    	1.0,                	
65,    	-0.178267325714,    	0.181873967538,     	-0.967027724791,    	2.34618030596,      	-1.313288732238,    	1.0,                	
66,    	-0.215405130267,    	0.13586025666,      	-0.967027724791,    	2.578890872892,     	-1.313288732238,    	1.0,                	
67,    	-0.240930388491,    	0.08252228418,      	-0.967027724791,    	2.811601439825,     	-1.313288732238,    	1.0,                	
68,    	-0.25346702711,     	0.024735513999,     	-0.967027724791,    	3.044312006757,     	-1.313288732238,    	1.0,                	
69,    	-0.25233919269,     	-0.034384754143,    	-0.967027724791,    	3.27702257369,      	-1.313288732238,    	1.0,                	
70,    	-0.237607687076,    	-0.09165133129,     	-0.967027724791,    	3.509733140622,     	-1.313288732238,    	1.0,                	
71,    	-0.21006668955,     	-0.143976961444,    	-0.967027724791,    	3.742443707555,     	-1.313288732238,    	1.0,                	
72,    	-0.171200942416,    	-0.188540756339,    	-0.967027724791,    	3.975154274488,     	-1.313288732238,    	1.0,                	
73,    	-0.123105708163,    	-0.222940270258,    	-0.967027724791,    	4.20786484142,      	-1.313288732238,    	1.0,                	
74,    	-0.068373813318,    	-0.245321016501,    	-0.967027724791,    	4.440575408353,     	-1.313288732238,    	1.0,                	
75,    	-0.009955868499,    	-0.254476443246,    	-0.967027724791,    	4.673285975285,     	-1.313288732238,    	1.0,                	
76,    	0.048998799768,     	-0.249912979067,    	-0.967027724791,    	4.905996542218,     	-1.313288732238,    	1.0,                	
77,    	0.105311930056,     	-0.231876641499,    	-0.967027724791,    	5.138707109151,     	-1.313288732238,    	1.0,                	
78,    	0.155947666936,     	-0.201339774168,    	-0.967027724791,    	5.371417676083,     	-1.313288732238,    	1.0,                	
79,    	0.198176224726,     	-0.159948627498,    	-0.967027724791,    	5.604128243016,     	-1.313288732238,    	1.0,                	
80,    	0.229721050945,     	-0.109934608917,    	-0.967027724791,    	5.836838809948,     	-1.313288732238,    	1.0,                	
81,    	0.248881555846,     	-0.053993987115,    	-0.967027724791,    	6.069549376881,     	-1.313288732238,    	1.0,                	
82,    	0.304058117487,     	0.005873025804,     	-0.952635380803,    	0.019313069592,     	-1.261787213327,    	1.0,                	
83,    	0.297069955523,     	0.065078973312,     	-0.952635380803,    	0.215662610441,     	-1.261787213327,    	1.0,                	
84,    	0.278665561767,     	0.121783972372,     	-0.952635380803,    	0.41201215129,      	-1.261787213327,    	1.0,                	
85,    	0.24955220675,      	0.173808881671,     	-0.952635380803,    	0.60836169214,      	-1.261787213327,    	1.0,                	
86,    	0.210848700378,     	0.219154413121,     	-0.952635380803,    	0.804711232989,     	-1.261787213327,    	1.0,                	
87,    	0.164042396696,     	0.256077963378,     	-0.952635380803,    	1.001060773839,     	-1.261787213327,    	1.0,                	
88,    	0.110932035704,     	0.283160581113,     	-0.952635380803,    	1.197410314688,     	-1.261787213327,    	1.0,                	
89,    	0.053558618793,     	0.299361496513,     	-0.952635380803,    	1.393759855537,     	-1.261787213327,    	1.0,                	
90,    	-0.005873025804,    	0.304058117487,     	-0.952635380803,    	1.590109396387,     	-1.261787213327,    	1.0,                	
91,    	-0.065078973312,    	0.297069955523,     	-0.952635380803,    	1.786458937236,     	-1.261787213327,    	1.0,                	
92,    	-0.121783972372,    	0.278665561767,     	-0.952635380803,    	1.982808478085,     	-1.261787213327,    	1.0,                	
93,    	-0.173808881671,    	0.24955220675,      	-0.952635380803,    	2.179158018935,     	-1.261787213327,    	1.0,                	
94,    	-0.219154413121,    	0.210848700378,     	-0.952635380803,    	2.375507559784,     	-1.261787213327,    	1.0,                	
95,    	-0.256077963378,    	0.164042396696,     	-0.952635380803,    	2.571857100633,     	-1.261787213327,    	1.0,                	
96,    	-0.283160581113,    	0.110932035704,     	-0.952635380803,    	2.768206641483,     	-1.261787213327,    	1.0,                	
97,    	-0.299361496513,    	0.053558618793,     	-0.952635380803,    	2.964556182332,     	-1.261787213327,    	1.0,                	
98,    	-0.304058117487,    	-0.005873025804,    	-0.952635380803,    	3.160905723182,     	-1.261787213327,    	1.0,                	
99,    	-0.297069955523,    	-0.065078973312,    	-0.952635380803,    	3.357255264031,     	-1.261787213327,    	1.0,                	
100,   	-0.278665561767,    	-0.121783972372,    	-0.952635380803,    	3.55360480488,      	-1.261787213327,    	1.0,                	
101,   	-0.24955220675,     	-0.173808881671,    	-0.952635380803,    	3.74995434573,      	-1.261787213327,    	1.0,                	
102,   	-0.210848700378,    	-0.219154413121,    	-0.952635380803,    	3.946303886579,     	-1.261787213327,    	1.0,                	
103,   	-0.164042396696,    	-0.256077963378,    	-0.952635380803,    	4.142653427428,     	-1.261787213327,    	1.0,                	
104,   	-0.110932035704,    	-0.283160581113,    	-0.952635380803,    	4.339002968278,     	-1.261787213327,    	1.0,                	
105,   	-0.053558618793,    	-0.299361496513,    	-0.952635380803,    	4.535352509127,     	-1.261787213327,    	1.0,                	
106,   	0.005873025804,     	-0.304058117487,    	-0.952635380803,    	4.731702049976,     	-1.261787213327,    	1.0,                	
107,   	0.065078973312,     	-0.297069955523,    	-0.952635380803,    	4.928051590826,     	-1.261787213327,    	1.0,                	
108,   	0.121783972372,     	-0.278665561767,    	-0.952635380803,    	5.124401131675,     	-1.261787213327,    	1.0,                	
109,   	0.173808881671,     	-0.24955220675,     	-0.952635380803,    	5.320750672525,     	-1.261787213327,    	1.0,                	
110,   	0.219154413121,     	-0.210848700378,    	-0.952635380803,    	5.517100213374,     	-1.261787213327,    	1.0,                	
111,   	0.256077963378,     	-0.164042396696,    	-0.952635380803,    	5.713449754223,     	-1.261787213327,    	1.0,                	
112,   	0.283160581113,     	-0.110932035704,    	-0.952635380803,    	5.909799295073,     	-1.261787213327,    	1.0,                	
113,   	0.299361496513,     	-0.053558618793,    	-0.952635380803,    	6.106148835922,     	-1.261787213327,    	1.0,                	
114,   	0.35268511065,      	0.006873666442,     	-0.93571681904,     	0.01948706121,      	-1.210285694416,    	1.0,                	
115,   	0.346450401132,     	0.066378868023,     	-0.93571681904,     	0.189302880323,     	-1.210285694416,    	1.0,                	
116,   	0.330248944354,     	0.123974470427,     	-0.93571681904,     	0.359118699436,     	-1.210285694416,    	1.0,                	
117,   	0.30454682673,      	0.178003553036,     	-0.93571681904,     	0.528934518549,     	-1.210285694416,    	1.0,                	
118,   	0.270083451388,     	0.226911797514,     	-0.93571681904,     	0.698750337662,     	-1.210285694416,    	1.0,                	
119,   	0.227850266889,     	0.269292202716,     	-0.93571681904,     	0.868566156774,     	-1.210285694416,    	1.0,                	
120,   	0.179062245057,     	0.303925561544,     	-0.93571681904,     	1.038381975887,     	-1.210285694416,    	1.0,                	
121,   	0.125122928453,     	0.329815535322,     	-0.93571681904,     	1.208197795,        	-1.210285694416,    	1.0,                	
122,   	0.067584053009,     	0.346217316643,     	-0.93571681904,     	1.378013614113,     	-1.210285694416,    	1.0,                	
123,   	0.008100907409,     	0.352659056121,     	-0.93571681904,     	1.547829433226,     	-1.210285694416,    	1.0,                	
124,   	-0.051615286548,    	0.348955436638,     	-0.93571681904,     	1.717645252339,     	-1.210285694416,    	1.0,                	
125,   	-0.109846602687,    	0.335213004585,     	-0.93571681904,     	1.887461071452,     	-1.210285694416,    	1.0,                	
126,   	-0.164917832063,    	0.311827104711,     	-0.93571681904,     	2.057276890565,     	-1.210285694416,    	1.0,                	
127,   	-0.215244675676,    	0.279470506776,     	-0.93571681904,     	2.227092709678,     	-1.210285694416,    	1.0,                	
128,   	-0.259379321865,    	0.239074051193,     	-0.93571681904,     	2.396908528791,     	-1.210285694416,    	1.0,                	
129,   	-0.296052097214,    	0.191799870437,     	-0.93571681904,     	2.566724347904,     	-1.210285694416,    	1.0,                	
130,   	-0.324207992748,    	0.139007956618,     	-0.93571681904,     	2.736540167017,     	-1.210285694416,    	1.0,                	
131,   	-0.343037014614,    	0.082217036978,     	-0.93571681904,     	2.90635598613,      	-1.210285694416,    	1.0,                	
132,   	-0.351997486135,    	0.023060882877,     	-0.93571681904,     	3.076171805243,     	-1.210285694416,    	1.0,                	
133,   	-0.350831630861,    	-0.036758690838,    	-0.93571681904,     	3.245987624356,     	-1.210285694416,    	1.0,                	
134,   	-0.339572988324,    	-0.095520783944,    	-0.93571681904,     	3.415803443469,     	-1.210285694416,    	1.0,                	
135,   	-0.318545449173,    	-0.15153491801,     	-0.93571681904,     	3.585619262582,     	-1.210285694416,    	1.0,                	
136,   	-0.288353937422,    	-0.203189668384,    	-0.93571681904,     	3.755435081695,     	-1.210285694416,    	1.0,                	
137,   	-0.249867007897,    	-0.248999021944,    	-0.93571681904,     	3.925250900808,     	-1.210285694416,    	1.0,                	
138,   	-0.204191859486,    	-0.287645126995,    	-0.93571681904,     	4.095066719921,     	-1.210285694416,    	1.0,                	
139,   	-0.152642483049,    	-0.318016205457,    	-0.93571681904,     	4.264882539034,     	-1.210285694416,    	1.0,                	
140,   	-0.096701860291,    	-0.339238536698,    	-0.93571681904,     	4.434698358147,     	-1.210285694416,    	1.0,                	
141,   	-0.037979301076,    	-0.350701592888,    	-0.93571681904,     	4.60451417726,      	-1.210285694416,    	1.0,                	
142,   	0.021835853482,     	-0.352075602772,    	-0.93571681904,     	4.774329996373,     	-1.210285694416,    	1.0,                	
143,   	0.081022830292,     	-0.343321038587,    	-0.93571681904,     	4.944145815486,     	-1.210285694416,    	1.0,                	
144,   	0.137878927792,     	-0.324689753204,    	-0.93571681904,     	5.113961634599,     	-1.210285694416,    	1.0,                	
145,   	0.190768499575,     	-0.296717734783,    	-0.93571681904,     	5.283777453712,     	-1.210285694416,    	1.0,                	
146,   	0.238170008957,     	-0.260209687365,    	-0.93571681904,     	5.453593272824,     	-1.210285694416,    	1.0,                	
147,   	0.278719800816,     	-0.216215881003,    	-0.93571681904,     	5.623409091937,     	-1.210285694416,    	1.0,                	
148,   	0.311251331469,     	-0.166001937409,    	-0.93571681904,     	5.79322491105,      	-1.210285694416,    	1.0,                	
