Point's Coordinates for twisted_polar_coordinates_93

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.033771058685,     	0.000456349967,     	-0.99942949093,     	0.013512226467,     	-1.537015760627,    	1.0,                	
2,     	0.010001816442,     	0.032259205319,     	-0.99942949093,     	1.270149287903,     	-1.537015760627,    	1.0,                	
3,     	-0.027589596174,    	0.019480935371,     	-0.99942949093,     	2.526786349339,     	-1.537015760627,    	1.0,                	
4,     	-0.027053124613,    	-0.020219325128,    	-0.99942949093,     	3.783423410775,     	-1.537015760627,    	1.0,                	
5,     	0.010869845661,     	-0.031977165529,    	-0.99942949093,     	5.040060472211,     	-1.537015760627,    	1.0,                	
6,     	0.067504653556,     	0.000829258225,     	-0.99771861468,     	0.012283842243,     	-1.50323519446,     	1.0,                	
7,     	0.056340197442,     	0.037193387492,     	-0.99771861468,     	0.583482506532,     	-1.50323519446,     	1.0,                	
8,     	0.027288126721,     	0.061748879026,     	-0.99771861468,     	1.154681170821,     	-1.50323519446,     	1.0,                	
9,     	-0.010427731425,    	0.066699537766,     	-0.99771861468,     	1.72587983511,      	-1.50323519446,     	1.0,                	
10,    	-0.044832858523,    	0.050473564542,     	-0.99771861468,     	2.297078499399,     	-1.50323519446,     	1.0,                	
11,    	-0.065003869813,    	0.018222591205,     	-0.99771861468,     	2.868277163688,     	-1.50323519446,     	1.0,                	
12,    	-0.064536611733,    	-0.019813926085,    	-0.99771861468,     	3.439475827977,     	-1.50323519446,     	1.0,                	
13,    	-0.043579435422,    	-0.051559661842,    	-0.99771861468,     	4.010674492266,     	-1.50323519446,     	1.0,                	
14,    	-0.008786096281,    	-0.066935569266,    	-0.99771861468,     	4.581873156555,     	-1.50323519446,     	1.0,                	
15,    	0.028796766348,     	-0.061059906393,    	-0.99771861468,     	5.153071820844,     	-1.50323519446,     	1.0,                	
16,    	0.057236859131,     	-0.035798154669,    	-0.99771861468,     	5.724270485133,     	-1.50323519446,     	1.0,                	
17,    	0.101160204808,     	0.001281536923,     	-0.994869323392,    	0.012667712313,     	-1.469454628292,    	1.0,                	
18,    	0.092969419779,     	0.039896320128,     	-0.994869323392,    	0.405366794012,     	-1.469454628292,    	1.0,                	
19,    	0.070624883358,     	0.072437250254,     	-0.994869323392,    	0.79806587571,      	-1.469454628292,    	1.0,                	
20,    	0.037528348662,     	0.093950265675,     	-0.994869323392,    	1.190764957409,     	-1.469454628292,    	1.0,                	
21,    	-0.001281536923,    	0.101160204808,     	-0.994869323392,    	1.583464039108,     	-1.469454628292,    	1.0,                	
22,    	-0.039896320128,    	0.092969419779,     	-0.994869323392,    	1.976163120806,     	-1.469454628292,    	1.0,                	
23,    	-0.072437250254,    	0.070624883358,     	-0.994869323392,    	2.368862202505,     	-1.469454628292,    	1.0,                	
24,    	-0.093950265675,    	0.037528348662,     	-0.994869323392,    	2.761561284204,     	-1.469454628292,    	1.0,                	
25,    	-0.101160204808,    	-0.001281536923,    	-0.994869323392,    	3.154260365903,     	-1.469454628292,    	1.0,                	
26,    	-0.092969419779,    	-0.039896320128,    	-0.994869323392,    	3.546959447601,     	-1.469454628292,    	1.0,                	
27,    	-0.070624883358,    	-0.072437250254,    	-0.994869323392,    	3.9396585293,       	-1.469454628292,    	1.0,                	
28,    	-0.037528348662,    	-0.093950265675,    	-0.994869323392,    	4.332357610999,     	-1.469454628292,    	1.0,                	
29,    	0.001281536923,     	-0.101160204808,    	-0.994869323392,    	4.725056692698,     	-1.469454628292,    	1.0,                	
