number	direction_ind	# of covercap	
0	164	2	
1	181	2	
2	251	2	
3	260	2	
4	265	2	
5	279	2	
6	310	2	
7	313	2	
8	467	2	
9	488	2	
10	497	2	
11	502	2	
12	563	2	
13	565	2	
14	649	2	
15	667	2	
16	668	2	
17	673	2	
18	689	2	
19	698	2	
20	699	2	
21	705	2	
22	706	2	
23	724	2	
24	725	2	
25	793	2	
26	806	2	
27	809	2	
28	810	2	
29	811	2	
30	812	2	
31	813	2	
32	841	2	
33	843	2	
34	873	2	
35	893	2	
36	907	2	
37	942	2	
38	997	2	
39	999	2	
40	1001	2	
41	1004	2	
42	1005	2	
43	1012	2	
44	1049	2	
45	1066	2	
46	1070	2	
47	1072	2	
48	1077	2	
49	1085	2	
50	1088	2	
51	1089	2	
52	1104	2	
53	1119	2	
54	1162	2	
55	1178	2	
56	1179	2	
57	1223	2	
58	1230	2	
59	1248	2	
60	1275	2	
61	1300	2	
62	1302	2	
63	1315	2	
64	1317	2	
65	1352	2	
66	1354	2	
67	1359	2	
68	1361	2	
69	1363	2	
70	1376	2	
71	1379	2	
72	1392	2	
73	1396	2	
74	1421	2	
75	1448	2	
76	1452	2	
77	1453	2	
78	1454	2	
79	1457	2	
80	1462	2	
81	1470	2	
82	1474	2	
83	1483	2	
84	1485	2	
85	1487	2	
86	1491	2	
87	1492	2	
88	1499	2	
89	1554	2	
90	1558	2	
91	1663	2	
92	1764	2	
93	1773	2	
94	1780	2	
95	1781	2	
96	1789	2	
97	1792	2	
98	1814	2	
99	1826	2	
100	1839	2	
101	1841	2	
102	1845	2	
103	1860	2	
104	1864	2	
105	1868	2	
106	1918	2	
107	1992	2	
108	2001	2	
109	2012	2	
110	2014	2	
111	2116	2	
112	2118	2	
113	2132	2	
114	2139	2	
115	2140	2	
116	2142	2	
117	2145	2	
118	2147	2	
119	2157	2	
120	2179	2	
121	2196	2	
122	2269	2	
123	2277	2	
124	2280	2	
125	2304	2	
126	2315	2	
127	2370	2	
128	2408	2	
129	2414	2	
130	2430	2	
131	2438	2	
132	2445	2	
133	2446	2	
134	2448	2	
135	2449	2	
136	2450	2	
137	2451	2	
138	2456	2	
139	2459	2	
140	2471	2	
141	2472	2	
142	2473	2	
143	2474	2	
144	2475	2	
145	2483	2	
146	2488	2	
147	2505	2	
148	2525	2	
149	2532	2	
150	2541	2	
151	2550	2	
152	2565	2	
153	2567	2	
154	2569	2	
155	2581	2	
156	2587	2	
157	2592	2	
158	2594	2	
159	2595	2	
160	2596	2	
161	2598	2	
162	2600	2	
163	2601	2	
164	2602	2	
165	2609	2	
166	2612	2	
167	2615	2	
168	2624	2	
169	2626	2	
170	2645	2	
171	2647	2	
172	2651	2	
173	2652	2	
174	2655	2	
175	2657	2	
176	2659	2	
177	2674	2	
178	2702	2	
179	2725	2	
180	2727	2	
181	2729	2	
182	2741	2	
183	2760	2	
184	2761	2	
185	2765	2	
186	2766	2	
187	2767	2	
188	2770	2	
189	2776	2	
190	2786	2	
191	2790	2	
192	2818	2	
193	2833	2	
194	2846	2	
195	2863	2	
196	2865	2	
197	2894	2	
198	2918	2	
199	2919	2	
200	2920	2	
201	2921	2	
202	2931	2	
203	2932	2	
204	2933	2	
205	3004	2	
206	3007	2	
207	3078	2	
208	3082	2	
209	3258	2	
210	3268	2	
211	3340	2	
212	3355	2	
213	3402	2	
214	3409	2	
215	3410	2	
216	3421	2	
217	3438	2	
218	3488	2	
219	3507	2	
220	3577	2	
221	3612	2	
222	3682	2	
223	3699	2	
224	3749	2	
225	3750	2	
226	3768	2	
227	3770	2	
228	3807	2	
229	3828	2	
230	3839	2	
231	3840	2	
232	3854	2	
233	3861	2	
234	3862	2	
235	3874	2	
236	3890	2	
237	4214	2	
238	4215	2	
239	4233	2	
240	4237	2	
241	4247	2	
242	4256	2	
243	4259	2	
244	4264	2	
245	4282	2	
246	4298	2	
247	4347	2	
248	4366	2	
249	4398	2	
250	4440	2	
251	4441	2	
252	4445	2	
253	4447	2	
254	4449	2	
255	4454	2	
256	4456	2	
257	4459	2	
258	4461	2	
259	4496	2	
260	4526	2	
261	4535	2	
262	4554	2	
263	4651	2	
264	4655	2	
265	4662	2	
266	4665	2	
267	4666	2	
268	4668	2	
269	4671	2	
270	4674	2	
271	4857	2	
272	4860	2	
273	4894	2	
274	5066	2	
275	5068	2	
276	5269	2	
277	5279	2	
278	5341	2	
279	5343	2	
280	5344	2	
281	5350	2	
282	5500	2	
283	5502	2	
284	5575	2	
285	5577	2	
286	5579	2	
287	5726	2	
288	5729	2	
289	5732	2	
290	5733	2	
291	5734	2	
292	5735	2	
293	5737	2	
294	5817	2	
295	5819	2	
296	5820	2	
297	5822	2	
298	5965	2	
299	6188	2	
300	6191	2	
301	6281	2	
302	6282	2	
303	6283	2	
304	6390	2	
305	6409	2	
306	6413	2	
307	6414	2	
308	6415	2	
309	6416	2	
310	6417	2	
311	6418	2	
312	6420	2	
313	6459	2	
314	6511	2	
315	6512	3	
316	6513	2	
317	6514	2	
318	6515	2	
319	6518	2	
320	6536	2	
321	6537	2	
322	6550	2	
323	6575	2	
324	6579	2	
325	6588	2	
326	6591	2	
327	6607	2	
328	6620	2	
329	6621	2	
330	6632	2	
331	6636	2	
332	6639	2	
333	6640	2	
334	6641	2	
335	6642	2	
336	6644	2	
337	6645	2	
338	6652	2	
339	6653	2	
340	6656	2	
341	6695	2	
342	6734	2	
343	6737	2	
344	6741	2	
345	6743	2	
346	6744	2	
347	6745	2	
348	6746	2	
349	6747	2	
350	6748	2	
351	6749	2	
352	6750	2	
353	6755	2	
354	6758	2	
355	6766	2	
356	6773	2	
357	6805	2	
358	7109	2	
359	7114	2	
360	7116	2	
361	7117	2	
362	7119	2	
363	7238	2	
364	7239	2	
365	7241	2	
366	7242	2	
367	7243	2	
368	7326	2	
369	7338	2	
370	7369	2	
371	7497	2	
372	7499	2	
373	7500	2	
374	7505	2	
375	7616	2	
376	7620	2	
377	7622	2	
378	7623	2	
379	7627	2	
380	7750	2	
381	7752	2	
382	7754	2	
383	7774	2	
384	7867	2	
385	7873	2	
386	7876	2	
387	7879	2	
388	8004	2	
389	8007	2	
390	8008	2	
391	8067	2	
392	8099	2	
393	8113	2	
394	8115	2	
395	8117	2	
396	8118	2	
397	8121	2	
398	8122	2	
399	8123	2	
400	8124	2	
401	8126	2	
402	8127	2	
403	8128	2	
404	8130	2	
405	8131	2	
406	8165	2	
407	8205	2	
408	8248	2	
409	8252	2	
410	8254	2	
411	8255	2	
412	8256	2	
413	8258	2	
414	8259	2	
415	8260	2	
416	8261	2	
417	8262	2	
418	8265	2	
419	8268	2	
420	8269	2	
421	8271	2	
422	8281	2	
423	8284	2	
424	8317	2	
425	8366	2	
426	8369	2	
427	8371	2	
428	8373	2	
429	8375	2	
430	8376	2	
