Point's Coordinates for twisted_polar_coordinates_100

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.031408279017,     	0.000394708851,     	-0.999506560366,    	0.012566370614,     	-1.539380400259,    	1.0,                	
2,     	0.009330301555,     	0.029993020167,     	-0.999506560366,    	1.26920343205,      	-1.539380400259,    	1.0,                	
3,     	-0.02564183553,     	0.018141997037,     	-0.999506560366,    	2.525840493486,     	-1.539380400259,    	1.0,                	
4,     	-0.025177827447,    	-0.018780649374,    	-0.999506560366,    	3.782477554922,     	-1.539380400259,    	1.0,                	
5,     	0.010081082405,     	-0.029749076681,    	-0.999506560366,    	5.039114616358,     	-1.539380400259,    	1.0,                	
6,     	0.062786422268,     	0.000717301615,     	-0.998026728428,    	0.011423973286,     	-1.507964473723,    	1.0,                	
7,     	0.052431497015,     	0.034548335178,     	-0.998026728428,    	0.582622637575,     	-1.507964473723,    	1.0,                	
8,     	0.025429941923,     	0.057410516428,     	-0.998026728428,    	1.153821301864,     	-1.507964473723,    	1.0,                	
9,     	-0.00964544005,     	0.062045264356,     	-0.998026728428,    	1.725019966153,     	-1.507964473723,    	1.0,                	
10,    	-0.041658462958,    	0.046981079242,     	-0.998026728428,    	2.296218630442,     	-1.507964473723,    	1.0,                	
11,    	-0.060445218222,    	0.017000733421,     	-0.998026728428,    	2.867417294731,     	-1.507964473723,    	1.0,                	
12,    	-0.060041043786,    	-0.01837722514,     	-0.998026728428,    	3.43861595902,      	-1.507964473723,    	1.0,                	
13,    	-0.040574262177,    	-0.047920544566,    	-0.998026728428,    	4.009814623309,     	-1.507964473723,    	1.0,                	
14,    	-0.008225439012,    	-0.062249429683,    	-0.998026728428,    	4.581013287598,     	-1.507964473723,    	1.0,                	
15,    	0.026734902922,     	-0.056814560709,    	-0.998026728428,    	5.152211951887,     	-1.507964473723,    	1.0,                	
16,    	0.053207102078,     	-0.033341470142,    	-0.998026728428,    	5.723410616176,     	-1.507964473723,    	1.0,                	
17,    	0.094101782686,     	0.001108661801,     	-0.995561964603,    	0.011780972451,     	-1.476548547187,    	1.0,                	
18,    	0.086514444493,     	0.037035463136,     	-0.995561964603,    	0.40448005415,      	-1.476548547187,    	1.0,                	
19,    	0.065756066382,     	0.067323950936,     	-0.995561964603,    	0.797179135848,     	-1.476548547187,    	1.0,                	
20,    	0.034986923244,     	0.0873629775,       	-0.995561964603,    	1.189878217547,     	-1.476548547187,    	1.0,                	
21,    	-0.001108661801,    	0.094101782686,     	-0.995561964603,    	1.582577299246,     	-1.476548547187,    	1.0,                	
22,    	-0.037035463136,    	0.086514444493,     	-0.995561964603,    	1.975276380945,     	-1.476548547187,    	1.0,                	
23,    	-0.067323950936,    	0.065756066382,     	-0.995561964603,    	2.367975462643,     	-1.476548547187,    	1.0,                	
24,    	-0.0873629775,      	0.034986923244,     	-0.995561964603,    	2.760674544342,     	-1.476548547187,    	1.0,                	
25,    	-0.094101782686,    	-0.001108661801,    	-0.995561964603,    	3.153373626041,     	-1.476548547187,    	1.0,                	
26,    	-0.086514444493,    	-0.037035463136,    	-0.995561964603,    	3.546072707739,     	-1.476548547187,    	1.0,                	
27,    	-0.065756066382,    	-0.067323950936,    	-0.995561964603,    	3.938771789438,     	-1.476548547187,    	1.0,                	
28,    	-0.034986923244,    	-0.0873629775,      	-0.995561964603,    	4.331470871137,     	-1.476548547187,    	1.0,                	
29,    	0.001108661801,     	-0.094101782686,    	-0.995561964603,    	4.724169952836,     	-1.476548547187,    	1.0,                	
30,    	0.037035463136,     	-0.086514444493,    	-0.995561964603,    	5.116869034534,     	-1.476548547187,    	1.0,                	
31,    	0.067323950936,     	-0.065756066382,    	-0.995561964603,    	5.509568116233,     	-1.476548547187,    	1.0,                	
