Point's Coordinates for twisted_polar_coordinates_65

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.048304350998,     	0.000933978483,     	-0.998832226832,    	0.019332877868,     	-1.522464132124,    	1.0,                	
2,     	0.014038599039,     	0.046228783006,     	-0.998832226832,    	1.275969939304,     	-1.522464132124,    	1.0,                	
3,     	-0.039628019638,    	0.027636980674,     	-0.998832226832,    	2.53260700074,      	-1.522464132124,    	1.0,                	
4,     	-0.038530062082,    	-0.029148189603,    	-0.998832226832,    	3.789244062176,     	-1.522464132124,    	1.0,                	
5,     	0.015815131683,     	-0.045651552559,    	-0.998832226832,    	5.045881123612,     	-1.522464132124,    	1.0,                	
6,     	0.096499015075,     	0.001696177988,     	-0.995331634718,    	0.017575343517,     	-1.474131937454,    	1.0,                	
7,     	0.080263114293,     	0.053598222119,     	-0.995331634718,    	0.588774007806,     	-1.474131937454,    	1.0,                	
8,     	0.038544241834,     	0.088483209434,     	-0.995331634718,    	1.159972672095,     	-1.474131937454,    	1.0,                	
9,     	-0.015412155066,    	0.095275402946,     	-0.995331634718,    	1.731171336384,     	-1.474131937454,    	1.0,                	
10,    	-0.06447530163,     	0.071818329207,     	-0.995331634718,    	2.302370000673,     	-1.474131937454,    	1.0,                	
11,    	-0.093067995487,    	0.025559443388,     	-0.995331634718,    	2.873568664962,     	-1.474131937454,    	1.0,                	
12,    	-0.092112258364,    	-0.028814385112,    	-0.995331634718,    	3.444767329251,     	-1.474131937454,    	1.0,                	
13,    	-0.061911530045,    	-0.074039849931,    	-0.995331634718,    	4.01596599354,      	-1.474131937454,    	1.0,                	
14,    	-0.012054328382,    	-0.095758185538,    	-0.995331634718,    	4.587164657829,     	-1.474131937454,    	1.0,                	
15,    	0.04163003737,      	-0.087073973832,    	-0.995331634718,    	5.158363322118,     	-1.474131937454,    	1.0,                	
16,    	0.082097160401,     	-0.050744390669,    	-0.995331634718,    	5.729561986407,     	-1.474131937454,    	1.0,                	
17,    	0.144465317882,     	0.00261865895,      	-0.989506399451,    	0.018124573001,     	-1.425799742783,    	1.0,                	
18,    	0.132466432954,     	0.057703809111,     	-0.989506399451,    	0.4108236547,       	-1.425799742783,    	1.0,                	
19,    	0.10030073442,      	0.104004077422,     	-0.989506399451,    	0.803522736399,     	-1.425799742783,    	1.0,                	
20,    	0.052865158299,     	0.134470667744,     	-0.989506399451,    	1.196221818098,     	-1.425799742783,    	1.0,                	
21,    	-0.00261865895,     	0.144465317882,     	-0.989506399451,    	1.588920899796,     	-1.425799742783,    	1.0,                	
22,    	-0.057703809111,    	0.132466432954,     	-0.989506399451,    	1.981619981495,     	-1.425799742783,    	1.0,                	
23,    	-0.104004077422,    	0.10030073442,      	-0.989506399451,    	2.374319063194,     	-1.425799742783,    	1.0,                	
24,    	-0.134470667744,    	0.052865158299,     	-0.989506399451,    	2.767018144893,     	-1.425799742783,    	1.0,                	
25,    	-0.144465317882,    	-0.00261865895,     	-0.989506399451,    	3.159717226591,     	-1.425799742783,    	1.0,                	
26,    	-0.132466432954,    	-0.057703809111,    	-0.989506399451,    	3.55241630829,      	-1.425799742783,    	1.0,                	
27,    	-0.10030073442,     	-0.104004077422,    	-0.989506399451,    	3.945115389989,     	-1.425799742783,    	1.0,                	
28,    	-0.052865158299,    	-0.134470667744,    	-0.989506399451,    	4.337814471687,     	-1.425799742783,    	1.0,                	
29,    	0.00261865895,      	-0.144465317882,    	-0.989506399451,    	4.730513553386,     	-1.425799742783,    	1.0,                	
30,    	0.057703809111,     	-0.132466432954,    	-0.989506399451,    	5.123212635085,     	-1.425799742783,    	1.0,                	
31,    	0.104004077422,     	-0.10030073442,     	-0.989506399451,    	5.515911716784,     	-1.425799742783,    	1.0,                	
32,    	0.134470667744,     	-0.052865158299,    	-0.989506399451,    	5.908610798482,     	-1.425799742783,    	1.0,                	
33,    	0.192097044847,     	0.00337651922,      	-0.981370126139,    	0.017575343517,     	-1.377467548112,    	1.0,                	
34,    	0.18336448939,      	0.057359738073,     	-0.981370126139,    	0.303174675661,     	-1.377467548112,    	1.0,                	
35,    	0.159776833513,     	0.106696012079,     	-0.981370126139,    	0.588774007806,     	-1.377467548112,    	1.0,                	
36,    	0.123245008814,     	0.147388409732,     	-0.981370126139,    	0.87437333995,      	-1.377467548112,    	1.0,                	
37,    	0.076728606468,     	0.176140274982,     	-0.981370126139,    	1.159972672095,     	-1.377467548112,    	1.0,                	
38,    	0.023996108748,     	0.190622302698,     	-0.981370126139,    	1.445572004239,     	-1.377467548112,    	1.0,                	
39,    	-0.030680410993,    	0.189661245125,     	-0.981370126139,    	1.731171336384,     	-1.377467548112,    	1.0,                	
40,    	-0.082871386298,    	0.173334961431,     	-0.981370126139,    	2.016770668528,     	-1.377467548112,    	1.0,                	
41,    	-0.12834861474,     	0.142966110024,     	-0.981370126139,    	2.302370000673,     	-1.377467548112,    	1.0,                	
42,    	-0.163427801735,    	0.101014994635,     	-0.981370126139,    	2.587969332817,     	-1.377467548112,    	1.0,                	
43,    	-0.185267040176,    	0.05088024514,      	-0.981370126139,    	2.873568664962,     	-1.377467548112,    	1.0,                	
44,    	-0.192097044847,    	-0.00337651922,     	-0.981370126139,    	3.159167997106,     	-1.377467548112,    	1.0,                	
45,    	-0.18336448939,     	-0.057359738073,    	-0.981370126139,    	3.444767329251,     	-1.377467548112,    	1.0,                	
46,    	-0.159776833513,    	-0.106696012079,    	-0.981370126139,    	3.730366661395,     	-1.377467548112,    	1.0,                	
47,    	-0.123245008814,    	-0.147388409732,    	-0.981370126139,    	4.01596599354,      	-1.377467548112,    	1.0,                	
48,    	-0.076728606468,    	-0.176140274982,    	-0.981370126139,    	4.301565325684,     	-1.377467548112,    	1.0,                	
49,    	-0.023996108748,    	-0.190622302698,    	-0.981370126139,    	4.587164657829,     	-1.377467548112,    	1.0,                	
50,    	0.030680410993,     	-0.189661245125,    	-0.981370126139,    	4.872763989974,     	-1.377467548112,    	1.0,                	
51,    	0.082871386298,     	-0.173334961431,    	-0.981370126139,    	5.158363322118,     	-1.377467548112,    	1.0,                	
52,    	0.12834861474,      	-0.142966110024,    	-0.981370126139,    	5.443962654263,     	-1.377467548112,    	1.0,                	
53,    	0.163427801735,     	-0.101014994635,    	-0.981370126139,    	5.729561986407,     	-1.377467548112,    	1.0,                	
54,    	0.185267040176,     	-0.05088024514,     	-0.981370126139,    	6.015161318552,     	-1.377467548112,    	1.0,                	
55,    	0.239277322263,     	0.004283716129,     	-0.970941817426,    	0.017900812841,     	-1.329135353442,    	1.0,                	
56,    	0.231839678149,     	0.059349396029,     	-0.970941817426,    	0.250611379774,     	-1.329135353442,    	1.0,                	
57,    	0.211903496977,     	0.111215534627,     	-0.970941817426,    	0.483321946706,     	-1.329135353442,    	1.0,                	
58,    	0.180543543433,     	0.157086014967,     	-0.970941817426,    	0.716032513639,     	-1.329135353442,    	1.0,                	
59,    	0.139450440731,     	0.194487947579,     	-0.970941817426,    	0.948743080571,     	-1.329135353442,    	1.0,                	
