number	direction_ind	# of covercap	
0	58	2	
1	59	2	
2	60	2	
3	116	2	
4	121	2	
5	140	2	
6	147	2	
7	150	2	
8	164	2	
9	211	2	
10	232	2	
11	245	2	
12	365	2	
13	367	2	
14	377	2	
15	386	2	
16	388	2	
17	396	2	
18	400	2	
19	410	2	
20	415	2	
21	422	2	
22	547	2	
23	554	2	
24	652	2	
25	663	2	
26	817	2	
27	819	2	
28	821	2	
29	829	2	
30	833	2	
31	841	2	
32	853	2	
33	855	2	
34	857	2	
35	858	2	
36	859	2	
37	864	2	
38	879	2	
39	880	2	
40	883	2	
41	899	2	
42	952	2	
43	956	2	
44	977	2	
45	983	2	
46	1014	2	
47	1023	2	
48	1059	2	
49	1068	2	
50	1080	2	
51	1093	2	
52	1111	2	
53	1112	2	
54	1113	2	
55	1114	2	
56	1115	2	
57	1124	2	
58	1131	2	
59	1132	2	
60	1133	2	
61	1135	2	
62	1136	2	
63	1138	2	
64	1151	2	
65	1159	2	
66	1166	2	
67	1168	2	
68	1192	2	
69	1281	2	
70	1288	2	
71	1310	2	
72	1322	2	
73	1329	2	
74	1390	2	
75	1407	2	
76	1422	2	
77	1479	2	
78	1497	2	
79	1499	2	
80	1525	2	
81	1612	2	
82	1639	2	
83	1653	2	
84	1686	2	
85	1701	2	
86	1703	2	
87	1728	2	
88	1734	2	
89	1738	2	
90	1762	2	
91	1772	2	
92	1790	2	
93	1806	2	
94	1820	2	
95	1826	2	
96	1830	2	
97	1862	2	
98	1899	2	
99	1905	2	
100	1921	2	
101	1934	2	
102	1942	2	
103	1958	2	
104	2002	2	
105	2052	2	
106	2056	2	
107	2058	2	
108	2063	2	
109	2064	2	
110	2072	2	
111	2074	2	
112	2079	2	
113	2082	2	
114	2093	2	
115	2130	2	
116	2166	2	
117	2169	2	
118	2221	2	
119	2260	2	
120	2265	2	
121	2277	2	
122	2281	2	
123	2284	2	
124	2291	2	
125	2294	2	
126	2296	2	
127	2303	2	
128	2308	2	
129	2311	2	
130	2345	2	
131	2354	2	
132	2359	2	
133	2360	2	
134	2367	2	
135	2370	2	
136	2372	2	
137	2373	2	
138	2377	2	
139	2386	2	
140	2389	2	
141	2393	2	
142	2396	2	
143	2398	2	
144	2405	2	
145	2536	2	
146	2697	2	
147	2736	2	
148	2804	2	
149	2886	2	
150	2899	2	
151	2916	2	
152	2993	2	
153	2997	2	
154	3069	2	
155	3073	2	
156	3075	2	
157	3087	2	
158	3116	2	
159	3118	2	
160	3190	2	
161	3197	2	
162	3215	2	
163	3223	2	
164	3235	2	
165	3236	2	
166	3240	2	
167	3247	2	
168	3249	2	
169	3325	2	
170	3397	2	
171	3398	2	
172	3399	2	
173	3401	2	
174	3402	2	
175	3403	2	
176	3404	2	
177	3405	2	
178	3406	2	
179	3426	2	
180	3437	2	
181	3452	2	
182	3462	2	
183	3476	2	
184	3483	2	
185	3484	2	
186	3486	2	
187	3497	2	
188	3515	2	
189	3517	2	
190	3519	2	
191	3542	2	
192	3560	2	
193	3566	2	
194	3569	2	
195	3570	2	
196	3571	2	
197	3572	2	
198	3573	2	
199	3580	2	
200	3581	2	
201	3669	2	
202	3725	2	
203	3727	2	
204	3758	2	
205	3773	2	
206	3774	2	
207	3966	2	
208	3968	2	
209	3971	2	
210	3972	2	
211	4094	2	
212	4164	2	
213	4165	2	
214	4175	2	
215	4176	2	
216	4187	2	
217	4197	2	
218	4202	2	
219	4211	2	
220	4215	2	
221	4216	2	
222	4248	2	
223	4266	2	
224	4272	2	
225	4282	2	
226	4284	2	
227	4309	2	
228	4321	2	
229	4349	2	
230	4350	2	
231	4351	2	
232	4356	2	
233	4599	2	
234	4730	2	
235	4849	2	
236	4970	2	
237	5019	2	
238	5043	2	
239	5044	2	
240	5079	2	
241	5094	2	
242	5103	2	
243	5107	2	
244	5115	2	
245	5136	2	
246	5140	2	
247	5218	2	
248	5265	2	
249	5270	2	
250	5274	2	
251	5300	2	
252	5317	2	
253	5335	2	
254	5339	2	
255	5340	2	
256	5352	2	
257	5358	2	
258	5359	2	
259	5364	2	
260	5369	2	
261	5370	2	
262	5372	2	
263	5376	2	
264	5382	2	
265	5385	2	
266	5386	2	
267	5389	2	
268	5445	2	
269	5446	2	
270	5502	2	
271	5568	2	
272	5569	2	
273	5572	2	
274	5573	2	
275	5575	2	
276	5579	2	
277	5580	2	
278	5586	2	
279	5589	2	
280	5590	2	
281	5608	2	
282	5610	2	
283	5697	2	
284	5732	2	
285	5795	2	
286	5800	2	
287	5815	2	
288	5836	2	
289	5901	2	
290	5929	2	
291	6033	2	
292	6040	2	
293	6042	2	
294	6045	2	
295	6050	2	
296	6055	2	
297	6061	2	
298	6066	2	
299	6069	2	
300	6072	2	
301	6085	2	
302	6268	2	
303	6274	2	
304	6275	2	
305	6279	2	
306	6286	2	
307	6287	2	
308	6288	2	
309	6289	2	
310	6290	2	
311	6294	2	
312	6295	2	
313	6297	2	
314	6301	2	
315	6302	2	
316	6304	2	
317	6305	2	
318	6306	2	
319	6307	2	
320	6308	2	
321	6310	2	
322	6311	2	
323	6312	2	
324	6313	2	
325	6316	2	
326	6324	2	
327	6524	2	
328	6526	2	
329	6527	2	
330	6569	2	
331	6755	2	
332	6761	2	
333	6762	2	
334	6763	2	
335	6766	2	
336	6768	2	
337	6769	2	
338	6771	2	
339	6772	2	
340	6773	2	
341	6774	2	
342	6775	2	
343	6777	2	
344	6787	2	
345	6818	2	
346	6825	2	
347	6830	2	
348	6833	2	
349	6834	2	
350	6835	2	
351	6836	2	
352	6837	2	
353	6839	2	
354	6844	2	
355	6846	2	
356	6848	2	
357	7282	2	
358	7500	2	
359	7528	2	
360	7529	2	
361	7530	2	
362	7531	2	
363	7532	2	
364	7615	2	
365	7616	2	
366	7617	2	
367	7618	2	
368	7620	2	
369	7777	2	
370	7778	2	
371	7872	2	
372	8026	2	
373	8027	2	
374	8028	2	
375	8131	2	
376	8283	2	
377	8284	2	
378	8285	2	
379	8286	2	
380	8287	2	
381	8395	2	
382	8396	2	
383	8397	2	
384	8398	2	
385	8548	2	
386	8549	2	
387	8550	2	
388	8551	2	
389	8557	2	
390	8660	2	
391	8665	2	
392	8667	2	
393	8669	2	
394	8670	2	
395	8671	2	
396	8677	2	
397	8785	2	
398	8814	2	
399	8818	2	
400	8819	2	
401	8820	2	
402	8821	2	
403	8822	2	
404	8823	2	
405	8826	2	
406	8942	2	
407	8944	2	
408	8945	2	
409	8946	2	
410	8948	2	
411	8949	2	
412	8950	2	
413	8985	2	
414	9094	2	
415	9234	2	
416	9377	2	
417	9378	2	
418	9517	2	
419	9657	2	
420	9659	2	
421	9792	2	
422	9796	2	
423	9804	2	
424	9933	2	
425	10072	2	
426	10347	2	
427	10480	2	
428	10486	2	
429	10488	2	
430	10489	2	
431	10490	2	
432	10495	2	
433	10497	2	
434	10638	2	
435	10639	2	
436	10640	2	
437	10641	2	
438	10642	2	
439	10648	2	
440	10651	2	
441	10707	2	
442	10760	2	
443	10765	2	
444	10769	2	
445	10770	2	
446	10771	2	
447	10773	2	
448	10774	2	
449	10776	2	
450	10777	2	
451	10780	2	
452	10919	2	
453	10922	2	
454	10923	2	
455	10925	2	
456	10927	2	
457	10928	2	
458	10929	2	
459	10930	2	
460	10934	2	
461	10936	2	
462	10939	2	
463	11052	2	
464	11055	2	
465	11061	2	
466	11216	2	
467	11226	2	
468	11349	2	
469	11356	2	
470	11474	2	
471	11519	2	
472	11952	2	
473	12260	2	
474	12261	2	
475	12263	2	
476	12266	2	
477	12438	2	
478	12440	2	
479	12441	2	
480	12442	2	
481	12553	2	
482	12565	2	
483	12567	2	
484	12570	2	
485	12580	2	
486	12747	2	
487	12811	2	
488	12868	2	
489	12869	2	
490	12870	2	
491	12872	2	
492	12884	2	
493	12915	2	
494	12942	2	
495	12978	2	
496	13054	2	
497	13055	2	
498	13057	2	
499	13058	2	
500	13059	2	
501	13141	2	
502	13172	2	
503	13174	2	
504	13175	2	
505	13176	2	
506	13177	2	
507	13294	2	
508	13367	2	
509	13368	2	
510	13369	2	
511	13402	2	
512	13408	2	
513	13438	2	
514	13448	2	
515	13456	2	
516	13461	2	
517	13468	2	
518	13471	2	
519	13481	2	
520	13482	2	
521	13483	2	
522	13484	2	
523	13485	2	
524	13486	2	
525	13487	2	
526	13490	2	
527	13494	2	
528	13499	2	
529	13500	2	
530	13503	2	
531	13505	2	
532	13507	2	
533	13509	2	
534	13515	2	
535	13522	2	
536	13536	2	
537	13546	2	
538	13561	2	
539	13604	2	
540	13607	2	
541	13636	2	
542	13648	2	
543	13649	2	
544	13652	2	
545	13655	2	
546	13658	2	
547	13660	2	
548	13662	2	
549	13664	2	
550	13668	2	
551	13677	2	
552	13680	2	
553	13681	2	
554	13682	2	
555	13683	2	
556	13684	2	
557	13686	2	
558	13690	2	
559	13696	2	
560	13703	2	
561	13706	2	
562	13708	2	
563	13709	2	
564	13724	2	
565	13727	2	
566	13729	2	
567	13733	2	
568	13736	2	
569	13750	2	
570	13767	2	
571	13783	2	
572	13792	2	
573	13793	2	
574	13797	2	
575	13798	2	
576	13799	2	
577	13802	2	
578	13804	2	
579	13814	2	
580	13817	2	
581	13821	2	
582	13848	2	
583	13902	2	
584	13905	2	
585	13962	2	
586	13978	2	
587	13981	2	
588	13985	2	
589	13988	2	
590	14000	2	
591	14002	2	
592	14003	2	
593	14004	2	
594	14006	2	
595	14011	2	
596	14023	2	
597	14029	2	
