This run aims to check if discrepancy is less than 0.0065
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	
56,    	0.793229856538,     	0.007469532106,     	0.012338595989,     	0.786768106224,     	7448,  	7698,  	251,   	
57,    	0.781283670836,     	0.006333458773,     	0.013485474497,     	0.775803689121,     	7699,  	7949,  	251,   	
58,    	0.770648973636,     	0.005963259472,     	0.01253261326,      	0.765488939842,     	7950,  	8206,  	257,   	
59,    	0.759779084032,     	0.006683606119,     	0.012252635009,     	0.753996194762,     	8207,  	8473,  	267,   	
60,    	0.747607006123,     	0.007396515851,     	0.011949762626,     	0.741207746555,     	8474,  	8744,  	271,   	
61,    	0.734884732296,     	0.007337073158,     	0.011943605833,     	0.728536693529,     	8745,  	9020,  	276,   	
62,    	0.723435367144,     	0.005903638867,     	0.011669047028,     	0.718223117182,     	9021,  	9305,  	285,   	
63,    	0.713385071694,     	0.005633995071,     	0.011823664975,     	0.708509309727,     	9306,  	9588,  	283,   	
64,    	0.702695769684,     	0.006717417988,     	0.009653231722,     	0.696818140535,     	9589,  	9864,  	276,   	
65,    	0.691015333833,     	0.006709705023,     	0.010462552506,     	0.685158743348,     	9865,  	10140, 	276,   	
66,    	0.679468807557,     	0.006576455293,     	0.011419968961,     	0.673403002321,     	10141, 	10421, 	281,   	
67,    	0.66695495788,      	0.00746797738,      	0.011866134981,     	0.660492958462,     	10422, 	10705, 	284,   	
68,    	0.654058380287,     	0.007638282233,     	0.01183212162,      	0.647448992558,     	10706, 	10992, 	287,   	
69,    	0.641677395348,     	0.006665401226,     	0.011716590545,     	0.635835917387,     	10993, 	11284, 	292,   	
70,    	0.630044989275,     	0.006692930691,     	0.010085239648,     	0.624246400155,     	11285, 	11582, 	298,   	
71,    	0.619341193362,     	0.005669919659,     	0.011417540645,     	0.613905575038,     	11583, 	11888, 	306,   	
72,    	0.608410483251,     	0.006348401121,     	0.011405090544,     	0.602882699028,     	11889, 	12196, 	308,   	
73,    	0.596854886414,     	0.006972676918,     	0.01057547923,      	0.59082047652,      	12197, 	12502, 	306,   	
74,    	0.584748802053,     	0.007027591754,     	0.01152413471,      	0.578629225897,     	12503, 	12809, 	307,   	
