This run aims to check if discrepancy is less than 0.0196
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.531251144894,     	0.011181808677,     	0.294337990554,     	1.52190002852,      	0,     	11,    	12,    	
2,     	1.498324188725,     	0.026042743564,     	0.383391181326,     	1.476782288846,     	12,    	21,    	10,    	
3,     	1.456539131634,     	0.023133137808,     	0.216565142985,     	1.436989380185,     	22,    	37,    	16,    	
4,     	1.416270350088,     	0.023615080588,     	0.158214320248,     	1.39606445092,      	38,    	58,    	21,    	
5,     	1.377236096274,     	0.02143058952,      	0.132568345747,     	1.358361340612,     	59,    	85,    	27,    	
6,     	1.338910960143,     	0.022977138226,     	0.11054846979,      	1.318732729784,     	86,    	116,   	31,    	
7,     	1.29877658045,      	0.022792847866,     	0.08869125498,      	1.278804408826,     	117,   	152,   	36,    	
8,     	1.259688503857,     	0.023515506393,     	0.079016361886,     	1.239264913916,     	153,   	192,   	40,    	
9,     	1.220032263795,     	0.022113692567,     	0.07307804057,      	1.200677846029,     	193,   	238,   	46,    	
10,    	1.181220849211,     	0.022417479037,     	0.065638224914,     	1.161950345912,     	239,   	288,   	50,    	
11,    	1.143100486551,     	0.021650362581,     	0.056836986046,     	1.123707246931,     	289,   	343,   	55,    	
12,    	1.104512961462,     	0.022141317007,     	0.049255017938,     	1.085459017085,     	344,   	403,   	60,    	
13,    	1.067217434622,     	0.021017721341,     	0.051452049177,     	1.049115123156,     	404,   	467,   	64,    	
14,    	1.030695531655,     	0.021194136167,     	0.048848378265,     	1.012433848586,     	468,   	536,   	69,    	
15,    	0.998085682555,     	0.01651729238,      	0.034658194391,     	0.983170253472,     	537,   	616,   	80,    	
16,    	0.970493206858,     	0.014626223969,     	0.036150193142,     	0.957095654779,     	617,   	713,   	97,    	
17,    	0.943776690597,     	0.015405514995,     	0.039413498436,     	0.929986702313,     	714,   	804,   	91,    	
18,    	0.920649631458,     	0.010765470596,     	0.036397594983,     	0.907568275232,     	805,   	899,   	95,    	
19,    	0.894471558695,     	0.015086676787,     	0.031937718661,     	0.88095329596,      	900,   	1009,  	110,   	
