Point's Coordinates for twisted_polar_coordinates_38

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.082534195821,     	0.002730351397,     	-0.996584493007,    	0.033069396354,     	-1.488122835911,    	1.0,                	
2,     	0.022907750638,     	0.079338409736,     	-0.996584493007,    	1.289706457789,     	-1.488122835911,    	1.0,                	
3,     	-0.068376427322,    	0.046303482433,     	-0.996584493007,    	2.546343519225,     	-1.488122835911,    	1.0,                	
4,     	-0.065166706752,    	-0.050721283795,    	-0.996584493007,    	3.802980580661,     	-1.488122835911,    	1.0,                	
5,     	0.028101187614,     	-0.077650959771,    	-0.996584493007,    	5.059617642097,     	-1.488122835911,    	1.0,                	
6,     	0.164520216473,     	0.004947476261,     	-0.986361303403,    	0.030063087594,     	-1.405449345027,    	1.0,                	
7,     	0.13572840572,      	0.093108426205,     	-0.986361303403,    	0.601261751883,     	-1.405449345027,    	1.0,                	
8,     	0.063843785162,     	0.151708108702,     	-0.986361303403,    	1.172460416172,     	-1.405449345027,    	1.0,                	
9,     	-0.028310786086,    	0.162141538604,     	-0.986361303403,    	1.743659080461,     	-1.405449345027,    	1.0,                	
10,    	-0.111476882786,    	0.121096175637,     	-0.986361303403,    	2.31485774475,      	-1.405449345027,    	1.0,                	
11,    	-0.15924985686,     	0.04160363253,      	-0.986361303403,    	2.886056409039,     	-1.405449345027,    	1.0,                	
12,    	-0.156462126587,    	-0.051097769948,    	-0.986361303403,    	3.457255073328,     	-1.405449345027,    	1.0,                	
13,    	-0.10399877663,     	-0.127575991507,    	-0.986361303403,    	4.028453737618,     	-1.405449345027,    	1.0,                	
14,    	-0.018516549914,    	-0.163549737172,    	-0.986361303403,    	4.599652401907,     	-1.405449345027,    	1.0,                	
15,    	0.072844550568,     	-0.147597596871,    	-0.986361303403,    	5.170851066196,     	-1.405449345027,    	1.0,                	
16,    	0.14107802094,      	-0.084784262439,    	-0.986361303403,    	5.742049730485,     	-1.405449345027,    	1.0,                	
17,    	0.245367521338,     	0.007609459199,     	-0.969400265939,    	0.031002559081,     	-1.322775854143,    	1.0,                	
18,    	0.223778016942,     	0.100928308864,     	-0.969400265939,    	0.42370164078,      	-1.322775854143,    	1.0,                	
19,    	0.16812033802,      	0.178881738422,     	-0.969400265939,    	0.816400722479,     	-1.322775854143,    	1.0,                	
20,    	0.086867861649,     	0.229602044872,     	-0.969400265939,    	1.209099804178,     	-1.322775854143,    	1.0,                	
21,    	-0.007609459199,    	0.245367521338,     	-0.969400265939,    	1.601798885876,     	-1.322775854143,    	1.0,                	
22,    	-0.100928308864,    	0.223778016942,     	-0.969400265939,    	1.994497967575,     	-1.322775854143,    	1.0,                	
23,    	-0.178881738422,    	0.16812033802,      	-0.969400265939,    	2.387197049274,     	-1.322775854143,    	1.0,                	
24,    	-0.229602044872,    	0.086867861649,     	-0.969400265939,    	2.779896130973,     	-1.322775854143,    	1.0,                	
25,    	-0.245367521338,    	-0.007609459199,    	-0.969400265939,    	3.172595212671,     	-1.322775854143,    	1.0,                	
26,    	-0.223778016942,    	-0.100928308864,    	-0.969400265939,    	3.56529429437,      	-1.322775854143,    	1.0,                	
27,    	-0.16812033802,     	-0.178881738422,    	-0.969400265939,    	3.957993376069,     	-1.322775854143,    	1.0,                	
28,    	-0.086867861649,    	-0.229602044872,    	-0.969400265939,    	4.350692457767,     	-1.322775854143,    	1.0,                	
29,    	0.007609459199,     	-0.245367521338,    	-0.969400265939,    	4.743391539466,     	-1.322775854143,    	1.0,                	
30,    	0.100928308864,     	-0.223778016942,    	-0.969400265939,    	5.136090621165,     	-1.322775854143,    	1.0,                	
31,    	0.178881738422,     	-0.16812033802,     	-0.969400265939,    	5.528789702864,     	-1.322775854143,    	1.0,                	
32,    	0.229602044872,     	-0.086867861649,    	-0.969400265939,    	5.921488784562,     	-1.322775854143,    	1.0,                	
33,    	0.324538445572,     	0.010224609904,     	-0.945817241701,    	0.031494663194,     	-1.240102363259,    	1.0,                	
34,    	0.307106356345,     	0.105429745302,     	-0.945817241701,    	0.330693963536,     	-1.240102363259,    	1.0,                	
35,    	0.262386519643,     	0.191266985158,     	-0.945817241701,    	0.629893263878,     	-1.240102363259,    	1.0,                	
36,    	0.194352489206,     	0.260109314022,     	-0.945817241701,    	0.92909256422,      	-1.240102363259,    	1.0,                	
37,    	0.109049387201,     	0.305839788865,     	-0.945817241701,    	1.228291864561,     	-1.240102363259,    	1.0,                	
38,    	0.014056768589,     	0.32439505631,      	-0.945817241701,    	1.527491164903,     	-1.240102363259,    	1.0,                	
39,    	-0.0821848556,      	0.314126399419,     	-0.945817241701,    	1.826690465245,     	-1.240102363259,    	1.0,                	
40,    	-0.171123994707,    	0.275946233418,     	-0.945817241701,    	2.125889765587,     	-1.240102363259,    	1.0,                	
41,    	-0.244858015918,    	0.213247033607,     	-0.945817241701,    	2.425089065929,     	-1.240102363259,    	1.0,                	
42,    	-0.296835327874,    	0.131599899042,     	-0.945817241701,    	2.724288366271,     	-1.240102363259,    	1.0,                	
43,    	-0.322437518307,    	0.03825953593,      	-0.945817241701,    	3.023487666613,     	-1.240102363259,    	1.0,                	
44,    	-0.319389720246,    	-0.058480354849,    	-0.945817241701,    	3.322686966955,     	-1.240102363259,    	1.0,                	
45,    	-0.287962743921,    	-0.150024009462,    	-0.945817241701,    	3.621886267297,     	-1.240102363259,    	1.0,                	
46,    	-0.230949014096,    	-0.228237372465,    	-0.945817241701,    	3.921085567638,     	-1.240102363259,    	1.0,                	
47,    	-0.153414450865,    	-0.286170843322,    	-0.945817241701,    	4.22028486798,      	-1.240102363259,    	1.0,                	
48,    	-0.062248340427,    	-0.318676778909,    	-0.945817241701,    	4.519484168322,     	-1.240102363259,    	1.0,                	
49,    	0.034448808231,     	-0.3228668842,      	-0.945817241701,    	4.818683468664,     	-1.240102363259,    	1.0,                	
50,    	0.128085029101,     	-0.298368849952,    	-0.945817241701,    	5.117882769006,     	-1.240102363259,    	1.0,                	
51,    	0.210340333044,     	-0.247359434016,    	-0.945817241701,    	5.417082069348,     	-1.240102363259,    	1.0,                	
52,    	0.273905975333,     	-0.174371046848,    	-0.945817241701,    	5.71628136969,      	-1.240102363259,    	1.0,                	
53,    	0.313133869696,     	-0.085889026953,    	-0.945817241701,    	6.015480670032,     	-1.240102363259,    	1.0,                	
54,    	0.4014923685,       	0.012770756559,     	-0.915773326655,    	0.031797496494,     	-1.157428872375,    	1.0,                	
55,    	0.386769487865,     	0.108483074457,     	-0.915773326655,    	0.273458469847,     	-1.157428872375,    	1.0,                	
56,    	0.349568970445,     	0.197890750388,     	-0.915773326655,    	0.5151194432,       	-1.157428872375,    	1.0,                	
57,    	0.292052775094,     	0.27579773521,      	-0.915773326655,    	0.756780416553,     	-1.157428872375,    	1.0,                	
58,    	0.217563534024,     	0.337676358145,     	-0.915773326655,    	0.998441389906,     	-1.157428872375,    	1.0,                	
59,    	0.130430291167,     	0.379930458549,     	-0.915773326655,    	1.240102363259,     	-1.157428872375,    	1.0,                	
60,    	0.035716913882,     	0.400104381693,     	-0.915773326655,    	1.481763336612,     	-1.157428872375,    	1.0,                	
61,    	-0.061072200612,    	0.397025692493,     	-0.915773326655,    	1.723424309965,     	-1.157428872375,    	1.0,                	
62,    	-0.154312020794,    	0.370873313175,     	-0.915773326655,    	1.965085283318,     	-1.157428872375,    	1.0,                	
63,    	-0.23858378723,     	0.323167124965,     	-0.915773326655,    	2.206746256671,     	-1.157428872375,    	1.0,                	
64,    	-0.308989931168,    	0.256679638117,     	-0.915773326655,    	2.448407230024,     	-1.157428872375,    	1.0,                	
65,    	-0.36143870344,     	0.175274863694,     	-0.915773326655,    	2.690068203377,     	-1.157428872375,    	1.0,                	
66,    	-0.392881972044,    	0.083683751291,     	-0.915773326655,    	2.931729176731,     	-1.157428872375,    	1.0,                	
67,    	-0.4014923685,      	-0.012770756559,    	-0.915773326655,    	3.173390150084,     	-1.157428872375,    	1.0,                	
