This run aims to check if discrepancy is less than 0.0209
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.529160313735,     	0.01184448561,      	0.287706740949,     	1.519325669949,     	0,     	11,    	12,    	
2,     	1.494142248446,     	0.027749414081,     	0.364375485391,     	1.471259464084,     	12,    	21,    	10,    	
3,     	1.450737544271,     	0.023293479598,     	0.194791992027,     	1.431127460953,     	22,    	38,    	17,    	
4,     	1.408759976689,     	0.025475531211,     	0.166372793886,     	1.387036147593,     	39,    	59,    	21,    	
5,     	1.36696429128,      	0.022939290344,     	0.126994027903,     	1.34708841202,      	60,    	86,    	27,    	
6,     	1.326302204805,     	0.023867225949,     	0.108272926937,     	1.305916182379,     	87,    	118,   	32,    	
7,     	1.285026240174,     	0.024089959202,     	0.091919339842,     	1.26383022792,      	119,   	153,   	35,    	
8,     	1.242705356499,     	0.02415998202,      	0.074993524198,     	1.221995620869,     	154,   	194,   	41,    	
9,     	1.201725937551,     	0.023275660318,     	0.067951283145,     	1.1811538254,       	195,   	240,   	46,    	
10,    	1.161309012762,     	0.022865748541,     	0.069184250263,     	1.141284117392,     	241,   	291,   	51,    	
11,    	1.120772208478,     	0.023748159937,     	0.064382070479,     	1.100350700149,     	292,   	346,   	55,    	
12,    	1.08232388347,      	0.02078167103,      	0.044288013755,     	1.063959358066,     	347,   	406,   	60,    	
13,    	1.044873535158,     	0.02200408295,      	0.043835357039,     	1.025920957834,     	407,   	472,   	66,    	
14,    	1.010769538518,     	0.017449971746,     	0.037506401285,     	0.994682430699,     	473,   	549,   	77,    	
15,    	0.981478776951,     	0.01524232918,      	0.041323775144,     	0.967576650966,     	550,   	641,   	92,    	
16,    	0.951296774046,     	0.018820248518,     	0.041945346039,     	0.935059570119,     	642,   	728,   	87,    	
