This run aims to check if discrepancy is less than 0.0341
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.503031597754,     	0.018769911564,     	0.279211351852,     	1.486855661528,     	0,     	11,    	12,    	
2,     	1.464223755467,     	0.025362926271,     	0.283590955507,     	1.442412179282,     	12,    	24,    	13,    	
3,     	1.428377308787,     	0.016211009472,     	0.11427402905,      	1.414109941205,     	25,    	50,    	26,    	
4,     	1.380002528645,     	0.038426908981,     	0.260575153755,     	1.34697920632,      	51,    	66,    	16,    	
5,     	1.312914023777,     	0.038554349255,     	0.151318015879,     	1.279983336451,     	67,    	87,    	21,    	
6,     	1.243806497348,     	0.04113588505,      	0.130683211503,     	1.208489568489,     	88,    	112,   	25,    	
7,     	1.183974065359,     	0.028081590432,     	0.092680248042,     	1.157077671484,     	113,   	146,   	34,    	
8,     	1.142586737102,     	0.016681938151,     	0.060194199926,     	1.125776850788,     	147,   	200,   	54,    	
9,     	1.108781556595,     	0.019567464568,     	0.084801840596,     	1.086542016577,     	201,   	240,   	40,    	
10,    	1.069595987951,     	0.019537153344,     	0.046763223811,     	1.05138570572,      	241,   	301,   	61,    	
11,    	1.033148275008,     	0.020984149362,     	0.041445416266,     	1.017651425765,     	302,   	350,   	49,    	
12,    	1.001902355027,     	0.018122531845,     	0.043644692498,     	0.985012868931,     	351,   	417,   	67,    	
13,    	0.970107413659,     	0.01718359606,      	0.04951012329,      	0.955333637213,     	418,   	474,   	57,    	
14,    	0.944092231406,     	0.012949247863,     	0.046463540997,     	0.931442632486,     	475,   	552,   	78,    	
15,    	0.914501988394,     	0.019509924755,     	0.059449495841,     	0.89606986441,      	553,   	619,   	67,    	
16,    	0.881064903257,     	0.017374006321,     	0.054755861347,     	0.866053354961,     	620,   	705,   	86,    	
17,    	0.854309253285,     	0.013573383346,     	0.048652421474,     	0.845339951053,     	706,   	787,   	82,    	
18,    	0.831463841847,     	0.015983188356,     	0.060488025547,     	0.817921382281,     	788,   	867,   	80,    	
19,    	0.806186632214,     	0.013563595515,     	0.045830806301,     	0.794237537449,     	868,   	963,   	96,    	
20,    	0.777782416875,     	0.018980968174,     	0.04115632936,      	0.764131917053,     	964,   	1050,  	87,    	
21,    	0.752303265736,     	0.015410508999,     	0.040909460976,     	0.740040758169,     	1051,  	1142,  	92,    	
22,    	0.728749635373,     	0.013075297041,     	0.041989094909,     	0.723225480006,     	1143,  	1239,  	97,    	
23,    	0.708852069066,     	0.016596960575,     	0.037653678074,     	0.694507878479,     	1240,  	1331,  	92,    	
24,    	0.683045776085,     	0.013252678825,     	0.039972528434,     	0.6734203615,       	1332,  	1430,  	99,    	
25,    	0.661041210566,     	0.014335410135,     	0.041415698673,     	0.657581286397,     	1431,  	1533,  	103,   	
26,    	0.641430258778,     	0.01962084973,      	0.032938367428,     	0.624473498574,     	1534,  	1628,  	95,    	
27,    	0.611508316379,     	0.015050547882,     	0.026927807496,     	0.599282313176,     	1629,  	1735,  	107,   	
28,    	0.588210259476,     	0.012788137357,     	0.037867284086,     	0.579359654008,     	1736,  	1843,  	108,   	
29,    	0.567574558649,     	0.014443394175,     	0.024119856325,     	0.556979625334,     	1844,  	1948,  	105,   	
30,    	0.544266437019,     	0.014673697964,     	0.038857635885,     	0.530769463592,     	1949,  	2059,  	111,   	
31,    	0.519562429831,     	0.012988380903,     	0.043907524705,     	0.508936628986,     	2060,  	2166,  	107,   	
32,    	0.494944814004,     	0.016151992402,     	0.037050064428,     	0.490540029256,     	2167,  	2270,  	104,   	
33,    	0.475416456714,     	0.017489012858,     	0.032065787307,     	0.463026183132,     	2271,  	2388,  	118,   	
34,    	0.448588518234,     	0.016665120211,     	0.027217190223,     	0.433629355175,     	2389,  	2498,  	110,   	
35,    	0.420390711347,     	0.015317752529,     	0.02718226991,      	0.407138001125,     	2499,  	2613,  	115,   	
36,    	0.392238729996,     	0.017634009589,     	0.031827432511,     	0.376982914383,     	2614,  	2730,  	117,   	
37,    	0.364061505169,     	0.014960841696,     	0.036304880608,     	0.351115456049,     	2731,  	2849,  	119,   	
38,    	0.339806715676,     	0.013092930587,     	0.028186407631,     	0.328223808238,     	2850,  	2980,  	131,   	
39,    	0.313964319238,     	0.018050902775,     	0.033779175089,     	0.298563691295,     	2981,  	3101,  	121,   	
40,    	0.283254076041,     	0.018358714958,     	0.027505461973,     	0.278791160585,     	3102,  	3224,  	123,   	
41,    	0.267516928904,     	0.013042680445,     	0.024718582416,     	0.260191174967,     	3225,  	3350,  	126,   	
42,    	0.245403515115,     	0.01706931658,      	0.031416438889,     	0.231530143824,     	3351,  	3472,  	122,   	
43,    	0.219161253319,     	0.014276381745,     	0.035371862404,     	0.208884498641,     	3473,  	3605,  	133,   	
44,    	0.197904678401,     	0.012713034642,     	0.024211357971,     	0.193134054953,     	3606,  	3738,  	133,   	
45,    	0.181111314932,     	0.013912686842,     	0.030351841793,     	0.172564063933,     	3739,  	3864,  	126,   	
46,    	0.161071846936,     	0.014846514295,     	0.030311383291,     	0.155299153026,     	3865,  	3991,  	127,   	
47,    	0.14300074723,      	0.014212697512,     	0.031633035815,     	0.130688363309,     	3992,  	4128,  	137,   	
48,    	0.115274904832,     	0.017806073857,     	0.023886558676,     	0.099858574262,     	4129,  	4256,  	128,   	
49,    	0.087890084721,     	0.013828557462,     	0.032176137717,     	0.077592194476,     	4257,  	4385,  	129,   	
50,    	0.062766040229,     	0.01713902865,      	0.025301240136,     	0.047925150489,     	4386,  	4518,  	133,   	
51,    	0.034093211514,     	0.016036028559,     	0.031850949801,     	0.02753661062,      	4519,  	4635,  	117,   	
52,    	0.013929268017,     	0.015739122739,     	0.025395340767,     	0.000298937873,     	4636,  	4775,  	140,   	
53,    	0,                  	0.0058095616,       	0.013465957439,     	-0.002598083174,    	4776,  	5043,  	268,   	
