number	direction_ind	# of covercap	
0	10	2	
1	11	2	
2	13	4	
3	23	2	
4	60	2	
5	86	2	
6	124	2	
7	128	2	
8	154	2	
9	155	2	
10	156	2	
11	200	2	
12	458	2	
13	491	2	
14	563	2	
15	568	2	
16	572	2	
17	573	2	
18	632	2	
19	713	2	
20	722	2	
21	726	2	
22	812	2	
23	813	2	
24	814	2	
25	815	2	
26	834	2	
27	872	2	
28	902	2	
29	904	2	
30	920	2	
31	999	2	
32	1094	2	
33	1095	2	
34	1295	2	
35	1302	2	
36	1344	2	
37	1360	2	
38	1368	2	
39	1382	2	
40	1390	2	
41	1483	2	
42	1492	2	
43	1506	2	
44	1508	2	
45	1517	2	
46	1518	2	
47	1539	2	
48	1547	2	
49	1549	2	
50	1553	2	
51	1561	2	
52	1567	2	
53	1570	2	
54	1580	2	
55	1584	2	
56	1588	2	
57	1589	2	
58	1593	2	
59	1597	2	
60	1609	2	
61	1610	2	
62	1635	2	
63	1644	2	
64	1666	2	
65	1669	2	
66	1674	2	
67	1679	2	
68	1681	2	
69	1682	2	
70	1688	2	
71	1695	2	
72	1696	2	
73	1697	2	
74	1698	2	
75	1705	2	
76	1714	2	
77	1716	2	
78	1718	2	
79	1719	2	
80	1725	2	
81	1735	2	
82	1757	2	
83	1769	2	
84	1783	2	
85	1789	2	
86	1793	2	
87	1795	2	
88	1796	2	
89	1797	2	
90	1804	2	
91	1808	2	
92	1816	2	
93	1817	2	
94	1819	2	
95	1820	2	
96	1827	2	
97	1828	2	
98	1829	2	
99	1830	2	
100	1834	2	
101	1849	2	
102	1855	2	
103	1869	2	
104	1885	2	
105	1899	2	
106	1902	2	
107	1905	2	
108	1908	2	
109	1909	2	
110	1915	2	
111	1929	2	
112	1938	2	
113	1943	2	
114	1944	2	
115	1958	2	
116	1959	2	
117	1960	2	
118	1962	2	
119	1967	2	
120	1968	2	
121	1970	2	
122	1971	2	
123	1977	2	
124	1991	2	
125	1994	2	
126	1997	2	
127	2000	2	
128	2003	2	
129	2006	2	
130	2008	2	
131	2011	2	
132	2012	2	
133	2014	2	
134	2015	2	
135	2018	2	
136	2019	2	
137	2020	2	
138	2021	2	
139	2022	2	
140	2024	2	
141	2025	2	
142	2045	2	
143	2049	2	
144	2053	2	
145	2056	2	
146	2059	2	
147	2072	2	
148	2075	2	
149	2114	2	
150	2115	2	
151	2118	2	
152	2123	2	
153	2126	2	
154	2129	2	
155	2134	2	
156	2139	2	
157	2276	2	
158	2277	2	
159	2278	2	
160	2299	2	
161	2315	2	
162	2410	2	
163	2417	2	
164	2432	2	
165	2439	2	
166	2440	2	
167	2447	2	
168	2459	2	
169	2519	2	
170	2557	2	
171	2566	2	
172	2575	2	
173	2597	2	
174	2602	2	
175	2610	2	
176	2612	2	
177	2613	2	
178	2656	2	
179	2687	2	
180	2708	2	
181	2710	2	
182	2750	2	
183	2753	2	
184	2754	2	
185	2756	2	
186	2758	2	
187	2759	2	
188	2761	2	
189	2762	2	
190	2763	2	
191	2764	2	
192	2765	2	
193	2824	2	
194	2852	2	
195	2862	2	
196	2927	2	
197	2928	2	
198	2929	2	
199	2931	2	
200	2932	2	
201	2933	2	
202	3019	2	
203	3036	2	
204	3040	2	
205	3091	2	
206	3095	2	
207	3096	2	
208	3097	2	
209	3104	2	
210	3105	2	
211	3120	2	
212	3216	2	
213	3227	2	
214	3259	2	
215	3260	2	
216	3261	2	
217	3268	2	
218	3273	2	
219	3274	2	
220	3275	2	
221	3276	2	
222	3298	2	
223	3308	2	
224	3311	2	
225	3383	2	
226	3420	2	
227	3422	2	
228	3424	2	
229	3425	2	
230	3430	2	
231	3443	2	
232	3445	2	
233	3500	2	
234	3533	2	
235	3534	2	
236	3591	2	
237	3615	2	
238	3617	2	
239	3618	2	
240	3621	2	
241	3623	2	
242	3629	2	
243	3631	2	
244	3633	2	
245	3636	2	
246	3638	2	
247	3690	2	
248	3695	2	
249	3731	2	
250	3752	2	
251	3764	2	
252	3765	2	
253	3767	2	
254	3768	2	
255	3778	2	
256	3783	2	
257	3785	2	
258	3798	2	
259	3799	2	
260	3801	2	
261	3874	2	
262	3895	2	
263	3907	2	
264	3953	2	
265	3954	2	
266	3972	2	
267	3973	2	
268	3992	2	
269	3993	2	
270	4034	2	
271	4043	2	
272	4069	2	
273	4075	2	
274	4102	2	
275	4147	2	
276	4148	2	
277	4188	2	
278	4192	2	
279	4239	2	
280	4241	2	
281	4257	2	
282	4272	2	
283	4277	2	
284	4288	2	
285	4289	2	
286	4348	2	
287	4351	2	
288	4352	2	
289	4358	2	
290	4399	2	
291	4451	2	
292	4456	2	
293	4495	2	
294	4542	2	
295	4586	2	
296	4604	2	
297	4669	2	
298	4680	2	
299	4684	2	
300	4688	2	
301	4697	2	
302	4699	2	
303	4700	2	
304	4701	2	
305	4702	2	
306	4706	2	
307	4717	2	
308	4720	2	
309	4722	2	
310	4737	2	
311	4771	2	
312	4772	2	
313	4775	2	
314	4787	2	
315	4907	2	
316	4910	2	
317	4913	2	
318	4918	2	
319	4922	2	
320	4930	2	
321	4939	2	
322	4952	2	
323	5113	2	
324	5124	2	
325	5128	2	
326	5135	2	
327	5137	2	
328	5341	2	
329	5344	2	
330	5348	2	
331	5351	2	
332	5355	2	
333	5364	2	
334	5368	2	
335	5547	2	
336	5551	2	
337	5554	2	
338	5555	2	
339	5557	2	
340	5558	2	
341	5598	2	
342	5601	2	
343	5765	2	
344	5768	2	
345	5771	2	
346	5828	2	
347	5830	2	
348	5831	2	
349	5833	2	
350	5836	2	
351	5991	2	
352	6064	2	
353	6066	2	
354	6217	2	
355	6220	2	
356	6221	2	
357	6222	2	
358	6223	2	
359	6224	2	
360	6225	2	
361	6297	2	
362	6302	2	
363	6304	2	
364	6305	2	
365	6306	2	
366	6307	2	
367	6308	2	
368	6309	2	
369	6323	2	
370	6341	2	
371	6460	2	
372	6461	2	
373	6462	2	
374	6544	2	
375	6555	2	
376	6557	2	
377	6808	2	
378	6913	2	
379	6949	2	
380	6950	2	
381	6951	2	
382	6952	2	
383	6953	2	
384	6954	2	
385	7046	2	
386	7049	2	
387	7050	2	
388	7051	2	
389	7052	2	
390	7053	2	
391	7054	2	
392	7066	2	
393	7121	2	
394	7125	2	
395	7145	2	
396	7164	2	
397	7165	2	
398	7170	2	
399	7173	2	
400	7178	2	
401	7182	2	
402	7184	2	
403	7185	2	
404	7186	2	
405	7187	2	
406	7188	2	
407	7189	2	
408	7190	2	
409	7191	2	
410	7211	2	
411	7261	2	
412	7262	2	
413	7266	2	
414	7279	2	
415	7286	2	
416	7290	2	
417	7291	2	
418	7292	2	
419	7293	2	
420	7294	2	
421	7295	2	
422	7296	2	
423	7297	2	
424	7298	2	
425	7303	2	
426	7306	2	
427	7307	2	
428	7311	2	
429	7314	2	
430	7334	2	
431	7362	2	
432	7365	2	
433	7370	2	
434	7382	2	
435	7415	2	
436	7418	2	
437	7422	2	
438	7426	2	
439	7427	2	
440	7428	2	
441	7429	2	
442	7430	2	
443	7431	2	
444	7434	2	
445	7443	2	
446	7445	2	
447	7462	2	
448	7536	2	
449	7539	2	
450	7540	2	
451	7541	2	
452	7542	2	
453	7543	2	
