number	direction_ind	# of covercap	
0	21	4	
1	37	2	
2	40	2	
3	41	2	
4	42	2	
5	43	2	
6	44	2	
7	88	2	
8	89	2	
9	90	2	
10	97	2	
11	108	2	
12	116	2	
13	117	2	
14	118	2	
15	125	2	
16	181	2	
17	183	2	
18	186	2	
19	191	2	
20	262	2	
21	348	2	
22	350	2	
23	352	2	
24	362	2	
25	373	2	
26	378	2	
27	379	2	
28	382	2	
29	400	2	
30	403	2	
31	405	2	
32	407	2	
33	410	2	
34	432	2	
35	484	2	
36	487	2	
37	570	2	
38	574	2	
39	575	2	
40	579	2	
41	590	2	
42	606	2	
43	617	2	
44	633	2	
45	639	2	
46	786	2	
47	951	2	
48	981	2	
49	992	2	
50	1077	2	
51	1079	2	
52	1099	2	
53	1101	2	
54	1143	2	
55	1176	3	
56	1179	2	
57	1180	2	
58	1181	2	
59	1212	2	
60	1214	3	
61	1215	3	
62	1216	2	
63	1288	2	
64	1332	2	
65	1375	2	
66	1450	2	
67	1452	2	
68	1517	2	
69	1518	2	
70	1571	2	
71	1572	2	
72	1573	2	
73	1582	2	
74	1606	2	
75	1608	2	
76	1610	2	
77	1621	2	
78	1625	2	
79	1634	2	
80	1635	2	
81	1637	2	
82	1638	2	
83	1676	2	
84	1688	2	
85	1693	2	
86	1699	2	
87	1730	2	
88	1749	2	
89	1883	2	
90	1998	2	
91	2003	2	
92	2004	2	
93	2008	2	
94	2042	2	
95	2054	2	
96	2080	2	
97	2081	2	
98	2098	2	
99	2103	2	
100	2108	2	
101	2109	2	
102	2111	2	
103	2115	2	
104	2121	2	
105	2131	2	
106	2133	2	
107	2135	2	
108	2136	2	
109	2137	2	
110	2139	2	
111	2140	2	
112	2142	2	
113	2155	2	
114	2160	2	
115	2177	2	
116	2195	2	
117	2197	2	
118	2200	2	
119	2201	2	
120	2204	2	
121	2206	2	
122	2216	2	
123	2222	2	
124	2226	2	
125	2227	2	
126	2228	2	
127	2256	2	
128	2257	2	
129	2334	2	
130	2335	2	
131	2336	2	
132	2383	2	
133	2384	2	
134	2385	2	
135	2386	2	
136	2387	2	
137	2392	2	
138	2393	2	
139	2396	2	
140	2397	2	
141	2399	2	
142	2425	2	
143	2439	2	
144	2442	2	
145	2454	2	
146	2459	2	
147	2462	2	
148	2463	2	
149	2464	2	
150	2465	2	
151	2466	2	
152	2467	2	
153	2468	2	
154	2470	2	
155	2471	2	
156	2472	2	
157	2473	2	
158	2480	2	
159	2488	2	
160	2508	2	
161	2514	2	
162	2517	2	
163	2524	2	
164	2599	2	
165	2607	2	
166	2650	2	
167	2651	2	
168	2652	2	
169	2657	2	
170	2669	2	
171	2677	2	
172	2678	2	
173	2679	2	
174	2700	2	
175	2705	2	
176	2708	2	
177	2722	2	
178	2723	2	
179	2724	2	
180	2742	2	
181	2746	2	
182	2749	2	
183	2769	2	
184	2818	2	
185	2821	2	
186	2830	2	
187	2831	2	
188	2850	2	
189	2852	2	
190	2854	2	
191	2859	2	
192	2861	2	
193	2862	2	
194	2868	2	
195	2870	2	
196	2873	2	
197	2880	2	
198	2882	2	
199	2885	2	
200	2888	2	
201	2890	2	
202	2898	2	
203	2947	2	
204	2960	2	
205	2966	2	
206	2988	2	
207	3011	2	
208	3252	2	
209	3310	2	
210	3314	2	
211	3320	2	
212	3334	2	
213	3365	2	
214	3374	2	
215	3385	2	
216	3386	2	
217	3399	2	
218	3405	2	
219	3432	2	
220	3436	2	
221	3457	2	
222	3468	2	
223	3476	2	
224	3545	2	
225	3582	2	
226	3641	2	
227	3653	2	
228	3657	2	
229	3674	2	
230	3678	2	
231	3699	2	
232	3730	2	
233	3731	2	
234	3732	2	
235	3738	2	
236	3793	2	
237	3825	2	
238	3832	2	
239	3841	2	
240	3849	2	
241	3870	2	
242	3898	2	
243	3948	2	
244	3950	2	
245	3953	2	
246	3954	2	
247	3956	2	
248	4000	2	
249	4001	2	
250	4039	2	
251	4045	2	
252	4084	2	
253	4087	2	
254	4088	2	
255	4110	2	
256	4112	2	
257	4123	2	
258	4163	2	
259	4231	2	
260	4232	2	
261	4238	2	
262	4244	2	
263	4250	2	
264	4263	2	
265	4274	2	
266	4299	2	
267	4351	2	
268	4386	2	
269	4388	2	
270	4398	2	
271	4564	2	
272	4567	2	
273	4603	2	
274	4613	2	
275	4649	2	
276	4655	2	
277	4688	2	
278	4701	2	
279	4715	2	
280	4719	2	
281	4734	2	
282	4767	2	
283	4775	2	
284	4894	2	
285	4897	2	
286	4925	2	
287	4927	2	
288	4933	2	
289	4970	2	
290	4980	2	
291	5029	2	
292	5031	2	
293	5033	2	
294	5036	2	
295	5041	2	
296	5049	2	
297	5058	2	
298	5064	2	
299	5069	2	
300	5074	2	
301	5089	2	
302	5095	2	
303	5101	2	
304	5107	2	
305	5108	2	
306	5110	2	
307	5114	2	
308	5115	2	
309	5118	2	
310	5126	2	
311	5127	2	
312	5138	2	
313	5148	2	
314	5151	2	
315	5159	2	
316	5172	2	
317	5185	2	
318	5193	2	
319	5196	2	
320	5278	2	
321	5322	2	
322	5364	2	
323	5367	2	
324	5390	2	
325	5396	2	
326	5398	2	
327	5432	2	
328	5433	2	
329	5435	2	
330	5436	2	
331	5437	2	
332	5439	4	
333	5440	3	
334	5448	2	
335	5452	2	
336	5453	2	
337	5459	2	
338	5473	2	
339	5476	2	
340	5489	2	
341	5492	2	
342	5496	2	
343	5504	2	
344	5512	2	
345	5540	2	
346	5573	2	
347	5574	2	
348	5588	2	
349	5600	2	
350	5603	2	
351	5604	3	
352	5605	2	
353	5606	2	
354	5608	3	
355	5609	2	
356	5645	2	
357	5675	2	
358	5709	2	
359	5733	2	
360	5738	2	
361	5756	2	
362	5761	2	
363	5764	2	
364	5765	3	
365	5766	4	
366	5767	7	
367	5768	6	
368	5769	7	
369	5770	4	
370	5771	4	
371	5772	3	
372	5773	4	
373	5774	3	
374	5776	2	
375	5777	2	
376	5780	2	
377	5783	2	
378	5784	2	
379	5787	2	
380	5792	2	
381	5795	2	
382	5800	2	
383	5802	2	
384	5805	2	
385	5811	2	
386	5923	2	
387	5939	2	
388	5944	2	
389	5945	2	
390	5946	3	
391	5948	2	
392	5949	2	
393	5951	2	
394	5952	3	
395	5953	6	
396	5954	10	
397	5955	9	
398	5956	5	
399	5957	6	
400	5958	5	
401	5959	4	
402	5960	4	
403	5961	6	
404	5962	5	
405	5963	2	
406	5964	4	
407	5965	3	
408	5968	2	
409	5969	2	
410	5970	2	
411	5975	2	
412	5977	3	
