This run aims to check if discrepancy is less than 0.0126
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.025577218322,     	0.0,                	0.999672849438,     	0.0,                	1.545216318907,     	1.0,                	0.003046309626,     	0.007680997261,     	0.007680997261,     	Normal,             	
1,     	0.024423892769,     	0.007593915926,     	0.999672849438,     	0.301446253986,     	1.545216318907,     	1.0,                	0.002983337877,     	0.008355960612,     	0.008355960612,     	Normal,             	
2,     	0.020672937139,     	0.015060669545,     	0.999672849438,     	0.629612261942,     	1.545216318907,     	1.0,                	0.002941244091,     	0.008334664411,     	0.008334664411,     	Normal,             	
3,     	0.01473321054,      	0.020907572894,     	0.999672849438,     	0.956934339962,     	1.545216318907,     	1.0,                	0.002965278406,     	0.008390662173,     	0.008390662173,     	Normal,             	
4,     	0.007174549927,     	0.024550354996,     	0.999672849438,     	1.286475634442,     	1.545216318907,     	1.0,                	0.003018270698,     	0.007757276115,     	0.007757276115,     	Normal,             	
5,     	-0.000515151823,    	0.025572029949,     	0.999672849438,     	1.590938730588,     	1.545216318907,     	1.0,                	0.003002499167,     	0.008302666702,     	0.008302666702,     	Normal,             	
6,     	-0.008678925864,    	0.024059724499,     	0.999672849438,     	1.916992907739,     	1.545216318907,     	1.0,                	0.002977610175,     	0.0083321524,       	0.0083321524,       	Normal,             	
7,     	-0.015951547563,    	0.019993554648,     	0.999672849438,     	2.244215443205,     	1.545216318907,     	1.0,                	0.00294314591,      	0.008334479772,     	0.008334479772,     	Normal,             	
8,     	-0.021532623066,    	0.013803631442,     	0.999672849438,     	2.57153020457,      	1.545216318907,     	1.0,                	0.002963323661,     	0.008274838309,     	0.008274838309,     	Normal,             	
9,     	-0.024812726263,    	0.006206666781,     	0.999672849438,     	2.896481796445,     	1.545216318907,     	1.0,                	0.002979367712,     	0.008296930998,     	0.008296930998,     	Normal,             	
