Point's Coordinates for twisted_polar_coordinates_52

num,   	x,,                 	y,,                 	z,,                 	theta,,             	phi,,               	norm,               	

1,     	0.060360867751,     	0.001458970629,     	-0.998175554223,    	0.024166097335,     	-1.510381083457,    	1.0,                	
2,     	0.017264970406,     	0.057857443323,     	-0.998175554223,    	1.280803158771,     	-1.510381083457,    	1.0,                	
3,     	-0.049690529225,    	0.034298895846,     	-0.998175554223,    	2.537440220207,     	-1.510381083457,    	1.0,                	
4,     	-0.047975406386,    	-0.036659559913,    	-0.998175554223,    	3.794077281643,     	-1.510381083457,    	1.0,                	
5,     	0.020040097455,     	-0.056955749885,    	-0.998175554223,    	5.050714343079,     	-1.510381083457,    	1.0,                	
6,     	0.120507593222,     	0.002647878943,     	-0.992708874098,    	0.021969179396,     	-1.449965840118,    	1.0,                	
7,     	0.099945887095,     	0.067378861224,     	-0.992708874098,    	0.593167843685,     	-1.449965840118,    	1.0,                	
8,     	0.047652067999,     	0.110717531143,     	-0.992708874098,    	1.164366507974,     	-1.449965840118,    	1.0,                	
9,     	-0.019770945993,    	0.118904167217,     	-0.992708874098,    	1.735565172263,     	-1.449965840118,    	1.0,                	
10,    	-0.080916824327,    	0.089339570336,     	-0.992708874098,    	2.306763836552,     	-1.449965840118,    	1.0,                	
11,    	-0.116372182668,    	0.031410291117,     	-0.992708874098,    	2.877962500841,     	-1.449965840118,    	1.0,                	
12,    	-0.114880195259,    	-0.036491533598,    	-0.992708874098,    	3.44916116513,      	-1.449965840118,    	1.0,                	
13,    	-0.076914557559,    	-0.092807554232,    	-0.992708874098,    	4.020359829419,     	-1.449965840118,    	1.0,                	
14,    	-0.014529091287,    	-0.119657832144,    	-0.992708874098,    	4.591558493708,     	-1.449965840118,    	1.0,                	
15,    	0.052469258811,     	-0.108517593812,    	-0.992708874098,    	5.162757157997,     	-1.449965840118,    	1.0,                	
16,    	0.102808989967,     	-0.062923786194,    	-0.992708874098,    	5.733955822286,     	-1.449965840118,    	1.0,                	
17,    	0.180208779006,     	0.004083457642,     	-0.983619906947,    	0.022655716252,     	-1.38955059678,     	1.0,                	
18,    	0.164928530917,     	0.072735537029,     	-0.983619906947,    	0.415354797951,     	-1.38955059678,     	1.0,                	
19,    	0.124539409076,     	0.130314290254,     	-0.983619906947,    	0.808053879649,     	-1.38955059678,     	1.0,                	
20,    	0.065190291156,     	0.168053874089,     	-0.983619906947,    	1.200752961348,     	-1.38955059678,     	1.0,                	
21,    	-0.004083457642,    	0.180208779006,     	-0.983619906947,    	1.593452043047,     	-1.38955059678,     	1.0,                	
22,    	-0.072735537029,    	0.164928530917,     	-0.983619906947,    	1.986151124745,     	-1.38955059678,     	1.0,                	
23,    	-0.130314290254,    	0.124539409076,     	-0.983619906947,    	2.378850206444,     	-1.38955059678,     	1.0,                	
24,    	-0.168053874089,    	0.065190291156,     	-0.983619906947,    	2.771549288143,     	-1.38955059678,     	1.0,                	
25,    	-0.180208779006,    	-0.004083457642,    	-0.983619906947,    	3.164248369842,     	-1.38955059678,     	1.0,                	
26,    	-0.164928530917,    	-0.072735537029,    	-0.983619906947,    	3.55694745154,      	-1.38955059678,     	1.0,                	
27,    	-0.124539409076,    	-0.130314290254,    	-0.983619906947,    	3.949646533239,     	-1.38955059678,     	1.0,                	
28,    	-0.065190291156,    	-0.168053874089,    	-0.983619906947,    	4.342345614938,     	-1.38955059678,     	1.0,                	
29,    	0.004083457642,     	-0.180208779006,    	-0.983619906947,    	4.735044696637,     	-1.38955059678,     	1.0,                	
30,    	0.072735537029,     	-0.164928530917,    	-0.983619906947,    	5.127743778335,     	-1.38955059678,     	1.0,                	
31,    	0.130314290254,     	-0.124539409076,    	-0.983619906947,    	5.520442860034,     	-1.38955059678,     	1.0,                	
32,    	0.168053874089,     	-0.065190291156,    	-0.983619906947,    	5.913141941733,     	-1.38955059678,     	1.0,                	
33,    	0.239257914375,     	0.005257145848,     	-0.970941817426,    	0.021969179396,     	-1.329135353442,    	1.0,                	
34,    	0.228085178583,     	0.072450938464,     	-0.970941817426,    	0.30756851154,      	-1.329135353442,    	1.0,                	
35,    	0.198434338097,     	0.133775186928,     	-0.970941817426,    	0.593167843685,     	-1.329135353442,    	1.0,                	
36,    	0.152707527673,     	0.184261765338,     	-0.970941817426,    	0.878767175829,     	-1.329135353442,    	1.0,                	
37,    	0.094609261543,     	0.219820551368,     	-0.970941817426,    	1.164366507974,     	-1.329135353442,    	1.0,                	
38,    	0.028846315706,     	0.237570783649,     	-0.970941817426,    	1.449965840118,     	-1.329135353442,    	1.0,                	
39,    	-0.039253587073,    	0.236074443927,     	-0.970941817426,    	1.735565172263,     	-1.329135353442,    	1.0,                	
40,    	-0.104173397678,    	0.215452756746,     	-0.970941817426,    	2.021164504407,     	-1.329135353442,    	1.0,                	
41,    	-0.160653699147,    	0.177376368561,     	-0.970941817426,    	2.306763836552,     	-1.329135353442,    	1.0,                	
42,    	-0.204118793354,    	0.124930001893,     	-0.970941817426,    	2.592363168696,     	-1.329135353442,    	1.0,                	
43,    	-0.231047396866,    	0.062362549459,     	-0.970941817426,    	2.877962500841,     	-1.329135353442,    	1.0,                	
44,    	-0.239257914375,    	-0.005257145848,    	-0.970941817426,    	3.163561832986,     	-1.329135353442,    	1.0,                	
45,    	-0.228085178583,    	-0.072450938464,    	-0.970941817426,    	3.44916116513,      	-1.329135353442,    	1.0,                	
46,    	-0.198434338097,    	-0.133775186928,    	-0.970941817426,    	3.734760497275,     	-1.329135353442,    	1.0,                	
47,    	-0.152707527673,    	-0.184261765338,    	-0.970941817426,    	4.020359829419,     	-1.329135353442,    	1.0,                	
48,    	-0.094609261543,    	-0.219820551368,    	-0.970941817426,    	4.305959161564,     	-1.329135353442,    	1.0,                	
49,    	-0.028846315706,    	-0.237570783649,    	-0.970941817426,    	4.591558493708,     	-1.329135353442,    	1.0,                	
50,    	0.039253587073,     	-0.236074443927,    	-0.970941817426,    	4.877157825853,     	-1.329135353442,    	1.0,                	
51,    	0.104173397678,     	-0.215452756746,    	-0.970941817426,    	5.162757157997,     	-1.329135353442,    	1.0,                	
52,    	0.160653699147,     	-0.177376368561,    	-0.970941817426,    	5.448356490142,     	-1.329135353442,    	1.0,                	
53,    	0.204118793354,     	-0.124930001893,    	-0.970941817426,    	5.733955822286,     	-1.329135353442,    	1.0,                	
54,    	0.231047396866,     	-0.062362549459,    	-0.970941817426,    	6.019555154431,     	-1.329135353442,    	1.0,                	
55,    	0.297428579142,     	0.006656377617,     	-0.954720866509,    	0.022376016051,     	-1.268720110104,    	1.0,                	
56,    	0.287876286978,     	0.075068704859,     	-0.954720866509,    	0.255086582984,     	-1.268720110104,    	1.0,                	
57,    	0.262804509669,     	0.139434058791,     	-0.954720866509,    	0.487797149916,     	-1.268720110104,    	1.0,                	
58,    	0.223564873219,     	0.196282486523,     	-0.954720866509,    	0.720507716849,     	-1.268720110104,    	1.0,                	
59,    	0.172272796586,     	0.242549274601,     	-0.954720866509,    	0.953218283782,     	-1.268720110104,    	1.0,                	
60,    	0.111693448899,     	0.275740168503,     	-0.954720866509,    	1.185928850714,     	-1.268720110104,    	1.0,                	
61,    	0.04509267847,      	0.294065838549,     	-0.954720866509,    	1.418639417647,     	-1.268720110104,    	1.0,                	
62,    	-0.023939049926,    	0.296538343122,     	-0.954720866509,    	1.651349984579,     	-1.268720110104,    	1.0,                	
63,    	-0.091680217945,    	0.283024388862,     	-0.954720866509,    	1.884060551512,     	-1.268720110104,    	1.0,                	
64,    	-0.154478881684,    	0.25425251654,      	-0.954720866509,    	2.116771118444,     	-1.268720110104,    	1.0,                	
65,    	-0.208949548926,    	0.21177382524,      	-0.954720866509,    	2.349481685377,     	-1.268720110104,    	1.0,                	
66,    	-0.2521556919,      	0.157878352206,     	-0.954720866509,    	2.58219225231,      	-1.268720110104,    	1.0,                	
67,    	-0.281768056257,    	0.09547161634,      	-0.954720866509,    	2.814902819242,     	-1.268720110104,    	1.0,                	
68,    	-0.296190231767,    	0.027917980924,     	-0.954720866509,    	3.047613386175,     	-1.268720110104,    	1.0,                	
69,    	-0.294644715217,    	-0.041140720069,    	-0.954720866509,    	3.280323953107,     	-1.268720110104,    	1.0,                	
70,    	-0.277214825804,    	-0.107981514195,    	-0.954720866509,    	3.51303452004,      	-1.268720110104,    	1.0,                	
71,    	-0.244840213377,    	-0.16900099694,     	-0.954720866509,    	3.745745086972,     	-1.268720110104,    	1.0,                	
72,    	-0.199266201672,    	-0.220909592196,    	-0.954720866509,    	3.978455653905,     	-1.268720110104,    	1.0,                	
73,    	-0.142949697458,    	-0.260908894156,    	-0.954720866509,    	4.211166220838,     	-1.268720110104,    	1.0,                	
74,    	-0.078926738052,    	-0.286842530099,    	-0.954720866509,    	4.44387678777,      	-1.268720110104,    	1.0,                	
75,    	-0.010648817768,    	-0.297312410998,    	-0.954720866509,    	4.676587354703,     	-1.268720110104,    	1.0,                	
76,    	0.058203183038,     	-0.291754102863,    	-0.954720866509,    	4.909297921635,     	-1.268720110104,    	1.0,                	
77,    	0.123917435181,     	-0.270467255525,    	-0.954720866509,    	5.142008488568,     	-1.268720110104,    	1.0,                	
78,    	0.182951266318,     	-0.234599448434,    	-0.954720866509,    	5.3747190555,       	-1.268720110104,    	1.0,                	
79,    	0.232122147334,     	-0.186084324354,    	-0.954720866509,    	5.607429622433,     	-1.268720110104,    	1.0,                	
80,    	0.268779263303,     	-0.127537346182,    	-0.954720866509,    	5.840140189366,     	-1.268720110104,    	1.0,                	
81,    	0.290946419618,     	-0.062114796666,    	-0.954720866509,    	6.072850756298,     	-1.268720110104,    	1.0,                	
82,    	0.354513884875,     	0.008033140451,     	-0.935016242685,    	0.022655716252,     	-1.208304866765,    	1.0,                	
83,    	0.346134812026,     	0.077041013869,     	-0.935016242685,    	0.219005257101,     	-1.208304866765,    	1.0,                	
84,    	0.324453972466,     	0.143088244329,     	-0.935016242685,    	0.415354797951,     	-1.208304866765,    	1.0,                	
85,    	0.2903045487,       	0.203636673805,     	-0.935016242685,    	0.6117043388,       	-1.208304866765,    	1.0,                	
86,    	0.244998883933,     	0.256359460107,     	-0.935016242685,    	0.808053879649,     	-1.208304866765,    	1.0,                	
87,    	0.190278049452,     	0.299230496125,     	-0.935016242685,    	1.004403420499,     	-1.208304866765,    	1.0,                	
88,    	0.128244936241,     	0.330602271987,     	-0.935016242685,    	1.200752961348,     	-1.208304866765,    	1.0,                	
89,    	0.06128344205,      	0.349269187941,     	-0.935016242685,    	1.397102502197,     	-1.208304866765,    	1.0,                	
90,    	-0.008033140451,    	0.354513884875,     	-0.935016242685,    	1.593452043047,     	-1.208304866765,    	1.0,                	
91,    	-0.077041013869,    	0.346134812026,     	-0.935016242685,    	1.789801583896,     	-1.208304866765,    	1.0,                	
92,    	-0.143088244329,    	0.324453972466,     	-0.935016242685,    	1.986151124745,     	-1.208304866765,    	1.0,                	
93,    	-0.203636673805,    	0.2903045487,       	-0.935016242685,    	2.182500665595,     	-1.208304866765,    	1.0,                	
94,    	-0.256359460107,    	0.244998883933,     	-0.935016242685,    	2.378850206444,     	-1.208304866765,    	1.0,                	
95,    	-0.299230496125,    	0.190278049452,     	-0.935016242685,    	2.575199747294,     	-1.208304866765,    	1.0,                	
96,    	-0.330602271987,    	0.128244936241,     	-0.935016242685,    	2.771549288143,     	-1.208304866765,    	1.0,                	
97,    	-0.349269187941,    	0.06128344205,      	-0.935016242685,    	2.967898828992,     	-1.208304866765,    	1.0,                	
98,    	-0.354513884875,    	-0.008033140451,    	-0.935016242685,    	3.164248369842,     	-1.208304866765,    	1.0,                	
99,    	-0.346134812026,    	-0.077041013869,    	-0.935016242685,    	3.360597910691,     	-1.208304866765,    	1.0,                	
100,   	-0.324453972466,    	-0.143088244329,    	-0.935016242685,    	3.55694745154,      	-1.208304866765,    	1.0,                	
101,   	-0.2903045487,      	-0.203636673805,    	-0.935016242685,    	3.75329699239,      	-1.208304866765,    	1.0,                	
102,   	-0.244998883933,    	-0.256359460107,    	-0.935016242685,    	3.949646533239,     	-1.208304866765,    	1.0,                	
103,   	-0.190278049452,    	-0.299230496125,    	-0.935016242685,    	4.145996074088,     	-1.208304866765,    	1.0,                	
104,   	-0.128244936241,    	-0.330602271987,    	-0.935016242685,    	4.342345614938,     	-1.208304866765,    	1.0,                	
105,   	-0.06128344205,     	-0.349269187941,    	-0.935016242685,    	4.538695155787,     	-1.208304866765,    	1.0,                	
106,   	0.008033140451,     	-0.354513884875,    	-0.935016242685,    	4.735044696637,     	-1.208304866765,    	1.0,                	
107,   	0.077041013869,     	-0.346134812026,    	-0.935016242685,    	4.931394237486,     	-1.208304866765,    	1.0,                	
108,   	0.143088244329,     	-0.324453972466,    	-0.935016242685,    	5.127743778335,     	-1.208304866765,    	1.0,                	
109,   	0.203636673805,     	-0.2903045487,      	-0.935016242685,    	5.324093319185,     	-1.208304866765,    	1.0,                	
110,   	0.256359460107,     	-0.244998883933,    	-0.935016242685,    	5.520442860034,     	-1.208304866765,    	1.0,                	
111,   	0.299230496125,     	-0.190278049452,    	-0.935016242685,    	5.716792400883,     	-1.208304866765,    	1.0,                	
112,   	0.330602271987,     	-0.128244936241,    	-0.935016242685,    	5.913141941733,     	-1.208304866765,    	1.0,                	
113,   	0.349269187941,     	-0.06128344205,     	-0.935016242685,    	6.109491482582,     	-1.208304866765,    	1.0,                	
114,   	0.410305575114,     	0.009381146496,     	-0.911899845992,    	0.022859821804,     	-1.147889623427,    	1.0,                	
115,   	0.402818281484,     	0.07858818602,      	-0.911899845992,    	0.192675640917,     	-1.147889623427,    	1.0,                	
116,   	0.383742639304,     	0.145534386518,     	-0.911899845992,    	0.36249146003,      	-1.147889623427,    	1.0,                	
117,   	0.353627420071,     	0.20829382769,      	-0.911899845992,    	0.532307279143,     	-1.147889623427,    	1.0,                	
118,   	0.313338983809,     	0.265061034679,     	-0.911899845992,    	0.702123098256,     	-1.147889623427,    	1.0,                	
119,   	0.264036355478,     	0.314202918295,     	-0.911899845992,    	0.871938917368,     	-1.147889623427,    	1.0,                	
120,   	0.20713788193,      	0.35430575602,      	-0.911899845992,    	1.041754736481,     	-1.147889623427,    	1.0,                	
121,   	0.144280428654,     	0.384215862227,     	-0.911899845992,    	1.211570555594,     	-1.147889623427,    	1.0,                	
122,   	0.077272290136,     	0.403072777618,     	-0.911899845992,    	1.381386374707,     	-1.147889623427,    	1.0,                	
123,   	0.00804116852,      	0.41033402307,      	-0.911899845992,    	1.55120219382,      	-1.147889623427,    	1.0,                	
124,   	-0.061421282873,    	0.405790705771,     	-0.911899845992,    	1.721018012933,     	-1.147889623427,    	1.0,                	
125,   	-0.129116755788,    	0.389573528688,     	-0.911899845992,    	1.890833832046,     	-1.147889623427,    	1.0,                	
126,   	-0.193097774721,    	0.36214903048,      	-0.911899845992,    	2.060649651159,     	-1.147889623427,    	1.0,                	
127,   	-0.251523722248,    	0.324306164028,     	-0.911899845992,    	2.230465470272,     	-1.147889623427,    	1.0,                	
128,   	-0.302713790233,    	0.277133599699,     	-0.911899845992,    	2.400281289385,     	-1.147889623427,    	1.0,                	
129,   	-0.345195333623,    	0.221988406283,     	-0.911899845992,    	2.570097108498,     	-1.147889623427,    	1.0,                	
130,   	-0.377746235761,    	0.160457010592,     	-0.911899845992,    	2.739912927611,     	-1.147889623427,    	1.0,                	
131,   	-0.399430066456,    	0.094309558849,     	-0.911899845992,    	2.909728746724,     	-1.147889623427,    	1.0,                	
132,   	-0.40962302138,     	0.025448992807,     	-0.911899845992,    	3.079544565837,     	-1.147889623427,    	1.0,                	
133,   	-0.408031867778,    	-0.044143694423,    	-0.911899845992,    	3.24936038495,      	-1.147889623427,    	1.0,                	
134,   	-0.394702380241,    	-0.112466447937,    	-0.911899845992,    	3.419176204063,     	-1.147889623427,    	1.0,                	
135,   	-0.370018023858,    	-0.17755374651,     	-0.911899845992,    	3.588992023176,     	-1.147889623427,    	1.0,                	
136,   	-0.334688922618,    	-0.237533147068,    	-0.911899845992,    	3.758807842289,     	-1.147889623427,    	1.0,                	
137,   	-0.289731430442,    	-0.290679151461,    	-0.911899845992,    	3.928623661402,     	-1.147889623427,    	1.0,                	
138,   	-0.236438892524,    	-0.335462845904,    	-0.911899845992,    	4.098439480515,     	-1.147889623427,    	1.0,                	
139,   	-0.176344438151,    	-0.370595885046,    	-0.911899845992,    	4.268255299628,     	-1.147889623427,    	1.0,                	
140,   	-0.111176875362,    	-0.395067555317,    	-0.911899845992,    	4.438071118741,     	-1.147889623427,    	1.0,                	
141,   	-0.042810956289,    	-0.40817385132,     	-0.911899845992,    	4.607886937854,     	-1.147889623427,    	1.0,                	
142,   	0.026786556051,     	-0.40953772878,     	-0.911899845992,    	4.777702756967,     	-1.147889623427,    	1.0,                	
143,   	0.095613467944,     	-0.399119951427,    	-0.911899845992,    	4.94751857608,      	-1.147889623427,    	1.0,                	
144,   	0.161689754447,     	-0.377220219747,    	-0.911899845992,    	5.117334395193,     	-1.147889623427,    	1.0,                	
145,   	0.223114521103,     	-0.344468549149,    	-0.911899845992,    	5.287150214305,     	-1.147889623427,    	1.0,                	
146,   	0.27812068921,      	-0.301807145563,    	-0.911899845992,    	5.456966033418,     	-1.147889623427,    	1.0,                	
147,   	0.325125831461,     	-0.250463299899,    	-0.911899845992,    	5.626781852531,     	-1.147889623427,    	1.0,                	
148,   	0.362777695497,     	-0.191914081114,    	-0.911899845992,    	5.796597671644,     	-1.147889623427,    	1.0,                	
149,   	0.38999310574,      	-0.127843843632,    	-0.911899845992,    	5.966413490757,     	-1.147889623427,    	1.0,                	
150,   	0.405989124391,     	-0.060095771534,    	-0.911899845992,    	6.13622930987,      	-1.147889623427,    	1.0,                	
151,   	0.464600094278,     	0.010694813291,     	-0.885456025653,    	0.023015330796,     	-1.087474380089,    	1.0,                	
152,   	0.45781691588,      	0.07982041198,      	-0.885456025653,    	0.172614980966,     	-1.087474380089,    	1.0,                	
153,   	0.440806864101,     	0.147162954564,     	-0.885456025653,    	0.322214631137,     	-1.087474380089,    	1.0,                	
154,   	0.413949915389,     	0.211218119923,     	-0.885456025653,    	0.471814281308,     	-1.087474380089,    	1.0,                	
155,   	0.377846009599,     	0.27055502151,      	-0.885456025653,    	0.621413931479,     	-1.087474380089,    	1.0,                	
156,   	0.333301648327,     	0.323848170996,     	-0.885456025653,    	0.77101358165,      	-1.087474380089,    	1.0,                	
157,   	0.281311878995,     	0.369907087484,     	-0.885456025653,    	0.920613231821,     	-1.087474380089,    	1.0,                	
158,   	0.22303806714,      	0.407702890891,     	-0.885456025653,    	1.070212881992,     	-1.087474380089,    	1.0,                	
159,   	0.159781953425,     	0.436391285424,     	-0.885456025653,    	1.219812532163,     	-1.087474380089,    	1.0,                	
160,   	0.092956574902,     	0.455331419756,     	-0.885456025653,    	1.369412182334,     	-1.087474380089,    	1.0,                	
161,   	0.024054700102,     	0.464100202583,     	-0.885456025653,    	1.519011832505,     	-1.087474380089,    	1.0,                	
162,   	-0.04538451695,     	0.462501753787,     	-0.885456025653,    	1.668611482676,     	-1.087474380089,    	1.0,                	
163,   	-0.113809918888,    	0.450571780072,     	-0.885456025653,    	1.818211132847,     	-1.087474380089,    	1.0,                	
