This run aims to check if discrepancy is less than 0.0151
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.030490063452,     	0.0,                	0.999535069935,     	0.0,                	1.540301537215,     	1.0,                	0.003706020502,     	0.009398521057,     	0.009398521057,     	Normal,             	
1,     	0.029041522713,     	0.009286222471,     	0.999535069935,     	0.309482260077,     	1.540301537215,     	1.0,                	0.003679771898,     	0.009488810778,     	0.009488810778,     	Normal,             	
2,     	0.024780400251,     	0.017764451375,     	0.999535069935,     	0.621961966037,     	1.540301537215,     	1.0,                	0.003666620095,     	0.009592035564,     	0.009592035564,     	Normal,             	
3,     	0.018035094025,     	0.024584128067,     	0.999535069935,     	0.937869404867,     	1.540301537215,     	1.0,                	0.003666213467,     	0.00960875851,      	0.00960875851,      	Normal,             	
4,     	0.009488757317,     	0.028975980637,     	0.999535069935,     	1.25433224186,      	1.540301537215,     	1.0,                	0.003701751913,     	0.009572440414,     	0.009572440414,     	Normal,             	
5,     	3.6813813e-05,      	0.030490041227,     	0.999535069935,     	1.56958892289,      	1.540301537215,     	1.0,                	0.003649115605,     	0.009621969276,     	0.009621969276,     	Normal,             	
6,     	-0.009466446425,    	0.028983277271,     	0.999535069935,     	1.886490529827,     	1.540301537215,     	1.0,                	0.003647063686,     	0.0096585478,       	0.0096585478,       	Normal,             	
7,     	-0.018056815733,    	0.024568178094,     	0.999535069935,     	2.204607101725,     	1.540301537215,     	1.0,                	0.003653752284,     	0.009736922738,     	0.009736922738,     	Normal,             	
8,     	-0.024881195111,    	0.017622999153,     	0.999535069935,     	2.525327316441,     	1.540301537215,     	1.0,                	0.003679342822,     	0.009741502255,     	0.009741502255,     	Normal,             	
9,     	-0.029169472205,    	0.00887613996,      	0.999535069935,     	2.846199681217,     	1.540301537215,     	1.0,                	0.003700110023,     	0.009650936038,     	0.009650936038,     	Normal,             	
