This run aims to check if discrepancy is less than 0.0077
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.555101974807,     	0.00467549789,      	0.302552848079,     	1.551201480713,     	0,     	11,    	12,    	
2,     	1.541760790396,     	0.010401249409,     	0.364402595434,     	1.533219793288,     	12,    	21,    	10,    	
3,     	1.525034921803,     	0.009326120919,     	0.206723100906,     	1.517181533003,     	22,    	38,    	17,    	
4,     	1.509181560356,     	0.009474837155,     	0.155887929658,     	1.50113947881,      	39,    	60,    	22,    	
5,     	1.493373444648,     	0.009049007842,     	0.127611862396,     	1.485523415959,     	61,    	87,    	27,    	
6,     	1.477383207662,     	0.009307941825,     	0.100150568372,     	1.469382883937,     	88,    	119,   	32,    	
7,     	1.461886603941,     	0.009032505885,     	0.088910963225,     	1.454094110145,     	120,   	156,   	37,    	
8,     	1.446236378288,     	0.00903862442,      	0.074774988833,     	1.438487820374,     	157,   	199,   	43,    	
9,     	1.430532631092,     	0.009210818857,     	0.071125525395,     	1.422536585818,     	200,   	246,   	47,    	
10,    	1.414495892766,     	0.00921453564,      	0.063427818376,     	1.406581981621,     	247,   	299,   	53,    	
11,    	1.399155284465,     	0.008656152895,     	0.054712773953,     	1.391549516711,     	300,   	359,   	60,    	
12,    	1.383760244145,     	0.00910469438,      	0.054896138764,     	1.375762395415,     	360,   	421,   	62,    	
13,    	1.367968570457,     	0.008964980541,     	0.047223787569,     	1.360182094452,     	422,   	489,   	68,    	
14,    	1.352498542252,     	0.008937975132,     	0.041273893805,     	1.344738337899,     	490,   	563,   	74,    	
15,    	1.336883617625,     	0.009082145761,     	0.043911746495,     	1.329021163873,     	564,   	641,   	78,    	
16,    	1.321129189209,     	0.009215814521,     	0.039524488748,     	1.313189642233,     	642,   	724,   	83,    	
17,    	1.305079347048,     	0.009363583241,     	0.036157403988,     	1.296979025756,     	725,   	811,   	87,    	
18,    	1.288685241282,     	0.009577993086,     	0.035696008527,     	1.280426759996,     	812,   	901,   	90,    	
19,    	1.271463061882,     	0.010329190959,     	0.036194241788,     	1.2625608599,       	902,   	990,   	89,    	
20,    	1.252849013399,     	0.011242438165,     	0.035964228103,     	1.243160683441,     	991,   	1077,  	87,    	
21,    	1.233385342832,     	0.011353141977,     	0.036679791877,     	1.223599057002,     	1078,  	1168,  	91,    	
22,    	1.215087154861,     	0.009797722467,     	0.031917152073,     	1.206387218669,     	1169,  	1272,  	104,   	
23,    	1.197989014968,     	0.009688699065,     	0.027842583579,     	1.189628294014,     	1273,  	1386,  	114,   	
24,    	1.18200584961,      	0.00879622664,      	0.025968271487,     	1.174196246773,     	1387,  	1507,  	121,   	
25,    	1.165914686006,     	0.009563507682,     	0.026003812664,     	1.15765906037,      	1508,  	1633,  	126,   	
26,    	1.149257403688,     	0.009691220038,     	0.025333860503,     	1.140851806078,     	1634,  	1759,  	126,   	
27,    	1.131964135913,     	0.010241887301,     	0.026494794487,     	1.122952542907,     	1760,  	1883,  	124,   	
28,    	1.113550146574,     	0.01089730871,      	0.028076907717,     	1.104049242646,     	1884,  	2005,  	122,   	
29,    	1.094443345075,     	0.011065885153,     	0.024139284962,     	1.084889576313,     	2006,  	2134,  	129,   	
30,    	1.076785179046,     	0.009358557473,     	0.021785424464,     	1.068522301046,     	2135,  	2279,  	145,   	
31,    	1.060456692223,     	0.00929321801,      	0.019025301557,     	1.052427756438,     	2280,  	2433,  	154,   	
32,    	1.04464387567,      	0.009026055161,     	0.017972916056,     	1.036844565135,     	2434,  	2595,  	162,   	
33,    	1.029354061246,     	0.008825631258,     	0.017124970967,     	1.021726981168,     	2596,  	2760,  	165,   	
34,    	1.013624825579,     	0.009340260406,     	0.017663768112,     	1.005553368185,     	2761,  	2928,  	168,   	
35,    	0.998018363083,     	0.008702828336,     	0.016731959077,     	0.990496126024,     	2929,  	3102,  	174,   	
36,    	0.983221325586,     	0.008481196886,     	0.017807821801,     	0.975616494378,     	3103,  	3278,  	176,   	
37,    	0.96751237771,      	0.009339824038,     	0.016462383115,     	0.959439621021,     	3279,  	3458,  	180,   	
38,    	0.952856569923,     	0.007766450722,     	0.018529907258,     	0.946041675573,     	3459,  	3644,  	186,   	
39,    	0.939125725747,     	0.008135875857,     	0.017618077022,     	0.931827510197,     	3645,  	3828,  	184,   	
40,    	0.924006264485,     	0.009098308306,     	0.018041085573,     	0.916087906814,     	3829,  	4013,  	185,   	
41,    	0.908241230597,     	0.009049887822,     	0.017445163454,     	0.900314021799,     	4014,  	4205,  	192,   	
42,    	0.892938460245,     	0.008505129873,     	0.016735204776,     	0.885133474297,     	4206,  	4401,  	196,   	
43,    	0.877351153032,     	0.008995439687,     	0.017126505376,     	0.869572991173,     	4402,  	4604,  	203,   	
44,    	0.8617948928,       	0.008970602406,     	0.015574161374,     	0.85403779801,      	4605,  	4815,  	211,   	
45,    	0.847196994821,     	0.007926718889,     	0.0148517473,       	0.840341109247,     	4816,  	5034,  	219,   	
46,    	0.834269756268,     	0.007021799966,     	0.015866018027,     	0.827740803377,     	5035,  	5243,  	209,   	
47,    	0.819843270822,     	0.009111813387,     	0.013612739202,     	0.811963273473,     	5244,  	5453,  	210,   	
48,    	0.806154233516,     	0.006736360204,     	0.016223485506,     	0.800044546146,     	5454,  	5670,  	217,   	
49,    	0.792704066606,     	0.008517226487,     	0.015720273427,     	0.785337089032,     	5671,  	5894,  	224,   	
50,    	0.779699390584,     	0.006507068785,     	0.014896708289,     	0.773784291401,     	5895,  	6127,  	233,   	
51,    	0.766961107245,     	0.007913647027,     	0.013820249657,     	0.760115196948,     	6128,  	6367,  	240,   	
52,    	0.752819028757,     	0.008437341267,     	0.014563070734,     	0.745520370505,     	6368,  	6608,  	241,   	
53,    	0.738069473991,     	0.00861636124,      	0.012319245794,     	0.730615881213,     	6609,  	6850,  	242,   	
54,    	0.724410487279,     	0.007185571581,     	0.01399800457,      	0.718193284187,     	6851,  	7091,  	241,   	
55,    	0.711761869986,     	0.007450910259,     	0.013985137827,     	0.705315148665,     	7092,  	7329,  	238,   	
56,    	0.698254118075,     	0.008156634429,     	0.013674101828,     	0.691197206302,     	7330,  	7571,  	242,   	
57,    	0.684701314909,     	0.00749986051,      	0.013391954755,     	0.678211955475,     	7572,  	7819,  	248,   	
58,    	0.670976223764,     	0.008351479089,     	0.013206772029,     	0.663750509888,     	7820,  	8071,  	252,   	
59,    	0.657152510237,     	0.007631301652,     	0.011744960045,     	0.650549193696,     	8072,  	8330,  	259,   	
60,    	0.642879283604,     	0.008857715729,     	0.011067041982,     	0.635215572673,     	8331,  	8593,  	263,   	
61,    	0.628587570832,     	0.007661074138,     	0.011926644375,     	0.621958187043,     	8594,  	8862,  	269,   	
62,    	0.616711939045,     	0.006078099094,     	0.012931413114,     	0.611181886794,     	8863,  	9125,  	263,   	
63,    	0.605325748768,     	0.006772492871,     	0.013387099465,     	0.599314237354,     	9126,  	9386,  	261,   	
64,    	0.592211449242,     	0.008197245088,     	0.011309083157,     	0.585118037901,     	9387,  	9651,  	265,   	
65,    	0.577664422377,     	0.008603277085,     	0.01261242829,      	0.570219750848,     	9652,  	9920,  	269,   	
66,    	0.561898783928,     	0.009600672024,     	0.011345087745,     	0.553591548346,     	9921,  	10185, 	265,   	
67,    	0.546375812645,     	0.008354892218,     	0.011674169681,     	0.539136551613,     	10186, 	10456, 	271,   	
68,    	0.53170593692,      	0.008596756738,     	0.012161090803,     	0.5242663154,       	10457, 	10733, 	277,   	
69,    	0.516887146053,     	0.008542141943,     	0.012556163219,     	0.509494573981,     	10734, 	11013, 	280,   	
70,    	0.502027073408,     	0.008616883947,     	0.012226100582,     	0.494569681884,     	11014, 	11295, 	282,   	
71,    	0.487395268313,     	0.008416088036,     	0.011200039759,     	0.480111372271,     	11296, 	11582, 	287,   	
72,    	0.472662134529,     	0.008614700606,     	0.011946365703,     	0.465206282196,     	11583, 	11871, 	289,   	
73,    	0.458233926176,     	0.008085020585,     	0.011050309787,     	0.451236085224,     	11872, 	12165, 	294,   	
74,    	0.445312281447,     	0.007315606651,     	0.01226433905,      	0.438604142456,     	12166, 	12460, 	295,   	
75,    	0.431843904961,     	0.007804675857,     	0.0114028727,       	0.424745701973,     	12461, 	12756, 	296,   	
76,    	0.417502735042,     	0.00837340127,      	0.011716867256,     	0.410227123988,     	12757, 	13051, 	295,   	
77,    	0.402427009085,     	0.009024222508,     	0.011169946887,     	0.394616083154,     	13052, 	13344, 	293,   	
78,    	0.387113359306,     	0.008676645392,     	0.010669715129,     	0.37960295335,      	13345, 	13642, 	298,   	
79,    	0.372547622227,     	0.008159917146,     	0.010306526204,     	0.36547325687,      	13643, 	13943, 	301,   	
80,    	0.35884754104,      	0.007774461277,     	0.011332102126,     	0.351719522842,     	13944, 	14242, 	299,   	
81,    	0.344001114201,     	0.009091513173,     	0.009844723844,     	0.336131280048,     	14243, 	14542, 	300,   	
82,    	0.328732077906,     	0.008553973662,     	0.010730635899,     	0.321226496468,     	14543, 	14845, 	303,   	
83,    	0.313996303429,     	0.008362790098,     	0.011181030034,     	0.306689567501,     	14846, 	15151, 	306,   	
84,    	0.299900256362,     	0.007854332696,     	0.009485479389,     	0.292864947555,     	15152, 	15458, 	307,   	
85,    	0.285888413043,     	0.008054803749,     	0.009209026739,     	0.278687723067,     	15459, 	15768, 	310,   	
86,    	0.271433774386,     	0.008466075704,     	0.010471714235,     	0.264038022537,     	15769, 	16081, 	313,   	
87,    	0.257359979519,     	0.007712217561,     	0.010612756935,     	0.250387947629,     	16082, 	16399, 	318,   	
88,    	0.243463710837,     	0.008022738786,     	0.010464038458,     	0.236357507899,     	16400, 	16720, 	321,   	
89,    	0.229511506823,     	0.007929085738,     	0.010658555117,     	0.222489384842,     	16721, 	17045, 	325,   	
90,    	0.215369301445,     	0.008252559384,     	0.010493396438,     	0.208224197179,     	17046, 	17374, 	329,   	
91,    	0.200767791414,     	0.008620978578,     	0.009045541618,     	0.193303649428,     	17375, 	17704, 	330,   	
92,    	0.185893314843,     	0.008566922331,     	0.009461359033,     	0.178475822333,     	17705, 	18029, 	325,   	
93,    	0.171279797135,     	0.008318111873,     	0.009744176441,     	0.16391454533,      	18030, 	18357, 	328,   	
94,    	0.156783568761,     	0.008236845877,     	0.010568711686,     	0.14951125682,      	18358, 	18682, 	325,   	
95,    	0.142262987173,     	0.00837813594,      	0.009733851437,     	0.135008522859,     	18683, 	19007, 	325,   	
96,    	0.128596346023,     	0.007403157742,     	0.010450076617,     	0.121691780738,     	19008, 	19332, 	325,   	
97,    	0.116188057844,     	0.006376894935,     	0.010371355951,     	0.11020821684,      	19333, 	19658, 	326,   	
98,    	0.102926829156,     	0.008492934338,     	0.00986072904,      	0.095572619463,     	19659, 	19984, 	326,   	
99,    	0.088911479117,     	0.007708305741,     	0.010237497406,     	0.082236519681,     	19985, 	20316, 	332,   	
100,   	0.07581163629,      	0.007559735665,     	0.010223519201,     	0.069265224583,     	20317, 	20654, 	338,   	
101,   	0.062621376947,     	0.007766734298,     	0.01038108863,      	0.055895626807,     	20655, 	20992, 	338,   	
102,   	0.049390740114,     	0.007614947902,     	0.010361805518,     	0.042796328198,     	20993, 	21327, 	335,   	
103,   	0.037053745789,     	0.006644509694,     	0.010283292342,     	0.03129961512,      	21328, 	21663, 	336,   	
104,   	0.024817950589,     	0.007488416878,     	0.009304537654,     	0.018332935144,     	21664, 	21993, 	330,   	
105,   	0.011132464421,     	0.008333047027,     	0.010469505053,     	0.003915888836,     	21994, 	22315, 	322,   	
106,   	0,                  	0.005232757161,     	0.009581373906,     	-0.004531711291,    	22316, 	22756, 	441,   	
