This run aims to check if discrepancy is less than 0.0075
each row contains covering data for one orbit at phi, i.e. z = sin(phi), with the range of indices of directions corresponding to this orbit and the expected confidence radius at it. dtheta shows the amount that directions vary horizontally at this orbit.
 fd = first direction, ld = last direction, #d = number of directions 

number,	phi,                	expected radius,    	dtheta,             	covered phi,        	fd,    	ld,    	#d,    	

1,     	1.55552247029,      	0.004883930322,     	0.324977031228,     	1.551475017363,     	0,     	10,    	11,    	
2,     	1.54229777149,      	0.010090201698,     	0.372067559686,     	1.533980116658,     	11,    	20,    	10,    	
3,     	1.526143592511,     	0.009045010583,     	0.224379996613,     	1.518189663889,     	21,    	36,    	16,    	
4,     	1.510312310766,     	0.009136261507,     	0.153855089606,     	1.502507488291,     	37,    	58,    	22,    	
5,     	1.494854118139,     	0.008954802595,     	0.12497320167,      	1.487180629301,     	59,    	85,    	27,    	
6,     	1.479270064843,     	0.009099420889,     	0.104115053759,     	1.471426399108,     	86,    	117,   	32,    	
7,     	1.463932234973,     	0.008760959821,     	0.090650679103,     	1.45622097624,      	118,   	155,   	38,    	
8,     	1.448516351401,     	0.00891920726,      	0.077364537263,     	1.440829452392,     	156,   	198,   	43,    	
9,     	1.433009837564,     	0.009023095031,     	0.066149697564,     	1.425193374499,     	199,   	246,   	48,    	
10,    	1.417601615281,     	0.008766506549,     	0.059978358457,     	1.409915310695,     	247,   	299,   	53,    	
11,    	1.402396250442,     	0.00877930918,      	0.057325907232,     	1.394832210731,     	300,   	357,   	58,    	
12,    	1.387367968596,     	0.008572324173,     	0.052897700522,     	1.379585344752,     	358,   	419,   	62,    	
13,    	1.372019148024,     	0.008763405672,     	0.049740062365,     	1.364371720758,     	420,   	487,   	68,    	
14,    	1.357091123309,     	0.00842789511,      	0.043414946057,     	1.349511304658,     	488,   	561,   	74,    	
15,    	1.341837025179,     	0.008869051216,     	0.040323466291,     	1.334079830835,     	562,   	638,   	77,    	
16,    	1.326490624704,     	0.00888249549,      	0.039394154688,     	1.318759073332,     	639,   	720,   	82,    	
17,    	1.31097471528,      	0.009044321026,     	0.035369478624,     	1.303174018951,     	721,   	807,   	87,    	
