number	direction_ind	# of covercap	
0	121	2	
1	126	2	
2	127	2	
3	128	2	
4	154	2	
5	155	2	
6	178	2	
7	301	2	
8	304	2	
9	318	2	
10	321	2	
11	328	2	
12	330	2	
13	332	2	
14	336	2	
15	428	2	
16	486	2	
17	487	2	
18	520	2	
19	521	2	
20	524	2	
21	527	2	
22	534	2	
23	535	2	
24	536	2	
25	548	2	
26	561	2	
27	562	2	
28	564	2	
29	573	2	
30	590	2	
31	591	2	
32	596	2	
33	597	2	
34	602	2	
35	655	2	
36	727	2	
37	796	2	
38	823	2	
39	826	2	
40	827	2	
41	831	2	
42	837	2	
43	844	2	
44	845	2	
45	868	2	
46	869	2	
47	872	2	
48	878	2	
49	882	2	
50	894	2	
51	922	2	
52	940	2	
53	943	2	
54	944	2	
55	945	2	
56	959	2	
57	969	2	
58	970	2	
59	971	2	
60	978	2	
61	985	2	
62	995	2	
63	996	2	
64	1000	2	
65	1003	2	
66	1007	2	
67	1008	2	
68	1010	2	
69	1013	2	
70	1018	2	
71	1024	2	
72	1028	2	
73	1031	2	
74	1038	2	
75	1041	2	
76	1047	2	
77	1055	2	
78	1062	2	
79	1069	2	
80	1076	2	
81	1079	2	
82	1085	2	
83	1100	2	
84	1181	2	
85	1347	2	
86	1375	2	
87	1376	2	
88	1380	2	
89	1390	2	
90	1399	2	
91	1404	2	
92	1416	2	
93	1490	2	
94	1597	2	
95	1622	2	
96	1741	2	
97	1755	2	
98	1869	2	
99	1870	2	
100	1872	2	
101	1874	2	
102	1875	2	
103	1876	2	
104	1877	2	
105	1879	2	
106	1881	2	
107	1883	2	
108	1982	2	
109	1999	2	
110	2006	2	
111	2007	2	
112	2008	2	
113	2009	2	
114	2011	2	
115	2012	2	
116	2013	2	
117	2015	2	
118	2016	2	
119	2017	2	
120	2019	2	
121	2040	2	
122	2041	2	
123	2048	2	
124	2068	2	
125	2071	2	
126	2122	2	
127	2123	2	
128	2132	2	
129	2141	2	
130	2149	2	
131	2150	2	
132	2157	2	
133	2170	2	
134	2215	2	
135	2237	2	
136	2279	2	
137	2296	2	
138	2301	2	
139	2307	2	
140	2308	2	
141	2322	2	
142	2324	2	
143	2341	2	
144	2375	2	
145	2376	2	
146	2377	2	
147	2406	2	
148	2420	2	
149	2427	2	
150	2430	2	
151	2436	2	
152	2437	2	
153	2441	2	
154	2442	2	
155	2454	2	
156	2464	2	
157	2538	2	
158	2557	2	
159	2593	2	
160	2600	2	
161	2614	2	
162	2624	2	
163	2627	2	
164	2628	2	
165	2642	2	
166	2654	2	
167	2655	2	
168	2664	2	
169	2677	2	
170	2683	2	
171	2687	2	
172	2689	2	
173	2694	2	
174	2715	2	
175	2732	2	
176	2739	2	
177	2763	2	
178	2809	2	
179	2863	2	
180	2880	2	
181	2892	2	
182	2926	2	
183	2933	2	
184	2939	2	
185	2944	2	
186	2956	2	
187	2975	2	
188	3025	2	
189	3111	2	
190	3113	2	
191	3140	2	
192	3182	2	
193	3196	2	
194	3197	2	
195	3204	2	
196	3205	2	
197	3209	2	
198	3215	2	
199	3262	2	
200	3286	2	
201	3337	2	
202	3338	2	
203	3358	2	
204	3359	2	
205	3360	2	
206	3364	2	
207	3371	2	
208	3376	2	
209	3379	2	
210	3382	2	
211	3439	2	
212	3456	2	
213	3541	2	
214	3731	2	
215	3733	2	
216	3734	2	
217	3737	2	
218	3740	2	
219	3894	2	
220	3897	2	
221	3900	2	
222	3931	2	
223	4068	2	
224	4069	2	
225	4071	2	
226	4072	2	
227	4074	2	
228	4075	2	
229	4076	2	
230	4077	2	
231	4109	2	
232	4123	2	
233	4124	2	
234	4125	2	
235	4126	2	
236	4129	2	
237	4130	2	
238	4263	2	
239	4326	2	
240	4328	2	
241	4409	2	
242	4417	2	
243	4437	2	
244	4439	2	
245	4440	2	
246	4451	2	
247	4460	2	
248	4461	2	
249	4462	2	
250	4463	2	
251	4464	2	
252	4465	2	
253	4466	2	
254	4471	2	
255	4474	2	
256	4488	2	
257	4520	2	
258	4530	2	
259	4531	2	
260	4535	2	
261	4537	2	
262	4538	2	
263	4539	2	
264	4540	2	
265	4544	2	
266	4547	2	
267	4550	2	
268	4576	2	
269	4579	2	
270	4589	2	
271	4666	2	
272	4747	2	
273	5065	2	
274	5066	2	
275	5067	2	
276	5157	2	
277	5158	2	
278	5160	2	
279	5178	2	
280	5252	2	
281	5274	2	
282	5275	2	
283	5276	2	
284	5278	2	
285	5280	2	
286	5375	2	
287	5376	2	
288	5377	2	
289	5394	2	
290	5489	2	
291	5594	2	
292	5699	2	
293	5704	2	
294	5907	2	
295	5912	2	
296	5913	2	
297	6022	2	
298	6114	2	
299	6116	2	
300	6118	2	
301	6123	2	
302	6124	2	
303	6125	2	
304	6127	2	
305	6129	2	
306	6131	2	
307	6132	2	
308	6146	2	
309	6168	2	
310	6197	2	
311	6233	2	
312	6237	2	
313	6238	2	
314	6240	2	
315	6241	2	
316	6242	2	
317	6245	2	
318	6249	2	
319	6250	2	
320	6251	2	
321	6256	2	
322	6336	2	
323	6523	2	
324	6532	2	
325	6536	2	
326	6543	2	
327	6553	2	
328	6559	2	
329	6564	2	
330	6568	2	
331	6570	2	
332	6571	2	
333	6572	2	
334	6573	2	
335	6575	2	
336	6578	2	
337	6595	2	
338	6597	2	
339	6625	2	
340	6636	2	
341	6655	2	
342	6666	2	
343	6679	2	
344	6681	2	
345	6683	2	
346	6687	2	
347	6690	2	
348	6695	2	
349	6696	2	
350	6698	2	
351	6699	2	
352	6700	2	
353	6701	2	
354	6703	2	
355	6704	2	
356	6705	2	
357	6708	2	
358	6712	2	
359	6720	2	
360	6735	2	
361	6802	2	
362	6805	2	
363	6806	2	
364	6929	2	
365	6932	2	
366	6935	2	
