number	direction_ind	# of covercap	
0	74	2	
1	87	2	
2	88	2	
3	155	2	
4	158	2	
5	159	2	
6	161	2	
7	168	2	
8	172	2	
9	173	2	
10	174	2	
11	176	2	
12	185	2	
13	188	2	
14	243	2	
15	248	2	
16	249	2	
17	250	2	
18	282	2	
19	288	2	
20	313	2	
21	348	2	
22	417	2	
23	420	2	
24	422	2	
25	446	2	
26	449	2	
27	473	2	
28	476	2	
29	515	2	
30	549	2	
31	567	2	
32	586	2	
33	588	2	
34	642	2	
35	671	2	
36	689	2	
37	774	2	
38	883	2	
39	889	2	
40	980	2	
41	986	2	
42	988	2	
43	990	2	
44	992	2	
45	994	3	
46	996	2	
47	998	2	
48	1000	2	
49	1002	2	
50	1085	2	
51	1116	2	
52	1193	3	
53	1194	2	
54	1195	2	
55	1225	2	
56	1226	2	
57	1228	3	
58	1230	2	
59	1296	2	
60	1297	2	
61	1298	2	
62	1327	2	
63	1401	2	
64	1404	2	
65	1406	2	
66	1410	2	
67	1411	2	
68	1412	2	
69	1413	2	
70	1415	2	
71	1422	2	
72	1431	2	
73	1446	2	
74	1455	2	
75	1456	2	
76	1457	2	
77	1458	2	
78	1466	2	
79	1500	2	
80	1508	2	
81	1510	2	
82	1518	2	
83	1519	2	
84	1520	2	
85	1521	2	
86	1532	2	
87	1566	2	
88	1571	2	
89	1574	2	
90	1576	2	
91	1579	2	
92	1583	2	
93	1585	2	
94	1592	2	
95	1596	2	
96	1633	2	
97	1634	2	
98	1677	2	
99	1693	2	
100	1695	2	
101	1702	2	
102	1726	2	
103	1747	2	
104	1752	2	
105	1753	2	
106	1809	2	
107	1814	2	
108	1815	2	
109	1869	2	
110	1870	2	
111	1874	2	
112	1875	2	
113	1938	2	
114	1939	2	
115	1944	2	
116	1971	2	
117	1973	2	
118	1994	2	
119	1995	2	
120	1996	2	
121	1999	2	
122	2017	2	
123	2062	2	
124	2065	2	
125	2066	2	
126	2067	2	
127	2069	2	
128	2122	2	
129	2192	2	
130	2200	2	
131	2221	2	
132	2236	2	
133	2245	2	
134	2370	2	
135	2410	2	
136	2413	2	
137	2421	2	
138	2544	2	
139	2552	2	
140	2555	2	
141	2695	2	
142	2697	2	
143	2778	2	
144	2833	2	
145	2906	2	
146	2914	2	
147	2955	2	
148	2981	2	
149	3014	2	
150	3015	2	
151	3069	2	
152	3176	2	
153	3179	2	
154	3229	2	
155	3230	2	
156	3234	2	
157	3260	2	
158	3279	2	
159	3368	2	
160	3453	2	
161	3610	2	
162	3622	2	
163	3658	2	
164	3659	2	
165	3690	2	
166	3719	2	
167	3720	2	
168	3743	2	
169	3803	2	
170	3856	2	
171	3899	2	
172	3911	2	
173	3919	2	
174	3938	2	
175	3966	2	
176	3997	2	
177	4003	2	
178	4007	2	
179	4026	2	
180	4047	2	
181	4052	2	
182	4058	2	
183	4089	2	
184	4098	2	
185	4193	2	
186	4195	2	
187	4197	2	
188	4212	2	
189	4213	2	
190	4214	2	
191	4233	2	
192	4246	2	
193	4259	2	
194	4280	2	
195	4305	2	
196	4355	2	
197	4363	2	
198	4516	2	
199	4530	2	
200	4538	2	
201	4545	2	
202	4595	2	
203	4637	2	
204	4676	2	
205	4682	2	
206	4695	2	
207	4708	2	
208	4770	2	
209	4778	2	
210	4779	2	
211	4952	2	
212	4999	2	
213	5008	2	
214	5011	2	
215	5014	2	
216	5017	2	
217	5023	2	
218	5105	2	
219	5119	2	
220	5166	2	
221	5204	2	
222	5333	2	
223	5366	2	
224	5396	2	
225	5461	2	
226	5478	2	
227	5483	2	
228	5486	2	
229	5488	2	
230	5496	2	
231	5520	2	
232	5554	2	
233	5581	2	
234	5590	2	
235	5596	2	
236	5624	2	
237	5630	2	
238	5631	2	
239	5638	2	
240	5639	2	
241	5642	2	
242	5645	2	
243	5647	3	
244	5648	3	
245	5649	4	
246	5650	4	
247	5651	2	
248	5657	2	
249	5659	2	
250	5667	2	
251	5674	2	
252	5681	2	
253	5684	2	
254	5689	2	
255	5707	2	
256	5720	2	
257	5796	2	
258	5798	2	
259	5799	2	
260	5802	3	
261	5804	5	
262	5805	6	
263	5806	6	
264	5807	4	
265	5808	3	
266	5809	3	
267	5811	2	
268	5812	3	
269	5815	3	
270	5816	2	
271	5818	3	
272	5819	2	
273	5821	2	
274	5824	2	
275	5841	2	
276	5866	2	
277	5969	3	
278	5970	2	
279	5974	3	
280	5975	4	
281	5976	5	
282	5977	8	
283	5978	7	
284	5979	5	
285	5980	5	
286	5981	8	
287	5982	8	
288	5983	5	
289	5984	5	
290	5985	4	
291	5986	4	
292	5987	5	
293	5988	4	
294	5989	3	
295	5993	3	
296	5998	3	
297	5999	2	
298	6000	2	
299	6001	2	
300	6004	2	
301	6128	2	
302	6206	2	
303	6207	2	
304	6208	2	
305	6209	2	
306	6213	2	
307	6214	2	
308	6215	2	
309	6216	2	
310	6217	2	
311	6218	5	
312	6219	10	
313	6220	10	
314	6221	4	
315	6222	4	
316	6223	4	
317	6224	6	
318	6225	10	
319	6226	10	
320	6227	4	
321	6228	4	
322	6229	4	
323	6230	5	
324	6231	3	
325	6232	3	
326	6233	4	
327	6234	5	
328	6235	4	
329	6236	3	
330	6237	2	
331	6242	3	
332	6243	3	
333	6249	2	
334	6250	2	
335	6251	2	
336	6253	2	
337	6254	2	
338	6256	2	
339	6258	2	
340	6265	2	
341	6290	2	
342	6326	2	
343	6332	2	
