This run aims to check if discrepancy is less than 0.0104
number,	x,                  	y,                  	z,                  	theta,              	phi,                	norm,               	discrepancy,        	conf. r,            	covered radius,     	covering type,      	

0,     	0.020933274275,     	0.0,                	0.999780875006,     	0.0,                	1.549861523384,     	1.0,                	0.002490932115,     	0.006445258566,     	0.006445258566,     	Normal,             	
1,     	0.019941041588,     	0.006368424631,     	0.999780875006,     	0.30912472389,      	1.549861523384,     	1.0,                	0.002490204092,     	0.006446978028,     	0.006446978028,     	Normal,             	
2,     	0.017057398054,     	0.0121345434,       	0.999780875006,     	0.618332579162,     	1.549861523384,     	1.0,                	0.002478436774,     	0.006470177838,     	0.006470177838,     	Normal,             	
3,     	0.012537061579,     	0.016763772214,     	0.999780875006,     	0.928662136211,     	1.549861523384,     	1.0,                	0.002477086822,     	0.006502480102,     	0.006502480102,     	Normal,             	
4,     	0.006788087123,     	0.019802117187,     	0.999780875006,     	1.24055365917,      	1.549861523384,     	1.0,                	0.002473040053,     	0.006525290354,     	0.006525290354,     	Normal,             	
5,     	0.000361040188,     	0.020930160579,     	0.999780875006,     	1.553548280227,     	1.549861523384,     	1.0,                	0.002473138465,     	0.006538922764,     	0.006538922764,     	Normal,             	
6,     	-0.00611428938,     	0.020020425502,     	0.999780875006,     	1.867202207062,     	1.549861523384,     	1.0,                	0.002485469149,     	0.006495064077,     	0.006495064077,     	Normal,             	
7,     	-0.011956600091,    	0.017182598353,     	0.999780875006,     	2.178735113528,     	1.549861523384,     	1.0,                	0.002483984124,     	0.006500345057,     	0.006500345057,     	Normal,             	
8,     	-0.016651084991,    	0.012686344647,     	0.999780875006,     	2.490523391166,     	1.549861523384,     	1.0,                	0.002484160989,     	0.006499716082,     	0.006499716082,     	Normal,             	
9,     	-0.019739744407,    	0.006967385638,     	0.999780875006,     	2.802281253287,     	1.549861523384,     	1.0,                	0.002484139896,     	0.006499791093,     	0.006499791093,     	Normal,             	
10,    	-0.020925330626,    	0.000576636889,     	0.999780875006,     	3.114042742765,     	1.549861523384,     	1.0,                	0.002484142411,     	0.006489405975,     	0.006489405975,     	Normal,             	
11,    	-0.020096439776,    	-0.005859614339,    	0.999780875006,     	3.425302047347,     	1.549861523384,     	1.0,                	0.002480875486,     	0.006470347036,     	0.006470347036,     	Normal,             	
12,    	0.038817798873,     	0.0,                	0.999246305217,     	0.0,                	1.531968772723,     	1.0,                	0.001270353875,     	0.014137162679,     	0.014137162679,     	Normal,             	
